shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
SG_21_3_2;Haar;pls;"{""n_components"": 22}";2.8324422252893946;[2.764382572908896, 3.043826128585428, 2.6891179743738585];[4.130860018566778, 3.9518258517871643, 2.8324422252893946, 3.040557832913796, 6.977144355958984, 6.977144355958984, 15.194840010132799, 3.425164524066316, 3.0195791744766427, 2.8324422252893946, 4.445157290730929, 2.9716055935898535, 3.0108516189396064, 3.7281994517142905, 3.2677976225686813, 3.7460581778090556, 3.0985129207976656, 2.8324422252893946, 3.3653648113603523, 4.122899905779147, 3.2677976225686813, 3.0108516189396064, 3.0108516189396064, 2.9716055935898535, 3.0195791744766427, 3.6077189724007144, 2.9716055935898535, 3.392519615395807, 3.7608675009874903, 4.47144907178219]
SG_21_2_1;None;pls;"{""n_components"": 22}";2.899835438030017;[3.4560781302995514, 2.5431663341738737, 2.700261849616626];[3.882647971473618, 3.7900618960726864, 2.899835438030017, 3.2082310255345483, 7.414533512910114, 7.414533512910114, 14.085113988542389, 3.2458945050402743, 3.144296406756266, 2.899835438030017, 4.760651329770881, 2.9722688639591106, 3.0844491100685194, 3.618497811843234, 3.097434804656947, 3.6300363420261745, 3.2432071394181388, 2.899835438030017, 3.4601742214776507, 3.747423193415251, 3.097434804656947, 3.0844491100685194, 3.0844491100685194, 2.9722688639591106, 3.144296406756266, 3.4525254326010426, 2.9722688639591106, 3.3874344557337603, 3.820160929820956, 5.318592677292171]
ASLSBaseline;None;pls;"{""n_components"": 15}";2.961598811203824;[3.227077559524199, 2.7064893551986104, 2.951229518888662];[3.3800669889263353, 3.8107226364317843, 3.2900223915613314, 3.24672254768432, 7.784728936142848, 7.784728936142848, 14.30510808231726, 3.7095600748616087, 3.341879389594982, 3.2900223915613314, 3.2108488481668958, 3.2108488481668958, 3.3800669889263353, 3.838716489716236, 4.965943776489249, 2.961598811203824, 3.1459402378923733, 3.1459402378923733, 3.2900223915613314, 3.2537020173079196, 4.965943776489249, 2.961598811203824, 2.961598811203824, 3.304636397884812, 2.961598811203824, 4.965943776489249, 3.064873938939451, 3.40380911672429, 3.304636397884812, 3.838716489716236]
None;None;pls;"{""n_components"": 15}";2.964373994752363;[3.238765066105208, 2.8168284236776313, 2.8375284944742494];[3.3917523924939754, 3.609280096781752, 3.1433714465145823, 3.195536857888065, 7.5419522022551, 7.5419522022551, 13.498385723851234, 3.506435182251382, 3.2310901278783724, 3.1433714465145823, 4.237653821611978, 3.152015042911413, 3.1798141990313646, 3.057142201168936, 3.057142201168936, 3.057142201168936, 4.596822300907301, 2.964373994752363, 3.209893525545075, 5.894881523381325, 2.964373994752363, 2.964373994752363, 3.3917523924939754, 3.0833272976531583, 3.2310901278783724, 3.8924257409581937, 2.964373994752363, 3.345550405122409, 4.905488371111919, 3.3917523924939754]
SG_21_2_1;Haar;pls;"{""n_components"": 18}";3.0116793242003386;[3.1016707729828776, 3.0984886854287, 2.8348785141894375];[3.1824992461185264, 3.3431961767340055, 3.0854318145955246, 3.0116793242003386, 7.145128936977337, 7.145128936977337, 14.48233201385863, 3.301849049704454, 3.032499904531942, 3.0854318145955246, 3.2240175146962993, 3.0116793242003386, 3.1972100178101726, 3.7012152566442147, 3.0116793242003386, 3.15994238728265, 3.880548987529904, 3.1972100178101726, 3.032499904531942, 3.4243681059746645, 3.179484975202117, 3.032499904531942, 3.1487813531434448, 3.0116793242003386, 3.145063275366125, 3.09390239750051, 3.453435582833676, 3.179484975202117, 3.1487813531434448, 5.067024829991293]
SG_11_2_1;Haar;pls;"{""n_components"": 23}";3.0696210451084576;[2.835612501665706, 3.6801762865144463, 2.693074347145221];[3.989764279894421, 3.904852624833307, 3.077685560191029, 3.4302215127675844, 7.338444339342115, 7.338444339342115, 12.650455955545441, 3.256095432152268, 3.40584753074346, 3.077685560191029, 4.2344631559480455, 3.0696210451084576, 3.256095432152268, 3.077685560191029, 3.8569135960896594, 3.0696210451084576, 4.018929726692462, 3.197149901889892, 3.600528430207705, 3.3745377154867335, 3.8569135960896594, 3.0696210451084576, 3.1252492064129687, 3.7255171213283784, 3.0696210451084576, 3.3745377154867335, 3.6017868439006957, 3.6876686878186438, 3.3745377154867335, 4.2344631559480455]
SG_21_3_2;None;pls;"{""n_components"": 17}";3.089217235316833;[3.229681650636456, 2.915099142964987, 3.1228709123490566];[3.9209109609642474, 3.9407155596354344, 3.2188546090802537, 3.131906159990571, 7.594086281127372, 7.594086281127372, 14.812744637150315, 3.4032283829207373, 3.1296565137099486, 3.2188546090802537, 3.5124486911998467, 3.131906159990571, 3.131906159990571, 4.371188447150044, 3.2188546090802537, 3.089217235316833, 4.5705817312729975, 3.2925845163804066, 3.2933153808169195, 3.944968421413337, 4.493981231603805, 3.131906159990571, 3.152333499637544, 3.129281604671718, 3.2933153808169195, 3.5388796353069423, 3.2925845163804066, 5.245578146936097, 3.129281604671718, 3.9209109609642474]
SG_11_2_1;None;pls;"{""n_components"": 15}";3.1156120224858337;[3.2265738195354543, 3.2452370217262074, 2.875025226195839];[3.52639110190279, 3.720052995801211, 3.1946618400382008, 3.154343283324433, 7.815285923158048, 7.815285923158048, 13.617200333094994, 3.498967586889609, 3.143503730809853, 3.1946618400382008, 3.2177787766581045, 3.154343283324433, 3.154343283324433, 3.6791282307124953, 3.1946618400382008, 3.199857600139506, 4.588931656886555, 3.294543671698382, 3.1156120224858337, 3.1156120224858337, 3.2177787766581045, 4.588931656886555, 3.1156120224858337, 3.1156120224858337, 3.52639110190279, 4.588931656886555, 3.2478082523797256, 6.701844286226844, 3.2306363428388694, 3.52639110190279]
SG_15_3_2;None;pls;"{""n_components"": 23}";3.1296442734486085;[3.020489914801674, 3.7422509204420695, 2.626191985102083];[3.886948296987868, 3.67831081430788, 3.1998775752249364, 3.4830110682591315, 7.575964426485481, 7.575964426485481, 13.709409766303146, 3.4036719218676965, 3.4350952198892535, 3.1998775752249364, 4.161064296614961, 3.1296442734486085, 3.4036719218676965, 3.1998775752249364, 3.7438617603085405, 3.1296442734486085, 3.79383303569494, 3.2984731881885545, 3.5584757334780517, 3.3455364779129533, 3.7438617603085405, 3.1296442734486085, 3.160872260496715, 3.553533278897906, 3.1296442734486085, 3.3455364779129533, 3.43362238482497, 3.785912210476532, 3.3455364779129533, 4.161064296614961]
Gaussian_1_2;None;pls;"{""n_components"": 19}";3.134442460049916;[3.1589774671077446, 3.3929580969871664, 2.8513918160548357];[3.5759593439737003, 3.6088213235349795, 3.1730358733360613, 3.1399330892948156, 7.741527571500556, 7.741527571500556, 13.303143291865554, 3.4741738726643345, 3.134442460049916, 3.1730358733360613, 3.344722748113419, 3.1399330892948156, 3.1399330892948156, 3.7734498784799357, 3.1730358733360613, 3.191894906740702, 4.343776739191014, 3.3984340835708218, 3.2311189582935302, 3.17683593922902, 3.6941906971420573, 3.134442460049916, 3.17683593922902, 3.4741738726643345, 3.5301991847308885, 3.357252461059918, 3.17683593922902, 3.197461491305642, 4.343776739191014, 3.5759593439737003]
