shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
None;None;pls;"{""n_components"": 7}";0.03656688758858144;[0.034425159389489715, 0.03316985721549054, 0.042105646160764065];[0.03966348183607469, 0.049531565683658685, 0.0456960079793384, 0.04230536537921462, 0.037374048616526816, 0.037374048616526816, 0.038683248936303656, 0.0479266847447208, 0.042087023711023325, 0.0456960079793384, 0.03746519870675199, 0.039141834385218725, 0.03656688758858144, 0.036626685479270414, 0.03839251456253067, 0.03656688758858144, 0.04078046383365281, 0.03656688758858144, 0.04130446501130752, 0.03782585570954373, 0.036626685479270414, 0.036626685479270414, 0.03695359113509616, 0.03966348183607469, 0.03808596653926974, 0.03656688758858144, 0.03746519870675199, 0.039141834385218725, 0.04078046383365281, 0.03966348183607469]
None;AreaNormalization;pls;"{""n_components"": 6}";0.036590743782730334;[0.03440865075395276, 0.03325263234986431, 0.042110948244373926];[0.040064080471005, 0.049620002509086124, 0.04564645644758078, 0.0421177659353201, 0.03693467844556448, 0.03693467844556448, 0.038024155127338484, 0.04805670803065429, 0.042340537837689006, 0.04564645644758078, 0.038317346047758244, 0.0388834940829666, 0.036606313933716834, 0.03698315992717424, 0.04074895480943732, 0.036590743782730334, 0.036590743782730334, 0.04112463619311069, 0.037188601000365994, 0.03754066182411902, 0.04223541383020671, 0.036606313933716834, 0.03948433869325282, 0.036606313933716834, 0.037703697485772236, 0.036606313933716834, 0.04170490650198019, 0.03693467844556448, 0.0388834940829666, 0.040064080471005]
SG_21_2_1;None;pls;"{""n_components"": 5}";0.03727132971663966;[0.03397203428600537, 0.03495767304526258, 0.04288428181865105];[0.03854604147365386, 0.04998755134340144, 0.04520694315800584, 0.04267516144025894, 0.03727132971663966, 0.03727132971663966, 0.03756078342947163, 0.0475696552473659, 0.043155133354337565, 0.04520694315800584, 0.03840197972023612, 0.03770967904421945, 0.037606559574883854, 0.03727132971663966, 0.0389564079610756, 0.037606559574883854, 0.03730542680154508, 0.038200886864554286, 0.0402817649801434, 0.03730542680154508, 0.038200886864554286, 0.03727132971663966, 0.03770967904421945, 0.0374600296224213, 0.03850646113886707, 0.037357713789594994, 0.03806565200883897, 0.0389564079610756, 0.03727132971663966, 0.03854604147365386]
SG_21_2_1;Haar;pls;"{""n_components"": 2}";0.03730447639505864;[0.03609526061473612, 0.03202755104249345, 0.04379061752794636];[0.04178702517869418, 0.05259742822211375, 0.04954330150552178, 0.04544558177165233, 0.038182034521850906, 0.038182034521850906, 0.03730447639505864, 0.051456735433113326, 0.046269093778983326, 0.04954330150552178, 0.037474232997871976, 0.037474232997871976, 0.04134268720839449, 0.037474232997871976, 0.04034940035038532, 0.039095078786376934, 0.04230515319696259, 0.037474232997871976, 0.04034940035038532, 0.03866378016268402, 0.0405498854848263, 0.037474232997871976, 0.03805081212016388, 0.03805081212016388, 0.04324132396718502, 0.039428548582238106, 0.037474232997871976, 0.03866378016268402, 0.041143992143856424, 0.04178702517869418]
ASLSBaseline;None;pls;"{""n_components"": 6}";0.03734899471272248;[0.035631346120699035, 0.033395488214290114, 0.043020149803178295];[0.041170588291385056, 0.05020704826452737, 0.04576686874991945, 0.04331749098893974, 0.03741095488904212, 0.03741095488904212, 0.037829315840924305, 0.04839376117125955, 0.04400986720233497, 0.04576686874991945, 0.04037102762781886, 0.03901700359803764, 0.03819730572448187, 0.03741095488904212, 0.04118160639978546, 0.03819730572448187, 0.0378653358401185, 0.03894445645772618, 0.0416966228406212, 0.0378653358401185, 0.03894445645772618, 0.03741095488904212, 0.03901700359803764, 0.03734899471272248, 0.03819730572448187, 0.041170588291385056, 0.03800801187336587, 0.03734899471272248, 0.04037102762781886, 0.04118160639978546]
SG_15_2_1;None;pls;"{""n_components"": 4}";0.037399866399333494;[0.03522447334818557, 0.033755771142064794, 0.04321935470775012];[0.038886776558185975, 0.05069273470116457, 0.04777571556734551, 0.04309289740460656, 0.03761933285261833, 0.03761933285261833, 0.03766299729872725, 0.04900609625932568, 0.04414230613587453, 0.04777571556734551, 0.03882025573213025, 0.037698208344450014, 0.03793868845902546, 0.03761933285261833, 0.03894983337486999, 0.03793868845902546, 0.037399866399333494, 0.03882025573213025, 0.040869150175401096, 0.037732657838530616, 0.03836699497947605, 0.03761933285261833, 0.037399866399333494, 0.037732657838530616, 0.037698208344450014, 0.03894112251414216, 0.03761933285261833, 0.03894983337486999, 0.037399866399333494, 0.038873687494943]
ASLSBaseline;AreaNormalization;pls;"{""n_components"": 3}";0.03742999999022563;[0.0353497017628419, 0.033085075261252574, 0.04385522294658241];[0.04128386164606209, 0.05024334775676608, 0.04633810290814703, 0.043887483480809016, 0.037545433208996865, 0.037545433208996865, 0.0380079700426828, 0.04836770179452831, 0.04467856379491558, 0.04633810290814703, 0.04047632608814233, 0.037783456483528786, 0.03833771422536036, 0.037545433208996865, 0.04129323369734284, 0.03833771422536036, 0.0376994970422156, 0.03995205130953406, 0.04174392245638656, 0.0376994970422156, 0.03995205130953406, 0.037545433208996865, 0.037783456483528786, 0.03809932873187859, 0.040843005445978874, 0.03742999999022563, 0.03742999999022563, 0.03742999999022563, 0.03742999999022563, 0.04129323369734284]
SG_21_3_2;None;pls;"{""n_components"": 3}";0.037457560883326295;[0.03605840230447475, 0.03234296770578732, 0.04397131263971681];[0.039768750849302224, 0.0531309002964089, 0.046710356673036725, 0.04441781523148258, 0.03857273512125974, 0.03857273512125974, 0.037558261408978895, 0.050342508973107825, 0.0455544335914062, 0.046710356673036725, 0.03868247410682061, 0.03899281659001274, 0.03868247410682061, 0.038671451221096, 0.04013609822562684, 0.03857273512125974, 0.040033501883958864, 0.038333113473565876, 0.03868247410682061, 0.04270350822061786, 0.037457560883326295, 0.038333113473565876, 0.037457560883326295, 0.038818353568249364, 0.037457560883326295, 0.039768750849302224, 0.03859047518163333, 0.037457560883326295, 0.040033501883958864, 0.04013609822562684]
SG_11_2_1;None;pls;"{""n_components"": 1}";0.03761919094111107;[0.03659051608397401, 0.032691324378502216, 0.04357573236085697];[0.04005250592747786, 0.0530890115396748, 0.047805819515125324, 0.04429631007650465, 0.038420438945823365, 0.038420438945823365, 0.03804896700829097, 0.05082826856922807, 0.04489484886989093, 0.047805819515125324, 0.03761919094111107, 0.03761919094111107, 0.03973918688063186, 0.03761919094111107, 0.039797411906892094, 0.038575722260251445, 0.03761919094111107, 0.041479971867244725, 0.0384191933051214, 0.038575722260251445, 0.038347251102530906, 0.03761919094111107, 0.039163606809619146, 0.038116560379488865, 0.03761919094111107, 0.03908730018682164, 0.038116560379488865, 0.041297719659985604, 0.038347251102530906, 0.042688944126960886]
Gaussian_1_2;None;pls;"{""n_components"": 1}";0.03767874111647966;[0.03668469940709713, 0.03292953750165395, 0.04342198644068791];[0.04156486416729075, 0.05340512770195416, 0.046863020436570084, 0.04278609344685084, 0.03897156095514965, 0.03897156095514965, 0.037925026309346854, 0.05107842764944067, 0.04356579797133344, 0.046863020436570084, 0.03767874111647966, 0.03767874111647966, 0.04132296409995754, 0.03767874111647966, 0.041416484195301945, 0.038950439598928265, 0.03767874111647966, 0.04179471877619808, 0.039209607467097736, 0.038950439598928265, 0.03840082099256808, 0.03767874111647966, 0.04007771158985956, 0.0391975724487778, 0.03767874111647966, 0.0387286322017908, 0.0391975724487778, 0.04181819433428246, 0.03840082099256808, 0.042401889925773394]
