shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
ASLSBaseline;AreaNormalization;pls;"{""n_components"": 15}";0.32410860354031595;[0.2945540492056415, 0.31528527779816623, 0.36248648361714014];[0.3303873951148462, 0.7099447174974868, 0.5098341512927402, 0.3796345853821295, 0.5568802078525676, 0.5568802078525676, 0.9889571317621758, 0.6370386237740054, 0.4097431932280688, 0.5098341512927402, 0.3303873951148462, 0.3303873951148462, 0.34058020084062557, 0.34058020084062557, 0.3279897643237673, 0.32410860354031595, 0.34312974389433964, 0.32410860354031595, 0.4480769447141874, 0.4302713317586934, 0.6326147538270562, 0.32410860354031595, 0.32410860354031595, 0.3545292773157132, 0.4480769447141874, 0.43255327051989645, 0.3279897643237673, 0.34312974389433964, 0.4742906226246224, 0.3279897643237673]
None;AreaNormalization;pls;"{""n_components"": 21}";0.33606937761322137;[0.3303594987900407, 0.35081010811473556, 0.3270385259348879];[0.37360959704750357, 0.34242557175174554, 0.3366184440459705, 0.34007835127882546, 0.546847704691852, 0.546847704691852, 1.2375004518154467, 0.3392953067041807, 0.3377473592942535, 0.3366184440459705, 0.3857277467208728, 0.33874551191693275, 0.33606937761322137, 0.35960908114387014, 0.34554852271043995, 0.33874551191693275, 0.34007835127882546, 0.3392953067041807, 0.35001888521055274, 0.33730047869487506, 0.3392953067041807, 0.3366184440459705, 0.33606937761322137, 0.35555646509041033, 0.3395780325416667, 0.33730047869487506, 0.34035509019280763, 0.3461001451382419, 0.3637549656446284, 0.3782379756620422]
SG_21_2_1;AreaNormalization;pls;"{""n_components"": 14}";0.3404600170591854;[0.3502875813357925, 0.3397074897838395, 0.3313849800579241];[0.3546850742821886, 0.9862551512694525, 0.6702194869768124, 0.6115868400024626, 0.5706893159703186, 0.5706893159703186, 0.7916049469721917, 0.8319297714416507, 0.6209320020396846, 0.6702194869768124, 0.3546850742821886, 0.3546850742821886, 0.373874928320224, 0.373874928320224, 0.3404600170591854, 0.36919933982840253, 0.4007699809884868, 0.6115868400024626, 0.36919933982840253, 0.4150585050991258, 0.6702194869768124, 0.3462491954562259, 0.3404600170591854, 0.36919933982840253, 0.4007699809884868, 0.579113441247113, 0.3404600170591854, 0.3868736588919381, 0.6004111846555401, 0.3462491954562259]
SG_15_2_1;AreaNormalization;pls;"{""n_components"": 11}";0.3676349461221992;[0.3864738161679599, 0.3604059702033116, 0.356025051995326];[0.3692654995857269, 1.062717431158605, 0.8534842945211838, 0.797673043800203, 0.598430487537595, 0.598430487537595, 1.119551726582377, 1.0109171606495335, 0.8183809438626147, 0.8534842945211838, 0.3692654995857269, 0.3692654995857269, 0.3676349461221992, 0.3676349461221992, 0.4077969643875865, 0.5004091676164748, 0.39817000588818036, 0.5004091676164748, 0.4077969643875865, 1.3821687701834477, 0.598430487537595, 0.3692654995857269, 0.37917842465809204, 0.41082695091454396, 0.7046238319768529, 0.37917842465809204, 0.37196936253997875, 0.434615439692511, 0.8183809438626147, 0.3676349461221992]
SG_11_2_1;AreaNormalization;pls;"{""n_components"": 11}";0.37480430160843564;[0.37788280815524267, 0.3562961880186736, 0.39023390865139057];[0.40594523513710135, 1.194237237155437, 0.9181212054023392, 0.90226527409035, 0.611788011509517, 0.611788011509517, 1.1273181703608055, 1.102229138832962, 0.927605598964886, 0.9181212054023392, 0.40594523513710135, 0.40594523513710135, 0.37480430160843564, 0.37480430160843564, 0.41166163003642375, 0.6047969918516237, 0.396520184653346, 0.6047969918516237, 0.41166163003642375, 1.4042377600263316, 0.611788011509517, 0.396520184653346, 0.3878274770287457, 0.403962637459046, 0.3878274770287457, 0.8199311667183585, 0.4752878927571517, 0.5495058896310394, 0.3878274770287457, 0.40594523513710135]
SG_21_2_1;None;pls;"{""n_components"": 22}";0.3787793973422011;[0.3588721506155022, 0.3813663148631428, 0.39609972654795833];[0.40125525792588396, 0.47581497140970597, 0.3787793973422011, 0.41231475349381536, 0.6114269501164835, 0.6114269501164835, 1.087295893710366, 0.4510295286788553, 0.420064466398644, 0.3787793973422011, 0.4137053184985587, 0.38280289574532295, 0.3889837101364992, 0.39246342557875064, 0.4544419571327564, 0.46278756603122745, 0.39211359818854147, 0.3787793973422011, 0.37965145964714236, 0.5027614193438693, 0.4544419571327564, 0.3889837101364992, 0.3889837101364992, 0.38280289574532295, 0.420064466398644, 0.44804036590376545, 0.38280289574532295, 0.3877087713476092, 0.39872506234628097, 0.4211316332069098]
SG_11_2_1;None;pls;"{""n_components"": 13}";0.3802441103569712;[0.39468259597397715, 0.38354184204477504, 0.3625078930521615];[0.39598405701396794, 0.6890113167078812, 0.499181687561521, 0.564071742053364, 0.628780157459354, 0.628780157459354, 1.0094241497364884, 0.6078434634352821, 0.5763499832762607, 0.499181687561521, 0.39598405701396794, 0.39598405701396794, 0.40524852377978576, 0.40524852377978576, 0.3988274852207778, 0.4109324290275042, 0.44061721611969423, 0.4654894265617684, 0.5825421330159366, 1.4027916537626597, 0.41370766517620755, 0.3802441103569712, 0.3802441103569712, 0.44061721611969423, 0.564071742053364, 0.3988274852207778, 0.5341003744530809, 0.44061721611969423, 0.4654894265617684, 0.6680633208329542]
SG_15_2_1;None;pls;"{""n_components"": 14}";0.38218986296735385;[0.3947252371954928, 0.37681293239122365, 0.37503141931534506];[0.3900205522656752, 0.6335435390429035, 0.495406126917219, 0.4670100591879301, 0.5863935305950753, 0.5863935305950753, 1.0139246852722614, 0.6113855299386028, 0.49621528456067926, 0.495406126917219, 0.3900205522656752, 0.3900205522656752, 0.40479498355773796, 0.40479498355773796, 0.38218986296735385, 0.39129209061506914, 0.4451609665852923, 0.4670100591879301, 0.39129209061506914, 0.49051141976075113, 0.495406126917219, 0.38271100132581054, 0.38218986296735385, 0.39129209061506914, 0.4451609665852923, 0.45686409118674987, 0.38218986296735385, 0.42899693938572203, 0.5112776394945239, 0.38271100132581054]
ASLSBaseline;None;pls;"{""n_components"": 13}";0.38562046594815463;[0.3913774623051181, 0.3798727605475581, 0.38561117499178776];[0.39606361872410184, 0.9577387562207932, 0.6249904670821625, 0.45669227803228934, 0.5742068064492866, 0.5742068064492866, 1.1643204211191653, 0.9041650329255192, 0.47142502998641495, 0.6249904670821625, 0.39606361872410184, 0.39606361872410184, 0.40391159303691154, 0.40391159303691154, 0.3861124693477389, 0.41232629277395344, 0.48222356616715234, 0.45669227803228934, 0.41232629277395344, 0.4947465750282571, 0.6249904670821625, 0.38562046594815463, 0.3861124693477389, 0.41232629277395344, 0.48222356616715234, 0.42114674702298216, 0.3861124693477389, 0.4469696243917894, 0.5113697350649521, 0.38562046594815463]
None;None;pls;"{""n_components"": 17}";0.38902376830988167;[0.3791428050447704, 0.39578784129479166, 0.3921406585900832];[0.4155752351775326, 0.7624927778437348, 0.5122359192456385, 0.4167862292395121, 0.6772127343830467, 0.6772127343830467, 1.256373743513613, 0.7097498824677048, 0.4369121794319661, 0.5122359192456385, 0.4155752351775326, 0.4155752351775326, 0.42593542717166333, 0.42593542717166333, 0.39471342343126087, 0.3947500820659804, 0.3941136712031099, 0.5587857903491925, 0.38902376830988167, 0.451471704036215, 0.681021198623216, 0.3941136712031099, 0.3941136712031099, 0.38902376830988167, 0.5122359192456385, 0.4167862292395121, 0.681021198623216, 0.47408062227359987, 0.39471342343126087, 0.451471704036215]
Gaussian_1_2;AreaNormalization;pls;"{""n_components"": 9}";0.3960041472150002;[0.4184955221308418, 0.3860814783764182, 0.3834354411377406];[0.4717184123316824, 1.097450618651356, 0.9271777575412553, 0.8847924264438306, 0.6183741603698031, 0.6183741603698031, 1.0642533863163812, 1.2787833412075156, 0.8622453071132794, 0.9271777575412553, 0.4717184123316824, 0.4717184123316824, 0.4215693192380801, 0.4215693192380801, 0.4189885785725182, 0.4189885785725182, 0.4609343253719742, 1.3191377325295282, 0.4609343253719742, 0.8658230214115784, 0.4189885785725182, 0.4189885785725182, 0.3960041472150002, 0.6719614541403053, 0.773483490140474, 0.40006290940165085, 0.681844566675862, 0.40006290940165085, 0.7829460379059595, 0.5177545405225109]
SG_21_3_2;None;pls;"{""n_components"": 12}";0.4029439503352236;[0.40721570030936555, 0.40080586674151136, 0.40081028395479396];[0.4029439503352236, 0.7052480387411268, 0.5750084080348584, 0.48543854229022737, 0.570768597678359, 0.570768597678359, 0.8446612887961429, 0.6374700090644906, 0.5245067898785716, 0.5750084080348584, 0.4029439503352236, 0.4029439503352236, 0.41026065594669964, 0.41026065594669964, 0.42539453436016483, 0.41949938497075306, 0.452193800262269, 0.49755059476711816, 0.5024862394996079, 1.4196716970969068, 0.5068728042648218, 0.415028689981819, 0.43066391749031735, 0.415028689981819, 0.48543854229022737, 0.452193800262269, 0.4029439503352236, 0.49755059476711816, 0.5854263637057063, 0.6733299184536428]
Gaussian_1_2;None;pls;"{""n_components"": 12}";0.40509430599241386;[0.407758509903184, 0.40470299808585236, 0.40282140998820526];[0.40509430599241386, 0.6468558606030298, 0.5064890522817138, 0.5335419086890624, 0.6252461537159913, 0.6252461537159913, 0.9589949617199216, 0.6162455010132762, 0.5281008593225165, 0.5064890522817138, 0.40509430599241386, 0.40509430599241386, 0.4078209201012761, 0.4078209201012761, 0.4438214619088548, 0.41341664682483487, 0.4407463175939395, 0.49508216407279804, 0.5588571636680177, 1.393917640890616, 0.46653947293519155, 0.4052381735400507, 0.4270794110193535, 0.4052381735400507, 0.5335419086890624, 0.4407463175939395, 0.40509430599241386, 0.49508216407279804, 0.5217291626008286, 0.6692833067982759]
SG_21_2_1;Haar;pls;"{""n_components"": 12}";0.40553940266344224;[0.41002519867190806, 0.41305467759767167, 0.3935383317207469];[0.40553940266344224, 0.9903835038482113, 0.6692253805128949, 0.5147598079024117, 0.5967739340340081, 0.5967739340340081, 1.0453041980252353, 0.8090620989351184, 0.5616710523894034, 0.6692253805128949, 0.40553940266344224, 0.40553940266344224, 0.41417221900546, 0.41417221900546, 0.4287845105393289, 0.4219474790819971, 0.44657179533395236, 0.44376450560711933, 0.5074135687736424, 1.3847689121888556, 0.4391032396003725, 0.428966213859933, 0.43512655545538365, 0.428966213859933, 0.5147598079024117, 0.44657179533395236, 0.40553940266344224, 0.44376450560711933, 0.6024578497684469, 0.8972807561027762]
SG_15_2_1;Haar;pls;"{""n_components"": 12}";0.42245866399710286;[0.405937180528185, 0.4518422434299141, 0.4095965680332095];[0.42245866399710286, 0.9429699509223833, 0.8659692529689375, 0.7501092038425318, 0.5536052875011243, 0.5536052875011243, 0.8740912799132169, 0.8865329962568304, 0.7640800333673318, 0.8659692529689375, 0.42245866399710286, 0.42245866399710286, 0.432466293999145, 0.432466293999145, 0.4653015026155905, 0.4266499032376219, 0.4461564280213668, 0.7325350752032134, 0.4967786943787509, 1.4155685140384138, 0.5928468803185641, 0.43878934275576104, 0.43939252842408116, 0.43878934275576104, 0.7501092038425318, 0.4461564280213668, 0.42245866399710286, 0.7325350752032134, 0.7745000985564072, 0.8968247491109538]
SG_21_3_2;Haar;pls;"{""n_components"": 12}";0.426879289559628;[0.4163259313694055, 0.43493472786927556, 0.4293772094402028];[0.426879289559628, 0.6334284939775924, 0.5908246244785068, 0.5758051588000583, 0.588191125638725, 0.588191125638725, 0.8132759226474152, 0.5802013777958589, 0.632314587104576, 0.5908246244785068, 0.426879289559628, 0.426879289559628, 0.4429281363228221, 0.4429281363228221, 0.46634064023655736, 0.4349420923366942, 0.4762173260364206, 0.6712104552154234, 0.545701354007433, 1.41697760542034, 0.6310340463315953, 0.4319637130861669, 0.4510598117953159, 0.4319637130861669, 0.5758051588000583, 0.4762173260364206, 0.426879289559628, 0.6712104552154234, 0.652389603953356, 0.6722632232994652]
SG_15_3_2;None;pls;"{""n_components"": 10}";0.4339917447161339;[0.4361784277716586, 0.4381583454718612, 0.4276384609048819];[0.4490038186626007, 0.7142243986374687, 0.7194897089515028, 0.6522776034032184, 0.6224240351088642, 0.6224240351088642, 0.9426563283037691, 0.7506284410540154, 0.6190861649732827, 0.7194897089515028, 0.4490038186626007, 0.4490038186626007, 0.4584784029253835, 0.4584784029253835, 0.449199835662829, 0.4339917447161339, 0.503370317619685, 0.503370317619685, 0.6685967701790791, 1.4218555987076396, 0.45036297195802705, 0.5412634261148623, 0.449199835662829, 0.45036297195802705, 0.4490038186626007, 0.5901432656905916, 0.45036297195802705, 0.6447394265220255, 0.6224240351088642, 0.7731136586996185]
