shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
None;AreaNormalization;pls;"{""n_components"": 12}";0.19959996308396133;[0.20202548404674575, 0.21106150247482774, 0.18571290273031055];[0.19959996308396133, 0.2461527646382022, 0.2222090767478949, 0.21223452807129614, 0.23135019922999941, 0.23135019922999941, 0.2567574379960782, 0.23419737130979182, 0.2151816564583633, 0.2222090767478949, 0.19959996308396133, 0.19959996308396133, 0.20734331016521054, 0.20734331016521054, 0.20348029594704573, 0.206325778819313, 0.21819046262187647, 0.20650917151183543, 0.22397330710753047, 0.2654327521707176, 0.2069281482753682, 0.20245441553703472, 0.21071658408027358, 0.20245441553703472, 0.21223452807129614, 0.21819046262187647, 0.19959996308396133, 0.20650917151183543, 0.21983153978966738, 0.23871761718022544]
SG_15_2_1;None;pls;"{""n_components"": 10}";0.20065424114490574;[0.1941335270838016, 0.2257180344467243, 0.18211116190419127];[0.20183337318906924, 0.2553486765937431, 0.22390773086255855, 0.21782281110118232, 0.23412714939650428, 0.23412714939650428, 0.2638540074911489, 0.24036140164868, 0.2203945614416846, 0.22390773086255855, 0.20183337318906924, 0.20183337318906924, 0.20555381387628358, 0.20555381387628358, 0.20593187284811845, 0.20065424114490574, 0.2104881699407973, 0.2104881699407973, 0.21138624035756626, 0.26960043636050574, 0.20587856231995652, 0.20874281726227117, 0.20593187284811845, 0.20587856231995652, 0.20183337318906924, 0.22755643615013477, 0.20587856231995652, 0.20771431009231023, 0.23412714939650428, 0.24668827990821318]
None;None;pls;"{""n_components"": 14}";0.2015688143393737;[0.20063847693084727, 0.21818144661800176, 0.18588651946927218];[0.2036002680400477, 0.2441360102601139, 0.21930837939615566, 0.20766662840478137, 0.24364185767852206, 0.24364185767852206, 0.26651020419091404, 0.2352983510814748, 0.20988905029103555, 0.21930837939615566, 0.2036002680400477, 0.2036002680400477, 0.2034944092472748, 0.2034944092472748, 0.22292531312381203, 0.20387619547998406, 0.21895386640820502, 0.20387619547998406, 0.22292531312381203, 0.2773615628578576, 0.24364185767852206, 0.2036002680400477, 0.210518212633012, 0.2015688143393737, 0.20583608666930464, 0.20387619547998406, 0.21570650279459805, 0.2015688143393737, 0.20387619547998406, 0.21461977099394794]
SG_21_2_1;None;pls;"{""n_components"": 10}";0.20159059911620247;[0.19562799290405783, 0.2239633428279244, 0.18518046161662519];[0.20163027775865716, 0.25106862913794753, 0.22767512574342696, 0.216584686254124, 0.23517267667131703, 0.23517267667131703, 0.2641339147714173, 0.23362054276336217, 0.2229572462129914, 0.22767512574342696, 0.20163027775865716, 0.20163027775865716, 0.2026911560783173, 0.2026911560783173, 0.20449832914073232, 0.20159059911620247, 0.21063244954678098, 0.21063244954678098, 0.21193252096953527, 0.26940849808336903, 0.2090531096887139, 0.2085675690529117, 0.20449832914073232, 0.2090531096887139, 0.20163027775865716, 0.22840807629317475, 0.2090531096887139, 0.20994303767803335, 0.23517267667131703, 0.23750727621275416]
Gaussian_1_2;None;pls;"{""n_components"": 10}";0.2025083984944179;[0.18939307750845208, 0.2269959704841278, 0.1911361474906737];[0.2030959771604117, 0.2515645134965491, 0.23920105634205657, 0.21785410124580715, 0.23226797778931788, 0.23226797778931788, 0.2635715518902922, 0.24904692434975675, 0.22265854384918474, 0.23920105634205657, 0.2030959771604117, 0.2030959771604117, 0.2038618255368878, 0.2038618255368878, 0.20848538585339005, 0.2025083984944179, 0.2150772176493506, 0.2150772176493506, 0.21898660339175702, 0.26994111028908513, 0.20467989232493702, 0.21302015337973404, 0.20848538585339005, 0.20467989232493702, 0.2030959771604117, 0.22727932752878424, 0.20467989232493702, 0.2148128246704927, 0.23226797778931788, 0.25308394683960184]
SG_11_2_1;None;pls;"{""n_components"": 12}";0.20314845880643748;[0.1896213398874912, 0.2221640152957152, 0.19766002123610604];[0.20314845880643748, 0.2588793256331469, 0.23227062675184998, 0.216938488830407, 0.2365246038906206, 0.2365246038906206, 0.26350033439804726, 0.24964839628158408, 0.2188384011600406, 0.23227062675184998, 0.20314845880643748, 0.20314845880643748, 0.2051175598251381, 0.2051175598251381, 0.20942814976323984, 0.20428240592400537, 0.2105445915438903, 0.21489841366161647, 0.22660098750037463, 0.2695753073497772, 0.21271794054824267, 0.20959816974060588, 0.20885208773182873, 0.20959816974060588, 0.216938488830407, 0.2105445915438903, 0.20314845880643748, 0.21489841366161647, 0.22604796306944364, 0.2506601692207804]
ASLSBaseline;None;pls;"{""n_components"": 10}";0.20569259187916364;[0.20102508166531916, 0.21994427156085822, 0.19610842241131352];[0.2092275482460615, 0.25624847608011914, 0.2280171984559345, 0.21785422731700319, 0.24443682166709704, 0.24443682166709704, 0.2650730925504698, 0.24237144479553827, 0.22193739615045271, 0.2280171984559345, 0.2092275482460615, 0.2092275482460615, 0.20923592782015862, 0.20923592782015862, 0.21137602646508358, 0.20569259187916364, 0.21865848780623318, 0.21865848780623318, 0.21689495349183321, 0.2733531594196403, 0.2124610252897808, 0.21144998413977345, 0.21137602646508358, 0.2124610252897808, 0.2092275482460615, 0.22465700780433595, 0.2124610252897808, 0.2144695389112977, 0.24443682166709704, 0.24775302033991622]
SG_21_3_2;None;pls;"{""n_components"": 12}";0.20622674869489233;[0.18299227508711707, 0.22780690249206126, 0.20788106850549865];[0.20622674869489233, 0.25391570306531613, 0.24118426583920324, 0.22393250450511237, 0.23858104953877823, 0.23858104953877823, 0.26563977409592215, 0.24938934087344466, 0.2296836786201776, 0.24118426583920324, 0.20622674869489233, 0.20622674869489233, 0.20722446758401705, 0.20722446758401705, 0.21029584099413054, 0.2086542060562251, 0.2198242411818768, 0.21544982234459079, 0.2297070483472845, 0.28420748827667114, 0.21266475863561732, 0.21030422069005494, 0.21405048257185322, 0.21030422069005494, 0.22393250450511237, 0.2198242411818768, 0.20622674869489233, 0.21544982234459079, 0.23438643019209185, 0.25181573462193935]
SG_21_2_1;Haar;pls;"{""n_components"": 12}";0.20772856087997793;[0.1900610934426857, 0.22290071257624103, 0.21022387662100708];[0.20772856087997793, 0.23708839508344973, 0.23005932799340612, 0.22216828533615232, 0.23133099613216176, 0.23133099613216176, 0.26528966127017134, 0.23934242324587773, 0.22271732577898418, 0.23005932799340612, 0.20772856087997793, 0.20772856087997793, 0.20788936336064964, 0.20788936336064964, 0.21447750896440418, 0.21245401439116887, 0.21606334786299222, 0.21627116133964375, 0.227302646591358, 0.2816014297833724, 0.21974237664081997, 0.2105523477769832, 0.21090565660055507, 0.2105523477769832, 0.22216828533615232, 0.21606334786299222, 0.20772856087997793, 0.21627116133964375, 0.22711976703636946, 0.2360264643945228]
SG_15_3_2;None;pls;"{""n_components"": 13}";0.2094666280541179;[0.18756518582685655, 0.21925042817263157, 0.22158427016286553];[0.21025959364298394, 0.24132265375127462, 0.23837339004983624, 0.22396119551484936, 0.23595595980817197, 0.23595595980817197, 0.277680581696746, 0.23894581987318264, 0.23021070777920605, 0.23837339004983624, 0.21025959364298394, 0.21025959364298394, 0.21331201950491588, 0.21331201950491588, 0.21164236305097495, 0.2180826542437272, 0.21873551596605376, 0.22195698693580015, 0.22441084860670393, 0.29497676711249604, 0.2147637617322293, 0.2094666280541179, 0.2094666280541179, 0.21873551596605376, 0.22396119551484936, 0.21164236305097495, 0.23484407693999623, 0.21873551596605376, 0.22195698693580015, 0.24029118863249707]
ASLSBaseline;AreaNormalization;pls;"{""n_components"": 9}";0.20953880039850994;[0.2053212729821164, 0.22137261675977477, 0.20192251145363868];[0.21486935890404604, 0.2625789250060266, 0.2380310148213437, 0.22585242782104112, 0.23193156477294016, 0.23193156477294016, 0.257032008885945, 0.254541202875751, 0.2299880972413542, 0.2380310148213437, 0.21486935890404604, 0.21486935890404604, 0.21396166013366236, 0.21396166013366236, 0.21725748555563998, 0.21996676784966795, 0.20953880039850994, 0.21725748555563998, 0.22252875289188745, 0.26101509348377133, 0.20953880039850994, 0.21725748555563998, 0.23193156477294016, 0.213959729642163, 0.21996676784966795, 0.21725748555563998, 0.24080828010617003, 0.213959729642163, 0.20953880039850994, 0.21725400798192815]
SG_15_2_1;AreaNormalization;pls;"{""n_components"": 10}";0.21640108035342762;[0.2131711075714545, 0.2242471062855833, 0.211785027203245];[0.22565738963962736, 0.271219755987603, 0.2466863047649626, 0.22886551250896212, 0.23102598316732262, 0.23102598316732262, 0.2689977612784498, 0.2558097675037583, 0.23148502936467366, 0.2466863047649626, 0.22565738963962736, 0.22565738963962736, 0.22018984076462797, 0.22018984076462797, 0.22270423091862615, 0.2287355874772007, 0.2197574278015292, 0.22270423091862615, 0.2278626222728122, 0.2975061526426183, 0.2197574278015292, 0.22270423091862615, 0.23102598316732262, 0.21640108035342762, 0.2287355874772007, 0.22270423091862615, 0.24409233763627167, 0.21640108035342762, 0.22723335989398533, 0.22828865461856704]
SG_15_2_1;Haar;pls;"{""n_components"": 18}";0.21722023467408047;[0.19710120723671748, 0.23832219203796534, 0.2162373047475586];[0.2172991392178806, 0.2221238079701927, 0.2192250601822239, 0.21722023467408047, 0.22534647654516363, 0.22534647654516363, 0.2652531584098858, 0.22053374406698534, 0.2178647307808471, 0.2192250601822239, 0.22122546216232056, 0.2172991392178806, 0.22148758395764576, 0.22333893391295287, 0.221729313765865, 0.22148758395764576, 0.219957438168651, 0.2195861678678194, 0.21989633654703908, 0.2179514033202559, 0.221729313765865, 0.2206482127964968, 0.22122546216232056, 0.21997443092404087, 0.2178647307808471, 0.21989633654703908, 0.2206482127964968, 0.2178647307808471, 0.21997443092404087, 0.22136158341039236]
SG_21_2_1;AreaNormalization;pls;"{""n_components"": 10}";0.21729084848632896;[0.2190431742544188, 0.22162807275129212, 0.21120129845327595];[0.22629234593424172, 0.27836080978775884, 0.24204194791477804, 0.2314721684756111, 0.2323716227095247, 0.2323716227095247, 0.2698188298822648, 0.2553155350382606, 0.2349105500267786, 0.24204194791477804, 0.22629234593424172, 0.22629234593424172, 0.22208141359370215, 0.22208141359370215, 0.22204190119189163, 0.22204190119189163, 0.2192934614273854, 0.29621129081868836, 0.2192934614273854, 0.2346881051463223, 0.22699256036059481, 0.22204190119189163, 0.22204190119189163, 0.25667073695362835, 0.23170008526018726, 0.2186836882294367, 0.24571376125488645, 0.23170008526018726, 0.21729084848632896, 0.22860987798520496]
