shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
None;None;pls;"{""n_components"": 12}";0.19408560234144398;[0.20730409658193352, 0.19189460450788765, 0.1830581059345108];[0.19408560234144398, 0.22780621441158813, 0.2116398884354821, 0.20150173995331458, 0.2362381850479869, 0.2362381850479869, 0.25084512725715563, 0.22816556581976719, 0.20052196370574327, 0.2116398884354821, 0.19408560234144398, 0.19408560234144398, 0.19747299845205915, 0.19747299845205915, 0.19736485098434384, 0.20563768000321206, 0.22237329896969604, 0.1985315384080049, 0.22361328657336152, 0.2570960833388991, 0.19841904928376386, 0.1972329340769187, 0.21677115925627133, 0.1972329340769187, 0.20150173995331458, 0.22237329896969604, 0.19408560234144398, 0.1985315384080049, 0.19858335470559188, 0.22824294527503586]
SG_21_2_1;AreaNormalization;pls;"{""n_components"": 16}";0.19572770258146854;[0.1929146012026512, 0.19250993342761086, 0.20175857311414355];[0.19791979001638385, 0.2286875483406291, 0.21035597477603377, 0.19661541939066227, 0.23228306790921274, 0.23228306790921274, 0.26375477871231034, 0.22156110274937024, 0.19791883302273972, 0.21035597477603377, 0.19852131069640733, 0.19661541939066227, 0.19572770258146854, 0.20034917988215342, 0.19572770258146854, 0.20117758479530226, 0.20574867696018329, 0.19661452719128078, 0.21401315482598718, 0.19661452719128078, 0.19791883302273972, 0.19572770258146854, 0.19572770258146854, 0.19844542939964116, 0.19804738550164394, 0.1963711357891853, 0.20176386094952656, 0.22156110274937024, 0.19852131069640733, 0.19791979001638385]
SG_21_2_1;None;pls;"{""n_components"": 14}";0.19659600292289217;[0.20343004328598074, 0.19543204568067915, 0.19092591980201665];[0.19916293562523835, 0.223190673461803, 0.20963466745477333, 0.20002074667835687, 0.22728014623977488, 0.22728014623977488, 0.24607834693380748, 0.21731544924661192, 0.2054974400018942, 0.20963466745477333, 0.19916293562523835, 0.19916293562523835, 0.19958620811579567, 0.19958620811579567, 0.19659600292289217, 0.1998172381003841, 0.20309351667506337, 0.20002074667835687, 0.1998172381003841, 0.20983548813047012, 0.20963466745477333, 0.19877285528185973, 0.19659600292289217, 0.1998172381003841, 0.20309351667506337, 0.19949884784204744, 0.19659600292289217, 0.20199018326732107, 0.205939219566139, 0.19877285528185973]
SG_15_2_1;AreaNormalization;pls;"{""n_components"": 19}";0.19759715422515756;[0.20253448726861595, 0.18675295098988354, 0.20350402441697318];[0.2017461756018463, 0.2354652810362834, 0.21246153400250609, 0.19857440430096385, 0.231436356887175, 0.231436356887175, 0.2635812391883785, 0.22955132152470223, 0.19759715422515756, 0.21246153400250609, 0.19944686485603014, 0.19857440430096385, 0.19857440430096385, 0.20294313794500277, 0.21246153400250609, 0.20107568175625626, 0.2000493828414659, 0.2272650458899681, 0.20156420407411021, 0.2024137358604345, 0.23757673662224377, 0.19759715422515756, 0.2024137358604345, 0.22955132152470223, 0.1997763329347784, 0.1997332081251981, 0.2024137358604345, 0.22643229214229144, 0.2000493828414659, 0.2017461756018463]
SG_15_2_1;None;pls;"{""n_components"": 13}";0.1982498567332074;[0.20623535309745494, 0.1942597386043536, 0.19425447849781374];[0.2004768889339061, 0.23360954774352982, 0.21723300149350563, 0.20689554944299327, 0.22583944074043047, 0.22583944074043047, 0.2462206378598443, 0.22597078218298372, 0.20555523690358637, 0.21723300149350563, 0.2004768889339061, 0.2004768889339061, 0.20359738764273447, 0.20359738764273447, 0.20036403513043222, 0.2015432803699618, 0.20201135983808086, 0.20689554944299327, 0.2015432803699618, 0.2095727783057436, 0.21723300149350563, 0.1982498567332074, 0.20036403513043222, 0.2015432803699618, 0.20201135983808086, 0.19986171928250018, 0.20555523690358637, 0.19986171928250018, 0.22636738923025868, 0.19986171928250018]
None;AreaNormalization;pls;"{""n_components"": 11}";0.20007991481988643;[0.2015497100250294, 0.19471004114421597, 0.20397999329041397];[0.20486545770338602, 0.23144966651227725, 0.2143197313403773, 0.2029978974162662, 0.23973950195231372, 0.23973950195231372, 0.24840786073798418, 0.2285694964164765, 0.20064957344592052, 0.2143197313403773, 0.2045248211055173, 0.2029978974162662, 0.2029978974162662, 0.20007991481988643, 0.20189716700245144, 0.21140651370184002, 0.2206158062754536, 0.20219617574712845, 0.21485370473295576, 0.20486545770338602, 0.2037303768873394, 0.20189716700245144, 0.23002711148042967, 0.20111152713522348, 0.20111152713522348, 0.20081764389348952, 0.20081764389348952, 0.20081764389348952, 0.22778868258295626, 0.2037303768873394]
SG_11_2_1;None;pls;"{""n_components"": 9}";0.20100198250942847;[0.20205371763997482, 0.20411575474317664, 0.19683647514513392];[0.2047988798126561, 0.23534655584882413, 0.21998048119122515, 0.20995096913036282, 0.22325153681850826, 0.22325153681850826, 0.24623068185063213, 0.23642314120712224, 0.21519519294177022, 0.21998048119122515, 0.2047988798126561, 0.2047988798126561, 0.20419996048545383, 0.20419996048545383, 0.20165295698971217, 0.20165295698971217, 0.20858024387164742, 0.2507200301118774, 0.20858024387164742, 0.21022813238054194, 0.20165295698971217, 0.20165295698971217, 0.20100198250942847, 0.23682002636467592, 0.20907156762913903, 0.20225551404493616, 0.2047366353032448, 0.24474069411838603, 0.20100198250942847, 0.2047366353032448]
ASLSBaseline;None;pls;"{""n_components"": 11}";0.20164983358565944;[0.210965538554866, 0.19585767775056012, 0.1981262844515522];[0.20337643288457805, 0.24395785857641764, 0.22147659035978598, 0.21142510862865646, 0.23294234254637455, 0.23294234254637455, 0.24436916003840037, 0.22455192729876985, 0.21244061656750132, 0.22147659035978598, 0.20337643288457805, 0.20337643288457805, 0.20164983358565944, 0.20164983358565944, 0.2160707204015581, 0.20664617160655863, 0.20238642084723327, 0.20664617160655863, 0.2160707204015581, 0.25224116211882996, 0.23294234254637455, 0.20238642084723327, 0.20364347350982973, 0.20382441999907575, 0.22481159634658554, 0.20868848392645853, 0.20164983358565944, 0.20337643288457805, 0.20382441999907575, 0.21853024289948994]
ASLSBaseline;AreaNormalization;pls;"{""n_components"": 10}";0.20236319596016147;[0.2024471199863604, 0.19590978544044949, 0.20873268245367452];[0.2027434663140101, 0.2516734873584851, 0.22383101392309768, 0.21249920281759518, 0.2220345923097989, 0.2220345923097989, 0.2529502201279909, 0.24003274856452217, 0.21816958448939383, 0.22383101392309768, 0.2027434663140101, 0.2027434663140101, 0.20432997848121057, 0.20432997848121057, 0.2035254622258175, 0.20236319596016147, 0.20728892342123062, 0.20728892342123062, 0.20950823674662203, 0.26234054021741565, 0.2028832361977738, 0.2057454350825361, 0.2035254622258175, 0.2028832361977738, 0.2027434663140101, 0.21957619189501562, 0.2028832361977738, 0.20637009661943892, 0.2220345923097989, 0.24417080039935327]
SG_11_2_1;AreaNormalization;pls;"{""n_components"": 9}";0.20259655288974188;[0.20471926704250093, 0.1956377212111219, 0.20743267041560276];[0.20597479268009333, 0.22886958235147592, 0.21523033080362394, 0.20791961158312855, 0.23373029133472875, 0.23373029133472875, 0.26489603698240544, 0.22881009582978726, 0.20671600288843137, 0.21523033080362394, 0.20597479268009333, 0.20597479268009333, 0.20285819768949628, 0.20285819768949628, 0.2056737896900667, 0.21054353659820987, 0.20259655288974188, 0.2056737896900667, 0.21093868118988238, 0.27586559235361574, 0.20259655288974188, 0.2056737896900667, 0.23373029133472875, 0.2047895463659821, 0.21054353659820987, 0.20259655288974188, 0.24534376374948974, 0.2056737896900667, 0.2538200719987756, 0.20371722025247366]
