shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
SG_21_3_2;AreaNormalization;pls;"{""n_components"": 7}";1.6255729722044547;[1.3316728729682676, 2.0092077837260467, 1.5358382599190497];[2.1928968841889023, 3.0526501885537294, 2.888626294120858, 2.6468293539035272, 1.8996629216245455, 1.8996629216245455, 1.9246472956176035, 2.94532258171775, 2.6925533685884226, 2.888626294120858, 1.9579577624107654, 1.8692254484614466, 1.8692254484614466, 1.8692254484614466, 1.9579577624107654, 1.7376124203865306, 1.6255729722044547, 2.2975889942597165, 1.7376124203865306, 1.7517423502260925, 2.372199506450451, 1.7376124203865306, 1.6255729722044547, 1.8399574395005664, 2.5165199692726508, 1.7517423502260925, 1.9220479617754684, 2.1928968841889023, 1.8045483256614354, 1.6255729722044547]
SG_21_3_2;Haar;pls;"{""n_components"": 6}";1.685974156661964;[1.503764552550639, 1.9216100480632161, 1.632547869372036];[2.385859942568889, 3.092595686134326, 3.0765185451191956, 2.957683976335011, 1.8086715189287677, 1.8086715189287677, 2.156481867444404, 3.0809113097060847, 3.030376639535667, 3.0765185451191956, 2.099723059907993, 1.9661979244236083, 1.6887682813241416, 1.8073512497448043, 2.2077899739506774, 1.6887682813241416, 2.6878256904240456, 1.6887682813241416, 2.7707877917131927, 1.8904830103125778, 1.8073512497448043, 1.8073512497448043, 1.685974156661964, 1.9690131186951074, 2.5635662142670883, 1.685974156661964, 1.9661979244236083, 2.099723059907993, 1.8086715189287677, 2.385859942568889]
SG_15_3_2;None;pls;"{""n_components"": 6}";1.731519234621948;[1.4648759459177056, 1.9844647635279626, 1.7452169944201752];[2.2225462177326265, 3.075039889730531, 2.8023470598285805, 2.6484487848897653, 1.7698530021283891, 1.7698530021283891, 2.1379985363793774, 2.9588948531979606, 2.671147439120291, 2.8023470598285805, 2.1867434793138676, 1.959903283377588, 1.7579264884723564, 1.8879422828497372, 2.339476107387721, 1.731519234621948, 1.731519234621948, 2.5211594163727185, 1.9815215661833914, 2.0905187991791077, 2.6282106853863603, 1.7579264884723564, 2.206070883295918, 1.7579264884723564, 2.03677212622144, 1.7579264884723564, 2.502318978149875, 1.7698530021283891, 1.959903283377588, 2.2225462177326265]
SG_21_2_1;Haar;pls;"{""n_components"": 8}";1.7438260956671023;[1.5749617441017085, 2.180119282101064, 1.4763972607985338];[2.0699821082038654, 2.720710034785459, 2.421474257542888, 2.4180968654245203, 1.849904295485645, 1.849904295485645, 2.0000592809878808, 2.6125808714373684, 2.422478636488453, 2.421474257542888, 1.8449539382728906, 1.8449539382728906, 1.9407165000125726, 1.9407165000125726, 2.1963178271868347, 1.759215843424146, 1.8043071810740272, 1.8043071810740272, 2.0000592809878808, 1.8043071810740272, 2.242865183387702, 1.8043071810740272, 1.9329070998548172, 1.7438260956671023, 1.9196081696849856, 1.759215843424146, 2.10612094665985, 1.759215843424146, 2.36082548745534, 2.0699821082038654]
SG_11_2_1;Haar;pls;"{""n_components"": 6}";1.7442135655853415;[1.5238014470732386, 2.004345607600859, 1.7044936420819272];[2.2114724352936435, 3.0400689169356494, 2.744787240437571, 2.6036326147893356, 1.8551033247164732, 1.8551033247164732, 2.1049083274103637, 2.9460662254389267, 2.6329652149898783, 2.744787240437571, 2.1493931125187866, 1.961118544866513, 1.8429232580748913, 1.9311924683558193, 2.4116324697273126, 1.7442135655853415, 1.7442135655853415, 2.4724562840153905, 1.8684444915953584, 2.0412391734938202, 2.538380588804176, 1.8429232580748913, 2.217217803499652, 1.8429232580748913, 1.9833448255057988, 1.8429232580748913, 2.4420369138600244, 1.8551033247164732, 1.961118544866513, 2.2114724352936435]
SG_15_3_2;AreaNormalization;pls;"{""n_components"": 4}";1.7468689384772738;[1.4715312503526277, 2.087829028185342, 1.681246536893851];[2.2879758704339115, 2.969256540061328, 2.7277613790854733, 2.5491408039936956, 1.8769380602280885, 1.8769380602280885, 2.0714508710523662, 2.8569043575646, 2.578454116748875, 2.7277613790854733, 2.1568847197155896, 1.900461028955614, 2.008134592957521, 1.8769380602280885, 2.306944885233921, 2.008134592957521, 1.7468689384772738, 2.1568847197155896, 2.484441557403782, 1.874168613613536, 1.900461028955614, 1.7468689384772738, 2.0309326712225664, 1.874168613613536, 1.7468689384772738, 2.184958893385319, 1.7468689384772738, 2.306944885233921, 1.8915603001972618, 2.1708290100008543]
Gaussian_1_2;Haar;pls;"{""n_components"": 4}";1.7634673672135903;[1.5370657460808568, 2.197906053846155, 1.5554303017137592];[2.1592285628478285, 2.937005474740687, 2.820757044975251, 2.6848373846100153, 1.897404700528872, 1.897404700528872, 2.0134717813632066, 2.8626443779295534, 2.727309546766476, 2.820757044975251, 2.0553237774707913, 1.9468839817534143, 1.8722477208478825, 1.8971889108810298, 2.0911273493156357, 1.8722477208478825, 2.493499842949563, 1.8722477208478825, 2.52579044247469, 1.7634673672135903, 1.9541061733423037, 1.8971889108810298, 1.7634673672135903, 1.7634673672135903, 1.7634673672135903, 1.9468839817534143, 1.7634673672135903, 2.0553237774707913, 2.342726412855331, 1.897404700528872]
None;Haar;pls;"{""n_components"": 4}";1.7645321318874592;[1.613751264635526, 2.0224260344001124, 1.6574190966267388];[2.346299218091102, 2.7746069500644333, 2.8164559228711, 2.7702409540652435, 1.8885452652851622, 1.8885452652851622, 1.9998451759817737, 2.786694291256611, 2.780495550029494, 2.8164559228711, 2.176681951062078, 1.9606266321725034, 1.9498054407070953, 1.8885452652851622, 2.476912566044891, 1.9498054407070953, 1.7645321318874592, 2.176681951062078, 2.5968477209939893, 1.98685975750717, 1.9225508619002207, 1.8885452652851622, 1.7645321318874592, 1.98685975750717, 1.9606266321725034, 2.041480998756371, 1.8885452652851622, 2.476912566044891, 1.7645321318874592, 2.2519572463002806]
SG_15_2_1;Haar;pls;"{""n_components"": 8}";1.768038697305202;[1.8177480258146959, 1.9923252303245411, 1.4940428357763695];[2.2475878034393015, 3.3677256471545047, 3.143374781187834, 2.9976747109912947, 1.8096434432043649, 1.8096434432043649, 2.0261747189371353, 3.3273092227818943, 3.0750453976750207, 3.143374781187834, 2.022920665377674, 1.9564039566775187, 1.7957225407842519, 1.768038697305202, 2.173743693718739, 1.7957225407842519, 2.644870978252948, 1.768038697305202, 2.6847098721842233, 1.9405752960428801, 1.8346580544770912, 1.768038697305202, 1.7957225407842519, 2.2475878034393015, 1.9405752960428801, 1.9550630868417693, 2.644870978252948, 1.768038697305202, 2.9976747109912947, 2.2475878034393015]
SG_21_3_2;None;pls;"{""n_components"": 8}";1.7865328684828377;[1.7990024643046758, 2.087064130151865, 1.4735320109919714];[2.1983132362868765, 3.3424520444982946, 3.1207913638140226, 2.864657786630017, 1.8744329372260318, 1.8744329372260318, 1.9548671634865507, 3.250280660537758, 2.94424595364123, 3.1207913638140226, 1.9944639352892344, 1.9333327989441589, 1.806717773781524, 1.7865328684828377, 2.077931060783493, 1.806717773781524, 2.425206144316297, 1.7865328684828377, 2.5253046354823177, 1.8024907328477828, 1.9021950976254758, 1.8024907328477828, 2.2793829688915337, 1.7865328684828377, 1.806717773781524, 2.6950465819767504, 1.97373756168078, 1.7865328684828377, 2.077931060783493, 2.1983132362868765]
