shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
None;None;pls;"{""n_components"": 20}";0.30367106538889993;[0.3083825423184948, 0.2944932170453544, 0.3081374368028506];[0.31903669947568797, 0.30794744475296804, 0.3098127744785362, 0.30515840337952593, 0.38336823403598896, 0.38336823403598896, 0.4360569138479697, 0.30962873094898286, 0.30389448069578456, 0.3098127744785362, 0.31076044338666886, 0.30515840337952593, 0.30515840337952593, 0.324297520497771, 0.3098127744785362, 0.30549701624432996, 0.34212744288033076, 0.30681596743915657, 0.30802013921839067, 0.30367106538889993, 0.3110036536989415, 0.30389448069578456, 0.30550751132036896, 0.30962873094898286, 0.30367106538889993, 0.30827098137059866, 0.30367106538889993, 0.30802013921839067, 0.30550751132036896, 0.31903669947568797]
ASLSBaseline;None;pls;"{""n_components"": 19}";0.3058101376919034;[0.3105843058863031, 0.30152610259819496, 0.3053200045912123];[0.31817820302682415, 0.3101807501340474, 0.308262560665364, 0.3073922496328753, 0.3829425625863951, 0.3829425625863951, 0.4457013942948998, 0.31146654012129116, 0.3058101376919034, 0.308262560665364, 0.30976863734666416, 0.3073922496328753, 0.3073922496328753, 0.32145921748104866, 0.308262560665364, 0.30614595485193125, 0.3296350558246363, 0.30760148524566855, 0.30644997827518466, 0.3142975734101397, 0.3351922585409952, 0.30644997827518466, 0.3058101376919034, 0.30696464306562193, 0.30760148524566855, 0.3058101376919034, 0.30696464306562193, 0.3143494037275088, 0.30696464306562193, 0.30923335953541925]
ASLSBaseline;AreaNormalization;pls;"{""n_components"": 18}";0.32563868116157757;[0.33094830765152344, 0.3183904398173449, 0.3275772960158644];[0.3399074285282704, 0.3341064573788026, 0.33475234321892683, 0.32563868116157757, 0.40165582044318376, 0.40165582044318376, 0.4513074279836628, 0.33505491890210504, 0.3283939113518136, 0.33475234321892683, 0.33672348906121674, 0.32563868116157757, 0.32689740218152646, 0.35634092709271026, 0.32563868116157757, 0.33381167742248197, 0.35754322515172476, 0.32689740218152646, 0.3283939113518136, 0.3366329452479211, 0.3373996863107685, 0.3283939113518136, 0.3335848562559116, 0.32563868116157757, 0.327188176610814, 0.3307731591425009, 0.34336773623283423, 0.3373996863107685, 0.3335848562559116, 0.36976219158860174]
SG_15_2_1;None;pls;"{""n_components"": 23}";0.3267294459793466;[0.32547508720145846, 0.3264302211322101, 0.32828302960437133];[0.3637586265528434, 0.34295428349970325, 0.3276524086851696, 0.3413836743336929, 0.40828531750586566, 0.40828531750586566, 0.4576588491879741, 0.3280967556541408, 0.33982367465881974, 0.3276524086851696, 0.3681491214337833, 0.3267294459793466, 0.3280967556541408, 0.3276524086851696, 0.35098888765461184, 0.3267294459793466, 0.34616682995742853, 0.3292281038151494, 0.3437967565602147, 0.3320440014244339, 0.35098888765461184, 0.3267294459793466, 0.32777864589131234, 0.3372053573696425, 0.3267294459793466, 0.3320440014244339, 0.3327305478811542, 0.3483445608029952, 0.3320440014244339, 0.3681491214337833]
SG_11_2_1;None;pls;"{""n_components"": 25}";0.3286579822364338;[0.34028178507970486, 0.31914076299345767, 0.3265513986361387];[0.3585183345280251, 0.33100303497150846, 0.33581198157380504, 0.34077843923441264, 0.4271149670658836, 0.4271149670658836, 0.45458358008398975, 0.32926172383937025, 0.3385078911643791, 0.33581198157380504, 0.33412073899838424, 0.33100303497150846, 0.3286579822364338, 0.3286579822364338, 0.3585183345280251, 0.33203367882032503, 0.35277640194288923, 0.32926172383937025, 0.34077843923441264, 0.33712666366142424, 0.32926172383937025, 0.3286579822364338, 0.33203367882032503, 0.3304493538714056, 0.3486443884965575, 0.33203367882032503, 0.33712666366142424, 0.3385078911643791, 0.332896454167082, 0.3653048485340375]
SG_11_2_1;Haar;pls;"{""n_components"": 21}";0.33292516338034134;[0.3329678687361331, 0.33932118358193086, 0.32648643782296005];[0.3737181490425326, 0.3513838709535248, 0.33645902160375657, 0.34119633188981285, 0.41568519405907206, 0.41568519405907206, 0.443178118046637, 0.3453810505929907, 0.33618105977216134, 0.33645902160375657, 0.36335287928433474, 0.33292516338034134, 0.33618105977216134, 0.3763434410415094, 0.3419783688943976, 0.34119633188981285, 0.3513838709535248, 0.380321086550443, 0.3518268010576044, 0.3453810505929907, 0.333826095739676, 0.33292516338034134, 0.33645902160375657, 0.3550567473229544, 0.33292516338034134, 0.3419783688943976, 0.3453810505929907, 0.33292516338034134, 0.3477073025651635, 0.36335287928433474]
SG_21_2_1;None;pls;"{""n_components"": 22}";0.3329355207843898;[0.3344701419717715, 0.3314405076972609, 0.3328959126841371];[0.355494331740066, 0.3486298949609161, 0.3329355207843898, 0.3390956384848038, 0.39178217221563405, 0.39178217221563405, 0.45661975797959325, 0.34444593270169127, 0.33517649091137997, 0.3329355207843898, 0.35954790834417905, 0.33339039432709167, 0.33428434199299445, 0.35057516498848806, 0.3421755096351055, 0.346197977879235, 0.33880640231406894, 0.3329355207843898, 0.3479036258231476, 0.3487745839335183, 0.3421755096351055, 0.33428434199299445, 0.33428434199299445, 0.33339039432709167, 0.33517649091137997, 0.34634870164874565, 0.33339039432709167, 0.34555004241368775, 0.35246823492338786, 0.3675576769691868]
SG_15_2_1;Haar;pls;"{""n_components"": 22}";0.3357357559139351;[0.32617709764393715, 0.33992871566927024, 0.34110145442859807];[0.3687927232378061, 0.3608398585969943, 0.3357357559139351, 0.34455515601792336, 0.4142334094335844, 0.4142334094335844, 0.44735489843069215, 0.35059452609272856, 0.3389390119087317, 0.3357357559139351, 0.3815703410442873, 0.33763231050549697, 0.3372842648073591, 0.368928610179462, 0.35030272279029, 0.3584550352135493, 0.35225379725248573, 0.3357357559139351, 0.36921101220283936, 0.36153179890182985, 0.35030272279029, 0.3372842648073591, 0.3372842648073591, 0.33763231050549697, 0.3389390119087317, 0.3542479464668104, 0.33763231050549697, 0.3634064914332861, 0.3711216196783509, 0.38685473851036584]
None;Haar;pls;"{""n_components"": 11}";0.3366812382673224;[0.3356147248300817, 0.33141117189070196, 0.34301781808118365];[0.33809670283313703, 0.35010968826238814, 0.34735293876826767, 0.3442538634586667, 0.3673243864067452, 0.3673243864067452, 0.39907013373129363, 0.34363694598635225, 0.34499067606963413, 0.34735293876826767, 0.33809670283313703, 0.33809670283313703, 0.3366812382673224, 0.3366812382673224, 0.3418951010280727, 0.34698329823548374, 0.33796872887808976, 0.34698329823548374, 0.3418951010280727, 0.4235237819292075, 0.3673243864067452, 0.33796872887808976, 0.3377992694098207, 0.3397832801623469, 0.3377992694098207, 0.3453585457939821, 0.34061599998911524, 0.35594833464873216, 0.3377992694098207, 0.33809670283313703]
SG_21_2_1;Haar;pls;"{""n_components"": 25}";0.3367696238055418;[0.3470654973771295, 0.3274682251662648, 0.3357751488732313];[0.3569615460446474, 0.34364079969718286, 0.3401396433225891, 0.3450502477863447, 0.40891027958034937, 0.40891027958034937, 0.44879489254933436, 0.3398955792124913, 0.3394747397730336, 0.3401396433225891, 0.35795160914974894, 0.34364079969718286, 0.34026912674035753, 0.3536208467021538, 0.3367696238055418, 0.3614752088960687, 0.34015953112086206, 0.3398955792124913, 0.35517079490695247, 0.34015953112086206, 0.3682854520229613, 0.3367696238055418, 0.3367696238055418, 0.3466706481841839, 0.3398955792124913, 0.34026912674035753, 0.34087927155464653, 0.34214474102516523, 0.3432306636576632, 0.3367696238055418]
