shape;final_repr;model;best_params;mean_score;fold_scores;trial_values
None;None;pls;"{""n_components"": 20}";1.896286373928703;[1.9043115047710142, 1.9533134626893827, 1.8312341543257122];[1.9507841608427068, 1.921007548744207, 1.918044062879772, 1.9080677407027247, 2.185424026601775, 2.185424026601775, 2.3703883502432723, 1.9279691578679696, 1.9036323018593546, 1.918044062879772, 1.9233904901103518, 1.9080677407027247, 1.9080677407027247, 1.981167591892321, 1.918044062879772, 1.8990018554658692, 1.9918471941267348, 1.9378912608321723, 1.9140288316174072, 1.9528905622852963, 2.0004406422719625, 1.9080677407027247, 1.896286373928703, 1.896286373928703, 1.9378912608321723, 1.91334823406352, 1.9233904901103518, 1.8990306303303137, 1.896286373928703, 1.939166261631115]
ASLSBaseline;None;pls;"{""n_components"": 16}";1.9190984727650189;[1.8522929446396699, 1.9971178254079136, 1.9078846482474727];[1.9319428606963098, 1.9989290340957109, 1.9725630965169476, 1.9407857381045244, 2.2119966732861394, 2.2119966732861394, 2.4286735044662904, 2.003464324009545, 1.9314888668290404, 1.9725630965169476, 1.9191238126907813, 1.9319428606963098, 1.9313710232150871, 1.9284666683401064, 1.962460659907973, 1.962460659907973, 1.9313710232150871, 2.043883664569361, 1.9407857381045244, 1.9191238126907813, 1.9725630965169476, 1.9284666683401064, 2.043883664569361, 1.9190984727650189, 1.9285180777207496, 1.9520119447077215, 1.9190984727650189, 2.003464324009545, 1.9285180777207496, 1.962460659907973]
SG_15_2_1;None;pls;"{""n_components"": 20}";1.9407272596998633;[1.9196124967137627, 1.9694936792467266, 1.9330756031391005];[2.047961335358751, 2.0280878602887777, 1.9592913038353963, 1.9756014150459482, 2.2615980229321226, 2.2615980229321226, 2.4660316667145956, 1.9890017978422287, 1.95656065516637, 1.9592913038353963, 2.005142054668332, 1.950530633988407, 1.95656065516637, 2.057001361868583, 1.9634996878919733, 1.9756014150459482, 2.0280878602887777, 2.0924897857710305, 1.9887071133184746, 1.9890017978422287, 1.9407272596998633, 1.950530633988407, 1.9592913038353963, 1.9923011784867477, 1.950530633988407, 1.9890017978422287, 1.9634996878919733, 1.9887071133184746, 1.9634996878919733, 1.9407272596998633]
SG_21_2_1;None;pls;"{""n_components"": 15}";1.9483011219679893;[1.9193261616255672, 1.969540924619428, 1.9560362796589723];[1.9885019652973286, 2.105355591092446, 1.9899477842766906, 1.9577117608225247, 2.148472032965239, 2.148472032965239, 2.421561842526739, 2.066033130934376, 1.9550959572658915, 1.9899477842766906, 1.9643572038822075, 1.9577117608225247, 1.9577117608225247, 2.0118025672462356, 1.9899477842766906, 1.9541099235700135, 2.0332822328183453, 2.0523488630938806, 1.9483011219679893, 2.0688064786959894, 1.9483011219679893, 1.9483011219679893, 1.9643572038822075, 1.9483011219679893, 2.0688064786959894, 1.967705961101382, 1.9550977908686737, 2.0332822328183453, 1.957953924710224, 1.9885019652973286]
SG_11_2_1;None;pls;"{""n_components"": 23}";1.953654180753463;[1.915746027339192, 2.004930400836338, 1.9402861140848595];[2.0684777337784768, 2.019596350687531, 1.9687959768609489, 1.978304958542705, 2.3312176731265506, 2.3312176731265506, 2.468784838980449, 1.9794252659241576, 1.9834954730730407, 1.9687959768609489, 2.0997256853164568, 1.953654180753463, 1.9794252659241576, 1.9687959768609489, 2.031216392636919, 1.953654180753463, 2.0420441359337613, 1.9742068737180272, 1.985766805181781, 1.972351031359745, 2.031216392636919, 1.953654180753463, 1.9765157591985514, 2.003395841238816, 1.953654180753463, 1.972351031359745, 1.9886274737817373, 2.00034462978537, 1.972351031359745, 2.0997256853164568]
SG_15_3_2;Haar;pls;"{""n_components"": 28}";1.9769933621943674;[1.9349011301259063, 1.9983627104311643, 1.997716246026032];[2.200223221303716, 1.9938564649899597, 2.037969806966436, 2.0797797667999336, 2.3727688113393604, 2.3727688113393604, 2.474837062124093, 2.0109047885555023, 2.0843699088719445, 2.037969806966436, 2.0279988112979037, 1.9938564649899597, 2.0279988112979037, 2.200223221303716, 2.0220695938422852, 2.0109047885555023, 2.0279988112979037, 2.200223221303716, 2.0257023851320732, 2.132034947131981, 2.0006454896711525, 2.0006454896711525, 1.9769933621943674, 1.9769933621943674, 2.013506455282974, 2.067871673886367, 1.9769933621943674, 2.049949993731165, 1.9769933621943674, 2.132034947131981]
ASLSBaseline;AreaNormalization;pls;"{""n_components"": 17}";1.994764702925579;[1.9167085060633138, 2.07129091530708, 1.9962946874063436];[2.0416450273928404, 2.170389732937538, 2.0472446646299107, 1.9958964431685715, 2.3135330533420007, 2.3135330533420007, 2.438133222946243, 2.135991148735858, 2.0025270517872706, 2.0472446646299107, 2.0270494816842763, 1.9958964431685715, 2.013791759868161, 2.0715207038604766, 1.9958964431685715, 2.076262293629618, 2.099054831397314, 2.013791759868161, 2.0025270517872706, 2.1769643169963415, 2.1106221431264522, 2.0025270517872706, 2.0212132025534957, 1.9958964431685715, 1.994764702925579, 2.020467135300835, 2.0411259658868417, 2.0472446646299107, 2.1106221431264522, 2.0416450273928404]
SG_11_2_1;Haar;pls;"{""n_components"": 24}";2.012296638559223;[1.9792282789923172, 2.0616414926229965, 1.9960201440623555];[2.206182434340993, 2.02119291651861, 2.0448637710216757, 2.048120875670218, 2.3370521996823936, 2.3370521996823936, 2.428198634446302, 2.0260773026496666, 2.0299960763618428, 2.0448637710216757, 2.0271890379526702, 2.02119291651861, 2.0271890379526702, 2.206182434340993, 2.023336457105873, 2.0260773026496666, 2.0271890379526702, 2.206182434340993, 2.0222625430006578, 2.1353098192261277, 2.0403072406270177, 2.0222625430006578, 2.0313779225121804, 2.0222625430006578, 2.0326975605133897, 2.0313779225121804, 2.023336457105873, 2.0313779225121804, 2.012296638559223, 2.170473755128231]
None;Haar;pls;"{""n_components"": 11}";2.018760372216032;[2.035201592864014, 1.9923593608048595, 2.028720162979222];[2.022448202555177, 2.1210522440424247, 2.0972074168090695, 2.0955846060450702, 2.151880912271258, 2.151880912271258, 2.3133532559254593, 2.081898034716182, 2.100364240064662, 2.0972074168090695, 2.022448202555177, 2.022448202555177, 2.018760372216032, 2.018760372216032, 2.0723931175904653, 2.064680160548976, 2.036298648396782, 2.064680160548976, 2.0723931175904653, 2.366138877019208, 2.151880912271258, 2.022448202555177, 2.034210256422743, 2.044476937524161, 2.099791668211004, 2.034210256422743, 2.0370551817618145, 2.086320141748288, 2.100364240064662, 2.018760372216032]
SG_21_2_1;Haar;pls;"{""n_components"": 27}";2.028217024792735;[1.9240343475180155, 2.0582244759905874, 2.1023922508696034];[2.100410332962264, 2.047970819426396, 2.0670320099011907, 2.101576536779239, 2.3273810984135523, 2.3273810984135523, 2.436968326895897, 2.040319494890081, 2.090010891047825, 2.0670320099011907, 2.064393366479891, 2.047970819426396, 2.035865080961551, 2.035865080961551, 2.100410332962264, 2.0348259977555543, 2.1179587386231127, 2.035865080961551, 2.055058301242355, 2.1179587386231127, 2.040319494890081, 2.0348259977555543, 2.0458437543256385, 2.090010891047825, 2.028217024792735, 2.037989310322056, 2.028217024792735, 2.028217024792735, 2.028217024792735, 2.100410332962264]
ASLSBaseline;Haar;pls;"{""n_components"": 11}";2.029137802058273;[2.0491908930705334, 2.005774475012781, 2.032448038091506];[2.03195144299425, 2.1633556776391853, 2.12029362421556, 2.114670023041977, 2.1566600502089304, 2.1566600502089304, 2.3144909623875844, 2.120104202664669, 2.1171798135095385, 2.12029362421556, 2.03195144299425, 2.03195144299425, 2.029137802058273, 2.029137802058273, 2.0783620437022856, 2.076645001444638, 2.043256941623325, 2.076645001444638, 2.0783620437022856, 2.3684518428224695, 2.1566600502089304, 2.03195144299425, 2.0402254765146535, 2.0579446871536153, 2.1170093354629906, 2.0402254765146535, 2.0461840234300355, 2.090730626617479, 2.1171798135095385, 2.029137802058273]
Gaussian_1_2;None;pls;"{""n_components"": 22}";2.030744578371118;[2.0432355656292467, 2.0354344994234705, 2.0135636700606367];[2.142980482616751, 2.073202853071411, 2.030744578371118, 2.0851580344702167, 2.4172304536651548, 2.4172304536651548, 2.4577301743468127, 2.060617636962618, 2.0713679787173636, 2.030744578371118, 2.1926786084517835, 2.044017809655969, 2.040207984192833, 2.114074260998223, 2.048918646766889, 2.076297726060931, 2.095191097762972, 2.030744578371118, 2.0921100089105584, 2.0782308939267393, 2.048918646766889, 2.040207984192833, 2.040207984192833, 2.044017809655969, 2.0713679787173636, 2.075168101367676, 2.044017809655969, 2.08513229648344, 2.1228924546024213, 2.226842924219619]
SG_21_3_2;Haar;pls;"{""n_components"": 22}";2.0356279531983428;[2.0012650074382234, 2.0305077918923025, 2.0751110602645024];[2.16528572020525, 2.1552765915674357, 2.0356279531983428, 2.0799446332719356, 2.325375672457872, 2.325375672457872, 2.4532375091273386, 2.106427086291223, 2.062346301049812, 2.0356279531983428, 2.190309030865818, 2.0592429104327663, 2.041013999984011, 2.1227598506060716, 2.0827751398680867, 2.1407973180081963, 2.080097754300361, 2.0356279531983428, 2.0945369494813852, 2.1669471915594922, 2.0827751398680867, 2.041013999984011, 2.041013999984011, 2.0592429104327663, 2.062346301049812, 2.1214245663799844, 2.0592429104327663, 2.0873170292978434, 2.122561185647205, 2.2228573328088745]
SG_21_3_2;None;pls;"{""n_components"": 30}";2.0699386286941803;[2.0167501339976077, 2.0506323714470134, 2.142433380637919];[2.2974702706915213, 2.102024292437409, 2.130959960962887, 2.1587672149064048, 2.447214960068266, 2.447214960068266, 2.48229877368558, 2.1066869729168345, 2.1509979716559973, 2.130959960962887, 2.0699386286941803, 2.110575434889197, 2.0699386286941803, 2.2974702706915213, 2.0699386286941803, 2.138027578042411, 2.1066869729168345, 2.2974702706915213, 2.0699386286941803, 2.19934977205344, 2.130959960962887, 2.0699386286941803, 2.1066869729168345, 2.1288991304336373, 2.0699386286941803, 2.138027578042411, 2.110575434889197, 2.138027578042411, 2.1359004454009503, 2.2327912007909045]
SG_15_2_1;Haar;pls;"{""n_components"": 20}";2.1042470126387838;[2.040022523531128, 2.0633566381511823, 2.2093618762340412];[2.1754802430267, 2.148894195505886, 2.133650081202022, 2.108600765930125, 2.3224014466594975, 2.3224014466594975, 2.4374901154279347, 2.1252549581664706, 2.10779153617653, 2.133650081202022, 2.156392733751426, 2.108600765930125, 2.108600765930125, 2.20461308587802, 2.133650081202022, 2.1084759142917497, 2.195267377914777, 2.1127779264008577, 2.1502849257397476, 2.159143382684944, 2.2148099222455855, 2.108600765930125, 2.1042470126387838, 2.1042470126387838, 2.1244354139296995, 2.1252549581664706, 2.1042470126387838, 2.1247853591666774, 2.156392733751426, 2.1042470126387838]
SG_15_3_2;None;pls;"{""n_components"": 21}";2.1102910704637994;[2.111666678053704, 2.1238941419058173, 2.095312391431877];[2.3764693443949967, 2.1465960916166136, 2.1152097979107354, 2.1491657440509813, 2.445189619715025, 2.445189619715025, 2.5079889782163893, 2.133293913675983, 2.114691621938037, 2.1152097979107354, 2.283613725407221, 2.1102910704637994, 2.114691621938037, 2.421957281597603, 2.135288684856547, 2.1491657440509813, 2.1465960916166136, 2.4123709131638176, 2.2196659586825263, 2.133293913675983, 2.1177516702069994, 2.114691621938037, 2.2568816673413226, 2.1152097979107354, 2.2196659586825263, 2.135843907002186, 2.1177516702069994, 2.317429605633752, 2.4099768814596154, 2.171247329559051]
None;AreaNormalization;pls;"{""n_components"": 30}";2.2160008654101464;[2.1383458837669194, 2.2320158509924504, 2.277640861471069];[2.49824464960477, 2.2183439831008367, 2.302648521319409, 2.3945618124912103, 2.3491123089644455, 2.3491123089644455, 2.4220548613811563, 2.2511762532464448, 2.3123864944960624, 2.302648521319409, 2.2160008654101464, 2.2221049561421196, 2.2160008654101464, 2.49824464960477, 2.2160008654101464, 2.2677666094037114, 2.2511762532464448, 2.49824464960477, 2.2160008654101464, 2.440402754311927, 2.302648521319409, 2.2160008654101464, 2.2511762532464448, 2.229484760834392, 2.2160008654101464, 2.2677666094037114, 2.2221049561421196, 2.2677666094037114, 2.3452083431012256, 2.435514922861619]
Gaussian_1_2;Haar;pls;"{""n_components"": 25}";2.2427288792196545;[2.3182608041355244, 2.2228344116268945, 2.1870914218965436];[2.3902050596144817, 2.343629553065664, 2.2452881458016534, 2.352847250951027, 2.4846222519091405, 2.4846222519091405, 2.5275544307330975, 2.2788753299834794, 2.3020039252748496, 2.2452881458016534, 2.4179227757927726, 2.2538121719842397, 2.258301760128808, 2.4111524472930097, 2.2427288792196545, 2.3208049844513794, 2.2427288792196545, 2.2788753299834794, 2.3848328547261617, 2.3979410171565374, 2.2427288792196545, 2.2427288792196545, 2.2427288792196545, 2.27338239203664, 2.2913616286275578, 2.251291436847166, 2.3848328547261617, 2.406885247677408, 2.3208049844513794, 2.4099487154020345]
SG_21_2_1;AreaNormalization;pls;"{""n_components"": 1}";2.5779405334187078;[2.5554962401674817, 2.6110121241497395, 2.5673132359389026];[4.293553594371772, 10.09996524184315, 8.252446516272684, 9.33056055708788, 2.6914261647905113, 2.6914261647905113, 2.5839843863331815, 9.795660349017458, 8.983551657359522, 8.252446516272684, 2.5779405334187078, 2.5779405334187078, 4.069089705000478, 2.5779405334187078, 3.8299987118000423, 3.3020777772679515, 2.5779405334187078, 5.4044621072346954, 2.750679330853145, 3.3020777772679515, 2.5987165349637915, 2.5779405334187078, 3.496957519612065, 2.708055539735002, 2.5779405334187078, 3.5880180220182627, 2.708055539735002, 4.950673937001256, 2.5987165349637915, 7.316122222222802]
