dataset_type,dataset_name,n_train,n_test,n_features,n_classes,seed,n_estimators,device,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro,roc_auc
ARABIDOPSIS_CEFE,InOut_1264,884,379,2152,2,42,4,cpu,1.0,1.0,1.0,,1.0
MILK,labels_kenstone70_strat,315,135,601,1,42,4,cpu,1.0,1.0,1.0,,
FruitPuree,Strawberry2C_983_Holland_Acc94.3,666,317,235,2,42,4,cpu,0.9873817034700315,0.986353852776582,0.986353852776582,,0.9947481704692208
COFFEE_orig,CoffeeType_kenstone70_strat,49,21,601,6,42,4,cpu,0.9523809523809523,0.9444444444444443,0.9428571428571427,1.0,
Wood_Sustainability,C2_511_Davrieux_Acc82,358,153,1050,2,42,4,cpu,0.8823529411764706,0.8769311797752809,0.8785714285714286,,0.9332865168539326
BEEF_Impurity,Beef_Impurity_60_AlJowder,30,30,470,5,42,4,cpu,0.8333333333333334,0.8333333333333334,0.8356643356643356,0.986111111111111,
PISTACIA,Species_code_grpStrat70_30_bySpecimen,5103,2220,1951,5,42,4,cpu,0.772972972972973,0.6875628097392803,0.7068798421484692,0.9361303515499865,
FUSARIUM,FinalScoreBin_grp70_30_classStrat,646,289,2177,2,42,4,cpu,0.6816608996539792,0.6449579831932772,0.6448872742814403,,0.7633217993079585
FUSARIUM,ScoreBin_grp70_30_classStrat,578,238,2177,2,42,4,cpu,0.8067226890756303,0.6449175824175823,0.6675170068027211,,0.7898351648351648
ARABIDOPSIS_CEFE,Genotype10_250,175,75,2152,10,42,4,cpu,0.64,0.6171825396825396,0.6251143009037745,0.8804300447714007,
MALARIA,Sporozoite2C_229_Maia_Acc94.5,138,91,2151,2,42,4,cpu,0.5604395604395604,0.6017786561264822,0.5357142857142857,,0.7812911725955205
Cassava,CT2C_1057_CIAT_Acc,975,81,1050,2,42,4,cpu,0.5679012345679012,0.55,0.5454545454545454,,0.5067901234567901
MALARIA,Oocist2C_333_Maia_Acc87.6,227,106,2151,2,42,4,cpu,0.5188679245283019,0.5188679245283019,0.5177950227455178,,0.4948380206479174
Wood_Sustainability,C5_511_Davrieux_Acc82,358,153,1050,5,42,4,cpu,0.6928104575163399,0.48411949685534594,0.43764705882352944,0.8804353670869869,
ARABIDOPSIS_CEFE,Group9_1856,1260,540,2152,9,42,4,cpu,0.39444444444444443,0.40047699870394904,0.4057792680461078,0.8306839500323036,
ARABIDOPSIS_CEFE,Group_2185,1530,655,2152,10,42,4,cpu,0.29465648854961835,0.3037269934206497,0.29640056680730986,0.786492429161024,
