scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;None;Gaussian;None;0.07502495765315094;[0.07510460364914802, 0.07853561237860564, 0.07143465693169919]
None;ASLSBaseline;StandardNormalVariate;None;0.0753274088663786;[0.07450573082848938, 0.0733089047295161, 0.07816759104113032]
StandardScaler;ASLSBaseline;Gaussian;None;0.07595497542355452;[0.07050595625791277, 0.0779271626752364, 0.07943180733751438]
None;ASLSBaseline;None;None;0.07604933707554494;[0.07780593198348598, 0.07443153705056765, 0.07591054219258116]
None;ASLSBaseline;Normalize;None;0.07605018669885123;[0.07785342206331972, 0.07438325709123164, 0.07591388094200237]
None;ASLSBaseline;Baseline;None;0.0760508877006057;[0.07778999458044145, 0.0744436229290863, 0.07591904559228935]
None;ASLSBaseline;SavitzkyGolay;None;0.07628116697995825;[0.07777716662187764, 0.07466222762458176, 0.07640410669341537]
None;None;Gaussian;None;0.0765588568694031;[0.0757267509199225, 0.07917780996550415, 0.07477200972278267]
None;ASLSBaseline;Gaussian;None;0.0767624320663825;[0.07163171952009677, 0.0796711881167287, 0.07898438856232202]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.07680300664948446;[0.07520403369866308, 0.08274574460438781, 0.07245924164540248]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.0776581414725903;[0.07610947177548893, 0.07485016650783154, 0.08201478613445043]
None;ASLSBaseline;None;PCA_features_0.25;0.07813672239449444;[0.07729321212158487, 0.08451864573075052, 0.07259830933114798]
None;None;StandardNormalVariate;PCA_features_0.25;0.07886957298360493;[0.07969980750546675, 0.08116490410079141, 0.07574400734455665]
None;None;Baseline;PCA_features_0.25;0.07990827124473672;[0.08504324665309729, 0.07974046949307123, 0.07494109758804163]
None;None;None;PCA_features_0.25;0.07998087043301484;[0.08387443456136354, 0.08090122768252006, 0.07516694905516091]
StandardScaler;ASLSBaseline;Normalize;None;0.08148063748855183;[0.07959921554542346, 0.08418748887543752, 0.08065520804479454]
StandardScaler;ASLSBaseline;None;None;0.08150870291734476;[0.07956084305263555, 0.0842830472398536, 0.08068221845954512]
StandardScaler;ASLSBaseline;Baseline;None;0.08164150497735637;[0.07997941590963786, 0.08420981717215612, 0.08073528185027512]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.08174062320352714;[0.07961085035999266, 0.08445727919113742, 0.0811537400594513]
None;None;Normalize;PCA_features_0.25;0.08226196956897425;[0.0808375841355219, 0.09129512026722617, 0.07465320430417466]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.08249971246276704;[0.08040979992085788, 0.0925763719004865, 0.07451296556695673]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.08313252455748066;[0.08011465744556336, 0.08754303951491427, 0.08173987671196435]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.0832217476286068;[0.07814819881238826, 0.08637138344611993, 0.08514566062731223]
None;None;StandardNormalVariate;None;0.08356060918687257;[0.08377361224411595, 0.08576018810261316, 0.0811480272138886]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.0840002318637924;[0.0859259560557429, 0.09290978275903887, 0.0731649567765954]
StandardScaler;None;Baseline;PCA_features_0.25;0.08431797878256701;[0.0883999880357272, 0.09069052324687, 0.07386342506510385]
StandardScaler;None;Normalize;PCA_features_0.25;0.08470765486274656;[0.087942959688281, 0.09077012452308528, 0.07540988037687343]
StandardScaler;None;None;PCA_features_0.25;0.08487021925934923;[0.08828176887597572, 0.0908185645449699, 0.07551032435710207]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.08493892248447925;[0.08501374239552392, 0.08669986176872792, 0.08310316328918589]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.08506861935551824;[0.08456776850610481, 0.08981781085656594, 0.08082027870388397]
StandardScaler;None;StandardNormalVariate;None;0.08603122791059477;[0.08480977679786841, 0.09010125206204002, 0.08318265487187584]
None;None;SavitzkyGolay;PCA_features_0.25;0.08661361333860966;[0.08506736118577354, 0.08386346363547953, 0.09091001519457591]
StandardScaler;None;SavitzkyGolay;None;0.08715267987934998;[0.08527114445218745, 0.09585495154716463, 0.08033194363869782]
None;None;None;None;0.08734187483150814;[0.08523039843427378, 0.09569816224377789, 0.08109706381647273]
StandardScaler;None;None;None;0.0873811608122682;[0.08516052054762141, 0.09567382074035562, 0.08130914114882752]
None;None;Normalize;None;0.08740364162390613;[0.08517200766909377, 0.09564131726067317, 0.08139759994195148]
StandardScaler;None;Baseline;None;0.08742081863094976;[0.08523444816047351, 0.0956878030590589, 0.08134020467331689]
None;None;Baseline;None;0.08743665416505171;[0.08515049836899567, 0.09568212459092762, 0.08147733953523184]
StandardScaler;None;Normalize;None;0.0874438327409221;[0.08526391819980168, 0.0956656593006482, 0.0814019207223164]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.08776375043982386;[0.0867847040885861, 0.0900012902166661, 0.08650525701421935]
None;None;SavitzkyGolay;None;0.08778873511796625;[0.08582281917335431, 0.09611762307631337, 0.0814257631042311]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.08809180091478246;[0.0930480018675321, 0.0876451865947947, 0.08358221428202058]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.08887474565942322;[0.08383860872506109, 0.10416732017864141, 0.07861830807456713]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.09266141153018835;[0.08830785342292663, 0.09798618851357425, 0.09169019265406413]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.11582328294393757;[0.11196104921269896, 0.12500289726520378, 0.11050590235390996]
StandardScaler;None;Gaussian;PCA_features_0.25;0.11919420149633408;[0.1199254384565843, 0.1261621258680672, 0.11149504016435076]
None;None;Gaussian;PCA_features_0.25;0.12060019193454023;[0.11400673654307447, 0.12878455185712082, 0.11900928740342541]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.12266497667781118;[0.11756086754525576, 0.1307942422267532, 0.11963982026142458]
