scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;3.550366525941761;[3.559425759670173, 3.343867720585994, 3.747806097569116]
None;None;None;PCA_features_0.25;3.6225942292654074;[3.679197791563302, 3.364034504131538, 3.8245503921013815]
StandardScaler;None;Normalize;PCA_features_0.25;3.6364874160513234;[3.663233155856889, 3.438032666533263, 3.8081964257638172]
None;None;StandardNormalVariate;PCA_features_0.25;3.647579829924594;[3.7062871646577817, 3.443573425601088, 3.792878899514912]
None;None;SavitzkyGolay;PCA_features_0.25;3.647676874349117;[3.6152934482083054, 3.406170467174019, 3.921566707665027]
None;ASLSBaseline;SavitzkyGolay;None;3.6626152785448105;[3.5600356258673576, 3.4299173672477314, 3.997892842519342]
None;None;StandardNormalVariate;None;3.6879437751772706;[3.6892711450930484, 3.332994219399535, 4.041565961039228]
None;None;Baseline;PCA_features_0.25;3.6996965739183314;[3.7717981267449794, 3.4932363695227657, 3.834055225487249]
None;None;Normalize;PCA_features_0.25;3.7453168692174486;[3.6989983324802025, 3.404450040850114, 4.132502234322029]
StandardScaler;None;None;PCA_features_0.25;3.7904260527803704;[3.6122013346963073, 3.4598383098424716, 4.299238513802332]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.8058064499100763;[3.7102425294344834, 3.7677118731021926, 3.9394649471935534]
StandardScaler;None;Baseline;PCA_features_0.25;3.8075506455493433;[4.064617866880973, 3.4452370243157118, 3.9127970454513443]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.8227120765943634;[4.063254783108438, 3.5510704913743236, 3.853810955300328]
None;ASLSBaseline;Baseline;None;3.8255427851482255;[3.8239285440945383, 3.642045116831125, 4.010654694519013]
None;ASLSBaseline;Normalize;None;3.82615870154966;[3.826636844867032, 3.640177204745107, 4.01166205503684]
None;ASLSBaseline;None;None;3.826895631012737;[3.827297892439886, 3.640558416298725, 4.0128305842996]
None;ASLSBaseline;Normalize;PCA_features_0.25;3.836157036555091;[3.6793599261871313, 3.6746912871496407, 4.154419896328499]
None;None;SavitzkyGolay;None;3.8437017481849374;[3.8360913981470155, 3.6891951925336652, 4.0058186538741305]
None;None;None;None;3.8454470615135983;[3.8277737864579353, 3.6965642177900127, 4.012003180292848]
None;None;Normalize;None;3.845484931661803;[3.824900481411665, 3.699032158900462, 4.012522154673284]
None;None;Baseline;None;3.8459223577644917;[3.829347974741886, 3.6961420889275276, 4.012277009624061]
StandardScaler;None;Baseline;None;3.846434290877241;[3.8298086471775092, 3.697585669390392, 4.011908556063821]
StandardScaler;None;Normalize;None;3.846764986133349;[3.8300938079612004, 3.6978331165640648, 4.012368033874781]
StandardScaler;None;None;None;3.846835202702202;[3.8306808760393505, 3.6971398787231418, 4.012684853344113]
StandardScaler;None;SavitzkyGolay;None;3.8522442854078514;[3.851898686303857, 3.689290153449436, 4.015544016470263]
None;ASLSBaseline;StandardNormalVariate;None;3.8523010602601033;[3.8300594409680486, 3.6388184844976346, 4.088025255314627]
None;ASLSBaseline;Baseline;PCA_features_0.25;3.907280050902129;[3.9870569134776344, 3.862482937833296, 3.872300301395456]
None;ASLSBaseline;None;PCA_features_0.25;3.9460592547977194;[3.940413330132224, 3.4111863157394122, 4.486578118521523]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;4.116013453077323;[4.622196131852284, 3.5622722291896975, 4.163571998189986]
StandardScaler;ASLSBaseline;None;None;4.2496990712739455;[4.538069542401408, 3.8358637391785457, 4.375163932241882]
StandardScaler;ASLSBaseline;Baseline;None;4.249853431700177;[4.538020988574339, 3.8362873571736205, 4.375251949352571]
StandardScaler;ASLSBaseline;Normalize;None;4.249927310029;[4.537507197002719, 3.836801418751145, 4.375473314333135]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;4.2751922265811695;[4.585823296453706, 3.6402357246540036, 4.599517658635799]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;4.340304617182441;[4.534935128852083, 3.9501666979169685, 4.535812024778272]
None;None;Gaussian;None;4.503537976598299;[4.932626465098942, 3.9086059366036605, 4.669381528092294]
None;ASLSBaseline;Gaussian;None;4.522780848735155;[4.888562796453991, 3.963867936656258, 4.7159118130952145]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;4.590283336377548;[5.7142398297282995, 3.7834703402708603, 4.273139839133484]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;4.591174683380984;[5.71369261677032, 3.768976632752377, 4.290854800620256]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;4.599981050752283;[5.035026191735064, 4.33480266032339, 4.430114300198395]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;4.620501965050104;[4.92365300792479, 4.1794937199834, 4.758359167242123]
StandardScaler;None;Gaussian;None;4.623712039943039;[4.975324065764966, 3.935944460469131, 4.959867593595021]
StandardScaler;ASLSBaseline;Gaussian;None;4.668632407958261;[4.579678013429663, 4.347500755862895, 5.078718454582224]
