scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;1.0937934097312814;[0.9889313291012666, 1.2209289189954242, 1.0715199810971532]
StandardScaler;None;Normalize;PCA_features_0.25;1.0991620630608807;[1.0041676521731608, 1.253577815552189, 1.0397407214572922]
None;None;Normalize;PCA_features_0.25;1.1210389562524379;[1.0590734402314197, 1.2422920679334188, 1.0617513605924747]
StandardScaler;None;Baseline;PCA_features_0.25;1.122680547443822;[1.0413354979997067, 1.299213596881355, 1.0274925474504042]
StandardScaler;None;None;PCA_features_0.25;1.1348139801596093;[1.0950721167760675, 1.2655859312923023, 1.0437838924104583]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;1.1393818871066144;[1.0535132885668557, 1.2949170478859944, 1.069715324866993]
None;None;SavitzkyGolay;PCA_features_0.25;1.1445512177331028;[1.0559440260775208, 1.267553205032385, 1.1101564220894025]
None;None;None;PCA_features_0.25;1.151959517580489;[1.123219632797155, 1.2980502824716975, 1.034608637472615]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;1.1521773498505443;[1.1160456491593862, 1.3049395667928583, 1.0355468335993883]
None;ASLSBaseline;SavitzkyGolay;None;1.1542919918217542;[1.08147147376704, 1.334813401337846, 1.0465911003603767]
None;ASLSBaseline;None;PCA_features_0.25;1.1622143062589767;[1.0943052782680172, 1.3269361116453224, 1.0654015288635907]
None;None;StandardNormalVariate;None;1.1635325384557034;[1.13072821848399, 1.2429984816996278, 1.1168709151834928]
None;ASLSBaseline;Baseline;PCA_features_0.25;1.1641675988565285;[1.0680804544462312, 1.3610238822606886, 1.063398459862666]
None;None;SavitzkyGolay;None;1.165468423786993;[1.0615704189282946, 1.3347672985863734, 1.1000675538463107]
StandardScaler;None;Baseline;None;1.1657651817499148;[1.0617709233781454, 1.332134147471988, 1.1033904743996106]
None;None;None;None;1.1657940089139682;[1.0621196979233578, 1.3318904765781256, 1.1033718522404217]
StandardScaler;None;None;None;1.1658020928498407;[1.0617466326394014, 1.3321159389249075, 1.1035437069852132]
None;None;Baseline;None;1.165864776033672;[1.0620827809617446, 1.332127319769349, 1.1033842273699224]
StandardScaler;None;Normalize;None;1.1659528639802745;[1.0620194296789822, 1.332142884520603, 1.1036962777412387]
