scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;None;Baseline;None;3.035735462940752;[2.7806760214983255, 3.235607497372091, 3.090922869951839]
None;None;Normalize;None;3.0369452240636687;[2.7789343861359805, 3.2209167708557804, 3.110984515199245]
None;None;Baseline;None;3.03708221627032;[2.7844120802252093, 3.235607497372091, 3.09122707121366]
None;None;SavitzkyGolay;None;3.038393266621897;[2.7748530546111136, 3.2006959503194703, 3.1396307949351074]
None;None;None;None;3.0409629630894366;[2.7850255105364856, 3.2359618349640873, 3.101901543767738]
StandardScaler;None;Normalize;None;3.0425707551134757;[2.7817350442098414, 3.235607497372091, 3.110369723758495]
StandardScaler;None;None;None;3.0437929284424983;[2.784510634834817, 3.2340270645504567, 3.1128410859422213]
StandardScaler;None;SavitzkyGolay;None;3.091906750676067;[2.9199457682099137, 3.2136205036245276, 3.142153980193759]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;3.256008644091235;[2.9260444543558464, 3.283215508756129, 3.5587659691617297]
None;None;Normalize;PCA_features_0.25;3.271680597479518;[2.912042023352833, 3.0925145011627238, 3.810485267922995]
None;ASLSBaseline;SavitzkyGolay;None;3.276057533861715;[3.1335384296651023, 3.1664698403535456, 3.5281643315664977]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;3.2818875441577187;[3.0103975297254104, 3.388438356499813, 3.4468267462479325]
StandardScaler;None;None;PCA_features_0.25;3.2834537782312627;[2.9835627448407345, 3.410494652816321, 3.4563039370367323]
StandardScaler;None;Normalize;PCA_features_0.25;3.286152415199856;[2.991135440012154, 3.434413188459671, 3.4329086171277416]
None;ASLSBaseline;Baseline;None;3.2890942791228652;[3.1392379328014224, 3.2034807308454614, 3.5245641737217124]
None;ASLSBaseline;None;None;3.2893643347061805;[3.139394602464597, 3.203301240771158, 3.5253971608827874]
StandardScaler;None;Baseline;PCA_features_0.25;3.2925408206016464;[2.9980852345296616, 3.4668724249565286, 3.4126648023187505]
StandardScaler;None;Gaussian;None;3.2965405625727704;[2.862299102422396, 3.4103992297827137, 3.6169233555132014]
None;ASLSBaseline;Normalize;None;3.2976629839213416;[3.1405491411993394, 3.2079359820636926, 3.5445038285009924]
