scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;StandardNormalVariate;None;3.5202948141299397;[3.4075958082586526, 3.449889253064367, 3.7033993810667982]
None;None;None;PCA_features_0.25;3.6329084821681934;[3.534049561971963, 3.5801648852182955, 3.784510999314321]
None;None;Baseline;PCA_features_0.25;3.635001160874259;[3.547058849156735, 3.568373696421922, 3.7895709370441217]
None;None;StandardNormalVariate;PCA_features_0.25;3.642882021033929;[3.618880663994038, 3.6193818846231705, 3.6903835144845782]
None;ASLSBaseline;None;None;3.6482175965737427;[3.565338867757827, 3.6996672578399754, 3.679646664123427]
None;ASLSBaseline;Baseline;None;3.65050316871527;[3.565338867757827, 3.712288348675613, 3.67388228971237]
None;None;SavitzkyGolay;PCA_features_0.25;3.6533377916844922;[3.49497218257127, 3.6299731314856034, 3.8350680609966035]
None;None;Gaussian;None;3.65583782769664;[3.941254368250167, 3.844274673135344, 3.1819844417044103]
None;ASLSBaseline;Normalize;None;3.65741908671685;[3.552600792182116, 3.7222631014785197, 3.697393366489916]
None;ASLSBaseline;SavitzkyGolay;None;3.658332641119422;[3.574421241030439, 3.7416432225929546, 3.658933459734873]
StandardScaler;None;Normalize;PCA_features_0.25;3.6854479939696696;[3.6150264387935525, 3.692479630699614, 3.7488379124158433]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.6899633424499805;[3.628947251131313, 3.631738162668276, 3.8092046135503526]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.6950288696087727;[3.608563460133772, 3.6392393915073122, 3.8372837571852334]
None;ASLSBaseline;Gaussian;None;3.6968904003948033;[3.954626930841361, 3.836406783169954, 3.2996374871730954]
None;ASLSBaseline;None;PCA_features_0.25;3.700387132236383;[3.610440770909026, 3.6697195208000903, 3.8210011050000325]
None;ASLSBaseline;Baseline;PCA_features_0.25;3.7008627994088243;[3.6079471696940297, 3.658708959600504, 3.8359322689319386]
StandardScaler;None;Baseline;PCA_features_0.25;3.70088056698005;[3.6780450638101656, 3.6654170685361565, 3.7591795685938276]
StandardScaler;None;None;PCA_features_0.25;3.7083897329443603;[3.6811174563104645, 3.6947976971060723, 3.7492540454165435]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;3.7252842654151994;[3.628765952977539, 3.7138699564209907, 3.8332168868470693]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.7310653491875327;[3.7688166217312746, 3.6220832778242142, 3.8022961480071085]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;3.7378549957470004;[3.6983051625220598, 3.7090455153849375, 3.8062143093340044]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;3.7382666809038896;[3.7014508182745978, 3.6923013580694244, 3.821047866367648]
None;None;Normalize;PCA_features_0.25;3.7389172076705;[3.7926428755949737, 3.5652387830006025, 3.8588699644159234]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.748248987840667;[3.6910354786639727, 3.642660185352837, 3.911051299505191]
StandardScaler;None;Gaussian;PCA_features_0.25;3.7500986156196934;[3.6609523208115653, 3.7431251475825214, 3.8462183784649926]
None;ASLSBaseline;Normalize;PCA_features_0.25;3.762452713793934;[3.696100961389821, 3.777033942194406, 3.814223237797574]
StandardScaler;None;Gaussian;None;3.770601871385146;[4.017494410723682, 3.896280736086419, 3.3980304673453356]
None;None;Gaussian;PCA_features_0.25;3.771820046077518;[3.6788428176263013, 3.791501804797111, 3.8451155158091423]
None;ASLSBaseline;Gaussian;PCA_features_0.25;3.7805237496416844;[3.70914362230345, 3.8126242771902445, 3.8198033494313597]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;3.782033575941439;[3.7112471511590917, 3.753031820257584, 3.8818217564076436]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;3.783322197312055;[3.6815994643808576, 3.8209464375287214, 3.8474206900265857]
StandardScaler;ASLSBaseline;Gaussian;None;3.78542661889562;[3.985700290746447, 3.9346744363149107, 3.435905129625501]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;3.7986954030364966;[3.9464902338109766, 3.623161701038341, 3.8264342742601714]
None;None;StandardNormalVariate;None;3.799420796888178;[3.7824818125757296, 3.8436877637178712, 3.772092814370934]
StandardScaler;None;SavitzkyGolay;None;3.8229960410448514;[3.8988271908835546, 3.7550329101207245, 3.815128022130276]
StandardScaler;None;Baseline;None;3.8262858114591722;[3.895428396508272, 3.7650108956972907, 3.8184181421719527]
StandardScaler;None;Normalize;None;3.827173882956815;[3.8950405852463788, 3.7669239111505104, 3.8195571524735557]
None;None;Baseline;None;3.8272075016022384;[3.896265397661452, 3.766983762001347, 3.8183733451439155]
StandardScaler;None;None;None;3.8289659018506423;[3.896265397661452, 3.7676337023642503, 3.822998605526225]
None;None;Normalize;None;3.8306657139284646;[3.907221824654534, 3.76777215834861, 3.8170031587822484]
None;None;None;None;3.8311257565140555;[3.895656035136299, 3.767212391563798, 3.8305088428420695]
None;None;SavitzkyGolay;None;3.8394785732841785;[3.8965209686096127, 3.768632980026463, 3.8532817712164595]
