scaler;baseline;simple;pca;mean_score;fold_scores
None;None;StandardNormalVariate;None;0.3180916407648002;[0.15913419039807894, 0.2103481896458351, 0.5847925422504865]
StandardScaler;None;None;None;0.3339201986387165;[0.16039402056514337, 0.20422915784996126, 0.6371374175010449]
StandardScaler;None;Baseline;None;0.3339208960463281;[0.16037712803949633, 0.20422915784996126, 0.6371564022495266]
None;None;Baseline;None;0.3339263305504785;[0.16039343155194746, 0.20422915784996126, 0.6371564022495266]
StandardScaler;None;Normalize;None;0.3339263305504785;[0.16039343155194746, 0.20422915784996126, 0.6371564022495266]
None;None;None;None;0.33398422727369637;[0.1605335974305713, 0.20423278043583884, 0.6371863039546789]
None;None;Normalize;None;0.3342342961919056;[0.1612110328137963, 0.20394315895517226, 0.6375486968067483]
None;ASLSBaseline;SavitzkyGolay;None;0.3415834045991672;[0.21712640564046895, 0.20809579447606738, 0.5995280136809651]
None;ASLSBaseline;Baseline;None;0.342021752845101;[0.20656081868930917, 0.21076184882140897, 0.6087425910245847]
None;ASLSBaseline;None;None;0.3420383891835764;[0.20653038730791526, 0.21076543913237683, 0.608819341110437]
None;ASLSBaseline;Normalize;None;0.34212780047046687;[0.2067637150136567, 0.21083950427244916, 0.6087801821252947]
None;ASLSBaseline;StandardNormalVariate;None;0.347974442446751;[0.2259801780444799, 0.1982847968873844, 0.6196583524083888]
None;None;SavitzkyGolay;None;0.35086415679218597;[0.1655132537834331, 0.21595170566026092, 0.6711275109328638]
StandardScaler;None;SavitzkyGolay;None;0.3544946891943253;[0.16388388149677793, 0.22475823257361474, 0.6748419535125834]
None;None;Gaussian;None;0.3837741335440438;[0.1866088804367451, 0.3022101107609183, 0.6625034094344681]
None;ASLSBaseline;Gaussian;None;0.3911654981736475;[0.20855236823363907, 0.29177744172663445, 0.6731666845606689]
None;None;Normalize;PCA_features_0.25;0.43055411614665057;[0.3053527802419799, 0.2954466043891861, 0.6908629638087856]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.4833701662561852;[0.3959797728992309, 0.3917302842508913, 0.6624004416184334]
StandardScaler;ASLSBaseline;Gaussian;None;0.5118547308538229;[0.37625050388589776, 0.35026567605155023, 0.809048012624021]
StandardScaler;None;Gaussian;None;0.5127429085900008;[0.37805668181241786, 0.3633872514768786, 0.7967847924807059]
None;None;SavitzkyGolay;PCA_features_0.25;0.5423192683580998;[0.401157128780621, 0.4513109728997732, 0.7744897033939057]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.6096351781181396;[0.43635352609229383, 0.874131709015195, 0.5184202992469298]
StandardScaler;None;Baseline;PCA_features_0.25;0.6698888054266116;[0.5375806124242367, 0.4667362014351642, 1.0053496024204336]
StandardScaler;None;None;PCA_features_0.25;0.6977711874984092;[0.5929231904259741, 0.46324277767121924, 1.037147594398034]
StandardScaler;None;Normalize;PCA_features_0.25;0.7046631418810234;[0.6188480951379534, 0.4474089265725222, 1.047732403932595]
None;None;None;PCA_features_0.25;0.7891943426169284;[0.5241465474811673, 0.8305686092919845, 1.0128678710776333]
None;None;Baseline;PCA_features_0.25;0.8094994166312107;[0.5740802178299542, 0.7992899867877146, 1.0551280452759635]
None;ASLSBaseline;None;PCA_features_0.25;0.9186363525686131;[0.7107518913336439, 0.9841150004191611, 1.0610421659530338]
StandardScaler;None;StandardNormalVariate;None;0.9261472474719317;[0.9724926113780114, 0.872065139351865, 0.9338839916859186]
