scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;Gaussian;None;0.45896182111510647;[0.3349468830303474, 0.5078391346094353, 0.5340994457055366]
None;ASLSBaseline;Normalize;None;0.4631700262237961;[0.4343345769647595, 0.5262793627624315, 0.42889613894419726]
None;ASLSBaseline;Baseline;None;0.46944349371354627;[0.4530514817643929, 0.5264408692998948, 0.42883813007635113]
None;ASLSBaseline;None;None;0.46959291718782076;[0.4534997521872163, 0.5264408692998948, 0.42883813007635113]
None;None;Gaussian;None;0.4706789997544971;[0.3532456273921888, 0.5173506910361412, 0.5414406808351614]
None;ASLSBaseline;SavitzkyGolay;None;0.47180133183235656;[0.4616036340466545, 0.5249626778086016, 0.4288376836418135]
None;ASLSBaseline;StandardNormalVariate;None;0.4892049302535389;[0.46628715209079413, 0.5120166515266825, 0.48931098714314]
None;None;StandardNormalVariate;None;0.5262142207336166;[0.6508141335902773, 0.44705557157409237, 0.4807729570364798]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.6223043323403924;[0.8314486792799656, 0.46632681254897856, 0.5691375051922332]
None;None;SavitzkyGolay;None;0.6539271968508533;[0.9149886876390848, 0.5425756327094974, 0.5042172702039777]
None;None;Normalize;None;0.6743626779685158;[0.965081641328068, 0.5378718097705062, 0.5201345828069732]
StandardScaler;None;SavitzkyGolay;None;0.6751092256474616;[0.963696439328703, 0.5400619987646988, 0.5215692388489825]
None;None;None;None;0.6751935451474983;[0.9633806699349027, 0.541181206500416, 0.5210187590071761]
None;None;Baseline;None;0.6754572929548782;[0.9637483780082183, 0.5413005228292127, 0.5213229780272035]
StandardScaler;None;Baseline;None;0.6755074687807823;[0.9637483780082183, 0.5416096663173735, 0.521164362016755]
StandardScaler;None;Normalize;None;0.6755080132382161;[0.9637483780082183, 0.5416096663173735, 0.5211659953890563]
StandardScaler;None;None;None;0.6755869775687563;[0.9637483780082183, 0.5416096663173735, 0.521402888380677]
None;None;SavitzkyGolay;PCA_features_0.25;0.6796530366852357;[0.8097001396267166, 0.626609156777349, 0.6026498136516414]
None;None;None;PCA_features_0.25;0.7016211040468576;[0.8357728770201063, 0.6526737410208855, 0.6164166940995812]
None;None;StandardNormalVariate;PCA_features_0.25;0.7088633519613503;[1.0611266577845282, 0.567049922530615, 0.49841347556890747]
None;None;Baseline;PCA_features_0.25;0.7241593550155305;[0.8303995823746033, 0.7392845627103944, 0.6027939199615936]
None;None;Normalize;PCA_features_0.25;0.7381741137134292;[1.3353433266686232, 0.386896612318292, 0.49228240215337266]
None;ASLSBaseline;None;PCA_features_0.25;0.7382670902932261;[0.8942487365017394, 0.6589465386692829, 0.6616059957086561]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.7400102824248168;[0.8954133153376895, 0.6845932469041127, 0.6400242850326482]
StandardScaler;None;Normalize;PCA_features_0.25;0.8039350744012438;[0.9548261559834827, 0.6782428129970356, 0.7787362542232132]
StandardScaler;None;None;PCA_features_0.25;0.8280076266175675;[0.9874165910478508, 0.8501795528347954, 0.6464267359700564]
StandardScaler;None;Baseline;PCA_features_0.25;0.8318541538327667;[0.8813292722377696, 0.9180674707262477, 0.6961657185342829]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.8362669117806915;[0.9595222164414976, 0.6919745259584448, 0.8573039929421322]
StandardScaler;ASLSBaseline;Baseline;None;0.8544399355278478;[1.1734330812733689, 0.817093333794721, 0.5727933915154535]
StandardScaler;ASLSBaseline;Normalize;None;0.8544565883083104;[1.1734330812733689, 0.817093333794721, 0.5728433498568412]
StandardScaler;ASLSBaseline;None;None;0.8544570931085138;[1.1734330812733689, 0.817093333794721, 0.5728448642574516]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.8554960767004323;[1.1787372432639358, 0.8167068152741495, 0.5710441715632115]
StandardScaler;None;Gaussian;None;0.8777794825492329;[0.9749039794747827, 0.7129201685672304, 0.9455142996056856]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.8868036540682528;[0.9290711679349896, 0.9349230173054481, 0.7964167769643206]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.9731391807949928;[1.158130912032114, 0.915915525498333, 0.8453711048545315]
StandardScaler;ASLSBaseline;Gaussian;None;1.0450464236491463;[1.132811021070017, 0.9496976663191558, 1.0526305835582663]
StandardScaler;None;StandardNormalVariate;None;1.0768710838890996;[1.3908583805942336, 0.9425918915810021, 0.897162979492063]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;1.237808924273488;[1.4310929266740067, 1.3314199503819175, 0.9509138957645402]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;1.254366005514077;[1.21437698066306, 1.3772081195701307, 1.1715129163090403]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;1.264420743057965;[1.4624794549688171, 1.332198158975837, 0.9985846152292409]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;1.2683496230543616;[1.460216597674503, 1.3244531714020515, 1.0203791000865303]
