scaler;baseline;simple;pca;mean_score;fold_scores
None;None;Normalize;PCA_features_0.25;0.7590111432478404;[1.001537993512055, 0.6032507123893687, 0.6722447238420977]
None;None;None;PCA_features_0.25;0.8354549762316124;[0.8434754128284772, 0.8785779979617949, 0.7843115179045648]
StandardScaler;None;Normalize;PCA_features_0.25;0.8463335546449712;[1.0919866482013285, 0.7913404247616463, 0.6556735909719387]
StandardScaler;None;None;PCA_features_0.25;0.8505143091890194;[1.0757695493261823, 0.8064754850907095, 0.6692978931501664]
StandardScaler;None;Baseline;PCA_features_0.25;0.863589839993967;[1.0854341528769345, 0.8055591686276843, 0.699776198477282]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.8676716539696129;[1.0860792356887974, 0.7683812528518927, 0.7485544733681484]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.8739063918408486;[0.9868731919495579, 0.9441195266774632, 0.6907264568955248]
StandardScaler;ASLSBaseline;Normalize;None;0.8756244905934499;[0.6072452247139501, 0.9324891401175267, 1.087139106948873]
StandardScaler;ASLSBaseline;Baseline;None;0.877162633145784;[0.6072452247139501, 0.9321426406325055, 1.0921000340908964]
StandardScaler;ASLSBaseline;None;None;0.8771763040976138;[0.6072452247139501, 0.932183653487995, 1.0921000340908964]
None;ASLSBaseline;None;PCA_features_0.25;0.8804320269171443;[0.9843320881926396, 0.9688139247900427, 0.6881500677687502]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.8863768134367187;[0.5940977500616507, 0.9332679903036554, 1.13176469994485]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.8872938872342254;[1.027045996787785, 0.9663047101419558, 0.6685309547729354]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.8873096839420388;[1.0235242053132418, 0.9737960177739085, 0.6646088287389662]
None;None;StandardNormalVariate;PCA_features_0.25;0.8966550808972059;[1.047501568690185, 0.8838927981525592, 0.7585708758488737]
None;ASLSBaseline;Gaussian;None;0.9052516063847493;[0.9378142035646805, 0.8757470835827807, 0.9021935320067865]
None;None;Gaussian;None;0.9082352897542473;[0.9840882550218493, 0.949211843191891, 0.7914057710490016]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.9121209822150123;[1.0491938282367053, 0.9643397654728532, 0.7228293529354781]
None;ASLSBaseline;SavitzkyGolay;None;0.9134700539969205;[1.0498571222553315, 0.9027435703283371, 0.7878094694070928]
None;ASLSBaseline;Normalize;None;0.9175822544918933;[1.0531873055649672, 0.899211367818762, 0.8003480900919506]
None;ASLSBaseline;Baseline;None;0.9185473833557235;[1.0530881363757318, 0.9000408846355845, 0.8025131290558541]
None;ASLSBaseline;None;None;0.9185473833557235;[1.0530881363757318, 0.9000408846355845, 0.8025131290558541]
None;None;SavitzkyGolay;PCA_features_0.25;0.9191681702684898;[1.1153645712527875, 0.8771043568113392, 0.7650355827413428]
StandardScaler;None;Gaussian;PCA_features_0.25;0.9234419992427423;[1.0189710074011755, 0.9782837018729381, 0.7730712884541133]
None;None;Baseline;PCA_features_0.25;0.9246503839586753;[1.0970335375685742, 0.8837509450237498, 0.7931666692837018]
StandardScaler;ASLSBaseline;Gaussian;None;0.9276216770323199;[0.9848370368978872, 0.8790610651365431, 0.9189669290625295]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.9318493126955022;[1.0339766435942512, 0.9531801190003665, 0.808391175491889]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.9364691374541959;[1.0343281582481838, 0.9627405551522039, 0.8123386989622]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.9400662687401398;[1.0412314132262317, 0.9817361456641029, 0.7972312473300849]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.9426579981989417;[1.0474603204689419, 0.9618747303723875, 0.8186389437554954]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.9612702201443662;[1.0528207944084562, 0.9421884314295588, 0.8888014345950839]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.9644751147042415;[1.0932659537408966, 0.9838930131841139, 0.816266377187714]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.9788413060970315;[1.0878946099781435, 0.897716058511204, 0.9509132498017473]
