scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;None;StandardNormalVariate;None;25.28005297969547;[22.705046840715617, 26.832930135443497, 26.302181962927293]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;30.862096833625174;[29.155796725789266, 32.3385733789684, 31.091920396117853]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;34.73404080028872;[36.88303979504442, 30.965388216685884, 36.353694389135846]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;37.927437165431535;[37.85095178111569, 34.259154931693786, 41.67220478348513]
None;ASLSBaseline;Gaussian;None;40.32044966780094;[40.46449593006434, 36.046334567049755, 44.45051850628874]
None;None;Gaussian;None;40.46479470917842;[40.3187918049651, 36.39575952689139, 44.67983279567878]
StandardScaler;None;Gaussian;None;41.01110928239518;[41.84729990881849, 40.31074152112119, 40.87528641724587]
StandardScaler;ASLSBaseline;Gaussian;None;41.213830657821575;[42.583729326752625, 40.69993016226739, 40.35783248444472]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;42.37814526097483;[39.90130900027873, 46.2114516682662, 41.02167511437957]
StandardScaler;None;Normalize;PCA_features_0.25;42.77296640756882;[40.229714225330554, 46.13660291392893, 41.95258208344701]
StandardScaler;None;Gaussian;PCA_features_0.25;42.77900879587397;[36.394683792095314, 47.69414008820389, 44.24820250732269]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;42.78064836229661;[42.89666298402529, 43.19440413360706, 42.2508779692575]
StandardScaler;None;Baseline;PCA_features_0.25;42.89193259805082;[40.8925997909287, 45.759027595938896, 42.02417040728485]
None;None;Gaussian;PCA_features_0.25;42.98985977301013;[40.37805407684781, 42.06220135926139, 46.52932388292122]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;43.04040424700052;[42.895149777193446, 43.775810593301806, 42.4502523705063]
None;ASLSBaseline;StandardNormalVariate;None;43.06322608752635;[41.734018437754024, 42.799955632647574, 44.65570419217746]
StandardScaler;None;None;PCA_features_0.25;43.137982074774726;[40.52503871278609, 46.110288794429096, 42.778618717109]
None;ASLSBaseline;Gaussian;PCA_features_0.25;43.172250267063994;[41.3234820664286, 40.41123320449972, 47.78203553026366]
None;None;StandardNormalVariate;None;43.19913593938522;[38.41995771175168, 39.84059357714543, 51.336856529258554]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;43.48292056693656;[43.403393372653774, 46.98521478781279, 40.060153540343116]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;43.723830576316935;[38.36628893265785, 48.56781820865292, 44.23738458764003]
StandardScaler;ASLSBaseline;Baseline;None;44.004414304413764;[42.252479985390245, 43.0891045994711, 46.671658328379955]
StandardScaler;ASLSBaseline;Normalize;None;44.11906132184253;[42.33050923631856, 43.012322708687506, 47.014352020521514]
StandardScaler;ASLSBaseline;None;None;44.167489270437066;[42.284091085736875, 43.14872085011915, 47.06965587545516]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;44.21224015055944;[45.092776125260855, 42.2708206647682, 45.27312366164926]
