scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;StandardNormalVariate;None;0.2614495357403936;[0.190068795584447, 0.30595993871138416, 0.2883198729253496]
StandardScaler;None;Gaussian;None;0.3088352863325386;[0.2974949123099994, 0.3252687874015558, 0.30374215928606063]
None;None;Gaussian;None;0.3312919684407645;[0.2741455848694258, 0.37218751730907595, 0.34754280314379177]
None;ASLSBaseline;Gaussian;None;0.3339333024191216;[0.3119984148412724, 0.3559534125974433, 0.3338480798186491]
StandardScaler;ASLSBaseline;Gaussian;None;0.3387203787359407;[0.33733802893261405, 0.3527857810635332, 0.3260373262116747]
StandardScaler;ASLSBaseline;None;None;0.3426632868602786;[0.3041939748176586, 0.29040162764877875, 0.43339425811439825]
None;None;None;PCA_features_0.25;0.34283819543823707;[0.30231926091205547, 0.35304479330578176, 0.37315053209687393]
StandardScaler;ASLSBaseline;Normalize;None;0.3428677110056891;[0.3051652194956434, 0.2904345742482755, 0.4330033392731484]
StandardScaler;ASLSBaseline;Baseline;None;0.3436958849489548;[0.3075291318962304, 0.2905984064897865, 0.4329601164608475]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.34477889660654015;[0.31282023359257366, 0.2868288808391115, 0.4346875753879354]
None;None;Baseline;PCA_features_0.25;0.34977381922246087;[0.32932451393731216, 0.3714379498559322, 0.34855899387413825]
None;None;SavitzkyGolay;PCA_features_0.25;0.35343610694582744;[0.31245700338041993, 0.37009712724530486, 0.37775419021175755]
None;None;StandardNormalVariate;PCA_features_0.25;0.3702270027047976;[0.335864891371056, 0.37026616284659797, 0.40454995389673865]
None;ASLSBaseline;None;PCA_features_0.25;0.37325341169145315;[0.4534156599058502, 0.2715781550946577, 0.3947664200738515]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.37621530280904575;[0.47033322142589257, 0.26508974975940813, 0.39322293724183643]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.37849426148823756;[0.4704723234036247, 0.2726670605999245, 0.39234340046116345]
None;None;StandardNormalVariate;None;0.3810293079428033;[0.25832618379829264, 0.4580239229778073, 0.42673781705230995]
None;ASLSBaseline;Normalize;None;0.3850958363329508;[0.3359759726692008, 0.4589542604010843, 0.36035727592856737]
None;ASLSBaseline;SavitzkyGolay;None;0.3851010887149606;[0.334846588212209, 0.4531025504508298, 0.367354127481843]
None;ASLSBaseline;Baseline;None;0.3855074661519466;[0.337458554386961, 0.45886458918106193, 0.3601992548878168]
None;ASLSBaseline;None;None;0.38568780550186893;[0.33780517168849256, 0.45886458918106193, 0.3603936556360524]
StandardScaler;None;None;PCA_features_0.25;0.4045603896944212;[0.4109995626209303, 0.412815872550134, 0.38986573391219925]
StandardScaler;None;Normalize;PCA_features_0.25;0.40884944896315106;[0.39626374462920544, 0.4347171604115459, 0.3955674418487018]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.4103990625421375;[0.41124194550454735, 0.4310271686859094, 0.3889280734359558]
