scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;Gaussian;PCA_features_0.25;4.152480064663521;[3.700232297461307, 4.348361853470318, 4.408846043058941]
None;None;Gaussian;PCA_features_0.25;4.209136689908415;[3.5553636515672, 4.685828152379557, 4.386218265778486]
None;None;None;PCA_features_0.25;4.668451602022157;[3.7266443911337648, 5.45749661776219, 4.821213797170516]
None;ASLSBaseline;None;PCA_features_0.25;4.724138817004295;[4.733352399617511, 4.954612917595885, 4.4844511337994915]
None;None;StandardNormalVariate;PCA_features_0.25;4.736385487692476;[4.733512774724133, 5.013618804805313, 4.46202488354798]
StandardScaler;ASLSBaseline;Gaussian;None;4.7622068283538335;[3.9587668465923467, 6.098231462599263, 4.229622175869891]
None;ASLSBaseline;Normalize;PCA_features_0.25;4.791215431847106;[4.084780352324149, 5.776947234850605, 4.511918708366564]
StandardScaler;None;Gaussian;None;4.817435580289189;[4.07921974425549, 6.104913589903263, 4.268173406708814]
None;ASLSBaseline;Baseline;PCA_features_0.25;4.84766100713316;[5.095890461353758, 5.1342882795666345, 4.312804280479089]
None;None;Gaussian;None;4.886044489778116;[3.6773903838313404, 6.174013177885445, 4.806729907617564]
None;ASLSBaseline;Gaussian;None;4.932953129044432;[3.6654785283086437, 6.177822366884414, 4.955558491940239]
None;None;Normalize;None;4.942057993065024;[2.7345379590112993, 7.290820205240061, 4.8008158149437135]
None;None;Baseline;None;4.942463900581198;[2.737574335073163, 7.297346275516526, 4.792471091153905]
StandardScaler;None;Normalize;None;4.942600061627136;[2.7375486430545117, 7.297081235793362, 4.793170306033534]
StandardScaler;None;Baseline;None;4.944062718768346;[2.738256348239572, 7.300513199834449, 4.793418608231014]
StandardScaler;None;None;None;4.945371493439026;[2.737736842391627, 7.3018175658122475, 4.796560072113204]
None;None;None;None;4.946212634903647;[2.7381149437394687, 7.2937075420016635, 4.8068154189698085]
None;None;SavitzkyGolay;None;5.064032046057486;[2.7353767521878796, 7.481460545380818, 4.975258840603759]
None;None;StandardNormalVariate;None;5.1521852154179335;[3.545107094205647, 7.2132907057164815, 4.6981578463316715]
StandardScaler;None;SavitzkyGolay;None;5.187841407505779;[2.9932153594707125, 7.451519231336685, 5.118789631709939]
