scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;None;Normalize;None;4.111840929869198;[3.8803474691479938, 4.29726072487449, 4.15791459558511]
StandardScaler;None;Baseline;None;4.113323414071413;[3.8803118322850656, 4.297456237321601, 4.162202172607571]
StandardScaler;None;None;None;4.1135337993285646;[3.8827537977359583, 4.297130896144384, 4.16071670410535]
None;None;Baseline;None;4.113800729275765;[3.8830975249463706, 4.2971084808725415, 4.161196182008382]
None;None;None;None;4.1138809425015515;[3.8830254417684285, 4.297322197964695, 4.161295187771532]
None;None;Normalize;None;4.114329913556648;[3.882360789007187, 4.298629790830246, 4.161999160832509]
None;None;SavitzkyGolay;None;4.14196135138195;[3.934588370017821, 4.336260369454217, 4.155035314673814]
StandardScaler;None;SavitzkyGolay;None;4.18170648740283;[3.8735034883147863, 4.311537704357765, 4.360078269535937]
None;None;StandardNormalVariate;None;4.396418560841931;[3.92070895790608, 4.6989218347725, 4.569624889847211]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;4.6876016144580825;[5.222793748482183, 4.215021817296808, 4.624989277595256]
None;ASLSBaseline;StandardNormalVariate;None;4.7120202920338965;[4.569629689912486, 4.714766077446374, 4.85166510874283]
None;None;Gaussian;None;4.811199769684105;[5.399330253040324, 4.193804649303951, 4.8404644067080405]
None;ASLSBaseline;Gaussian;None;4.817158567262088;[5.469042089018877, 4.151593805381005, 4.830839807386383]
None;ASLSBaseline;None;None;4.943061638378809;[4.204963367134762, 5.160446955818214, 5.463774592183452]
None;ASLSBaseline;SavitzkyGolay;None;4.948844371992909;[4.492135911728237, 5.081324300187576, 5.273072904062914]
StandardScaler;ASLSBaseline;Gaussian;None;4.949335578769996;[5.579210362774891, 4.972913808812488, 4.295882564722608]
None;ASLSBaseline;Baseline;None;4.953990593476726;[4.207962825567429, 5.160397427948731, 5.493611526914019]
None;ASLSBaseline;Normalize;None;4.9541337461671136;[4.206128943686578, 5.170620400191448, 5.485651894623316]
StandardScaler;None;Gaussian;None;4.954824258658129;[5.578945751341478, 4.977493749947027, 4.308033274685884]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;4.968159872779754;[3.8809659009269475, 5.481855808303183, 5.541657909109132]
None;ASLSBaseline;Normalize;PCA_features_0.25;5.087141883511523;[5.505486785958732, 4.970729601476638, 4.7852092630992]
None;ASLSBaseline;Gaussian;PCA_features_0.25;5.139500700932207;[5.658177168671048, 4.727859495666786, 5.03246543845879]
StandardScaler;ASLSBaseline;None;None;5.150065862854674;[4.421350670451127, 5.20213587984804, 5.826711038264855]
StandardScaler;ASLSBaseline;Baseline;None;5.1532331857891505;[4.43316158927641, 5.193824864845229, 5.832713103245812]
StandardScaler;ASLSBaseline;Normalize;None;5.159164336632648;[4.43049584603941, 5.201984819002157, 5.845012344856377]
None;None;StandardNormalVariate;PCA_features_0.25;5.164013899141732;[5.6800914762411, 4.044541087294271, 5.767409133889825]
None;None;SavitzkyGolay;PCA_features_0.25;5.185986455997978;[5.675528870528726, 4.776754222811905, 5.105676274653302]
None;None;Gaussian;PCA_features_0.25;5.264011263084586;[5.706558991304675, 4.968251329265857, 5.117223468683226]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;5.4024029759662495;[4.443081636237346, 5.553839638944162, 6.210287652717239]
None;ASLSBaseline;None;PCA_features_0.25;5.474009277374268;[4.159625296223263, 5.929612552536073, 6.332789983363468]
None;None;None;PCA_features_0.25;5.475575096605271;[5.852601879590506, 4.8702255735695825, 5.703897836655725]
None;ASLSBaseline;Baseline;PCA_features_0.25;5.491463773852181;[4.222106728452093, 5.822599762929578, 6.429684830174871]
None;None;Baseline;PCA_features_0.25;5.49648908297173;[5.848675126250549, 4.8333050737979875, 5.807487048866653]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;5.681520810244739;[5.266106739137395, 5.163079749706666, 6.615375941890155]
StandardScaler;None;Normalize;PCA_features_0.25;5.8004617531443055;[5.5583506334637045, 5.176802117777536, 6.666232508191676]
StandardScaler;None;None;PCA_features_0.25;5.816861707311659;[5.5653536902327865, 5.135197240798478, 6.750034190903713]
StandardScaler;None;Baseline;PCA_features_0.25;5.842417619757249;[5.671961087500954, 5.1535674544265175, 6.701724317344276]
StandardScaler;None;Gaussian;PCA_features_0.25;6.235952398932707;[5.309973082106013, 6.8670505687962065, 6.5308335458959]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;6.587887241533601;[6.1274166400021945, 7.269034818151582, 6.367210266447028]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;6.631462448399397;[5.275529279867496, 6.026404771825152, 8.59245329350554]
StandardScaler;None;StandardNormalVariate;None;6.853165770818221;[5.948704477525968, 5.893916093542952, 8.716876741385743]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;7.2433914601311455;[5.02988012394722, 5.8827774837105276, 10.81751677273569]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;7.480468555966335;[6.122351248862901, 6.097981240838893, 10.221073178197214]
None;None;Normalize;PCA_features_0.25;8.176257391859108;[7.485895754945179, 6.475725771021701, 10.567150649610447]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;8.849870120282503;[7.416396003956369, 8.154274653787088, 10.978939703104054]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;8.865689223669241;[5.059400009649524, 10.313111813054036, 11.224555848304165]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;8.970374943886194;[7.491555609921278, 7.710285936092681, 11.709283285644624]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;10.45956005897756;[19.848532273154042, 4.980247773896827, 6.549900129881812]
