scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;None;Baseline;None;4.424939870474874;[4.863835976457655, 4.14743276954321, 4.263550865423757]
None;None;Baseline;None;4.426148919252438;[4.859836961185698, 4.1476988053918555, 4.270910991179759]
None;None;Normalize;None;4.426353226076039;[4.858322372991239, 4.1484809485277685, 4.272256356709111]
StandardScaler;None;Normalize;None;4.42792346580021;[4.863895190602991, 4.147209028691601, 4.2726661781060375]
StandardScaler;None;None;None;4.432021663606869;[4.86396656033666, 4.147299170342694, 4.284799260141253]
None;None;None;None;4.432266235253686;[4.8645345398159625, 4.148119093462699, 4.284145072482396]
None;None;SavitzkyGolay;None;4.454820139198003;[4.981578843810425, 4.066978216483891, 4.315903357299695]
None;None;StandardNormalVariate;None;4.492718805126197;[4.636534252529353, 4.635714517803719, 4.205907645045519]
None;ASLSBaseline;Baseline;PCA_features_0.25;4.538539147819282;[3.234449597664045, 5.422297128740157, 4.958870717053647]
StandardScaler;None;SavitzkyGolay;None;4.539468631860907;[5.205860781918096, 4.175203402926682, 4.237341710737945]
None;ASLSBaseline;None;PCA_features_0.25;4.596745670199457;[3.322145203073637, 5.521509592155892, 4.946582215368842]
None;None;StandardNormalVariate;PCA_features_0.25;4.706237864463134;[5.054121077107329, 4.447709066056288, 4.616883450225785]
StandardScaler;ASLSBaseline;Gaussian;None;4.769663109807554;[5.448941350186159, 5.123640857138073, 3.73640712209843]
StandardScaler;None;Gaussian;None;4.776502787955298;[5.467624395880155, 5.136380840834317, 3.725503127151424]
None;None;Gaussian;None;4.865205059244649;[5.732274806460967, 4.356137840983505, 4.507202530289476]
None;ASLSBaseline;Gaussian;None;4.868069369097582;[5.707943571200728, 4.375141904436925, 4.521122631655092]
None;None;Gaussian;PCA_features_0.25;4.895168607701186;[4.877795860432731, 5.480740377991133, 4.326969584679694]
None;ASLSBaseline;StandardNormalVariate;None;4.95495536131673;[5.085879183433425, 4.580910105671168, 5.1980767948455995]
None;ASLSBaseline;Gaussian;PCA_features_0.25;4.97887309381234;[5.240831452717774, 5.3508982893577555, 4.3448895393614935]
None;ASLSBaseline;Normalize;PCA_features_0.25;5.013032767014025;[5.739419573636025, 4.515879693157931, 4.78379903424812]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;5.049853198300032;[3.678665181101487, 5.38572793303304, 6.085166480765569]
None;None;Baseline;PCA_features_0.25;5.301734405813623;[4.925360326607976, 5.209821727433735, 5.770021163399162]
StandardScaler;ASLSBaseline;Normalize;None;5.399813250022088;[5.694342217910488, 5.529107664934241, 4.975989867221537]
StandardScaler;ASLSBaseline;Baseline;None;5.40039609425002;[5.693977440186734, 5.52909214148739, 4.9781187010759345]
StandardScaler;ASLSBaseline;None;None;5.40077808370953;[5.69510050563527, 5.529169068363514, 4.978064677129808]
None;None;None;PCA_features_0.25;5.405269544400286;[5.025079200841659, 5.4933285565648715, 5.697400875794326]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;5.461087059419675;[4.329587172987856, 7.615486338483634, 4.438187666787536]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;5.548406857324166;[5.821391861956144, 5.7331268864803935, 5.09070182353596]
StandardScaler;None;Baseline;PCA_features_0.25;5.592429548616046;[4.304356723268584, 6.407180941790985, 6.06575098078857]
StandardScaler;None;Normalize;PCA_features_0.25;5.649765312745923;[4.329732107636842, 6.398143272481875, 6.221420558119048]
StandardScaler;None;None;PCA_features_0.25;5.665217605805611;[4.322110069430267, 6.552149866814499, 6.121392881172067]
None;None;SavitzkyGolay;PCA_features_0.25;5.7625891704073195;[5.392723493264297, 5.668016534731376, 6.227027483226284]
StandardScaler;None;Gaussian;PCA_features_0.25;6.86066469580939;[7.859089112438292, 6.086583701853444, 6.636321273136436]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;6.876145233752351;[7.536554897896247, 7.012439845842011, 6.079440957518794]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;7.144013641141226;[6.293726434445703, 8.107709592356178, 7.030604896621794]
None;ASLSBaseline;Baseline;None;7.213650133478333;[7.60113768846056, 7.908494472436371, 6.131318239538068]
None;ASLSBaseline;Normalize;None;7.232912768460694;[7.656661291168987, 7.907096244545643, 6.134980769667453]
