scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;SavitzkyGolay;None;0.40665209349034503;[0.40255624825928865, 0.4786647890076943, 0.3387352432040522]
StandardScaler;None;None;None;0.4097260776362675;[0.42674017952346177, 0.497620496783626, 0.3048175566017149]
None;None;Baseline;None;0.409934269486709;[0.42707976299335065, 0.4976197387831141, 0.3051033066836624]
StandardScaler;None;Normalize;None;0.40998604103165676;[0.4264800744453665, 0.49837474196594145, 0.3051033066836624]
None;ASLSBaseline;None;None;0.4103358682103852;[0.39894234724724503, 0.49225058648668857, 0.339814670897222]
None;ASLSBaseline;Baseline;None;0.41037105489812137;[0.39894234724724503, 0.49225058648668857, 0.3399202309604305]
StandardScaler;None;Baseline;None;0.410827256909964;[0.42707976299335065, 0.500260913302737, 0.3051410944338045]
None;ASLSBaseline;Normalize;None;0.4108442780537647;[0.3995712831793276, 0.4923544141589442, 0.34060713682302246]
None;None;None;None;0.41162901069691776;[0.4266360259551957, 0.5033357303380185, 0.30491527579753896]
StandardScaler;None;Gaussian;None;0.4129884097378289;[0.3894642887840615, 0.5046359958631507, 0.34486494456627464]
None;ASLSBaseline;Gaussian;None;0.413649995530412;[0.3841327478858886, 0.49957373045940096, 0.3572435082459463]
StandardScaler;None;SavitzkyGolay;None;0.41375874541540586;[0.4369939054111884, 0.4990555277672774, 0.3052268030677517]
None;None;SavitzkyGolay;None;0.41439524809263356;[0.4312098580641394, 0.5002552503166682, 0.31172063589709287]
None;None;Normalize;None;0.41463819598035867;[0.4261216702741255, 0.5126873028974901, 0.30510561476946046]
StandardScaler;ASLSBaseline;Gaussian;None;0.41485542017832105;[0.37965683488720303, 0.4734406115540436, 0.3914688140937165]
None;None;Gaussian;None;0.42189185458677686;[0.39963221694905743, 0.4965049841079864, 0.3695383627032867]
StandardScaler;None;StandardNormalVariate;None;0.43083104682709;[0.42273128990407477, 0.5066236524892057, 0.3631381980879894]
StandardScaler;None;Gaussian;PCA_features_0.25;0.43252861647361446;[0.44672513837069217, 0.5179793699593571, 0.3328813410907942]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.44467826367597957;[0.4391106747601116, 0.5169876135403368, 0.3779365027274901]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.445538040698283;[0.46069729178888325, 0.5195051806690352, 0.3564116496369307]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.44577258984845186;[0.4223989817964796, 0.5075932408277959, 0.40732554692108003]
None;None;StandardNormalVariate;None;0.44596197166911367;[0.4256204267569052, 0.5395330784595421, 0.37273240979089384]
None;None;None;PCA_features_0.25;0.45145224884290763;[0.4538785915557963, 0.5224984454378002, 0.3779797095351264]
None;None;Baseline;PCA_features_0.25;0.45226442936643946;[0.45957857268483054, 0.5211590326313869, 0.37605568278310103]
None;None;SavitzkyGolay;PCA_features_0.25;0.4527689001664763;[0.45338021314432614, 0.5259203122898725, 0.3790061750652303]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.4546251969724719;[0.4639907355896732, 0.5186701927340077, 0.3812146625937348]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.4572637145172576;[0.48439964516749057, 0.5482099974958481, 0.3391815008884343]
None;None;Gaussian;PCA_features_0.25;0.4590126424238498;[0.45612765342219025, 0.5535597648568792, 0.3673505089924801]
None;ASLSBaseline;None;PCA_features_0.25;0.46271650161145944;[0.4651123488699935, 0.5254691179437577, 0.39756803802062723]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.4629092311675051;[0.4653467334109724, 0.519422393026734, 0.40395856706480887]
None;None;Normalize;PCA_features_0.25;0.46409897667767885;[0.4667430466651406, 0.5037409129260253, 0.42181297044187066]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.46419540253816255;[0.46462865702582823, 0.5264496437767149, 0.40150790681194454]
StandardScaler;None;Normalize;PCA_features_0.25;0.4666225454099398;[0.4640425605458751, 0.5254620749504408, 0.4103630007335036]
StandardScaler;None;None;PCA_features_0.25;0.46782881301438056;[0.45373416685200235, 0.5250931358583403, 0.42465913633279895]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.46965692184020896;[0.4695442361748525, 0.5327040660391004, 0.40672246330667405]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.4708142481479653;[0.46967413296924587, 0.5367650913990845, 0.4060035200755655]
StandardScaler;None;Baseline;PCA_features_0.25;0.4709235732997242;[0.46268018066855443, 0.5263034068592082, 0.42378713237141]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.4716607054875834;[0.4604936090009015, 0.5373261064827654, 0.4171624009790832]
None;None;StandardNormalVariate;PCA_features_0.25;0.4725173053690708;[0.4567322386752967, 0.560939475834696, 0.39988020159721954]
StandardScaler;ASLSBaseline;Normalize;None;0.47296281537098234;[0.39722703191449205, 0.4943938456682329, 0.527267568530222]
StandardScaler;ASLSBaseline;None;None;0.4731864674176947;[0.39735870829686143, 0.49447135587690394, 0.527729338079319]
StandardScaler;ASLSBaseline;Baseline;None;0.4731864674176947;[0.39735870829686143, 0.49447135587690394, 0.527729338079319]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.47411064264198305;[0.4735679860639291, 0.536028259884534, 0.41273568197748606]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.47488258677971107;[0.4896237338951721, 0.49311159336997074, 0.44191243307399036]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.4773875303430808;[0.4069547055444998, 0.4961184299876836, 0.5290894554970589]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.4774300640740692;[0.4525357186650064, 0.5433751061148988, 0.4363793674423023]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.4805346265423349;[0.45318374464412653, 0.5489310085103933, 0.43948912647248495]
None;ASLSBaseline;StandardNormalVariate;None;0.4906415637098229;[0.4571576368200038, 0.6277125043428947, 0.3870545499665704]
