scaler;baseline;simple;pca;mean_score;fold_scores
None;None;Gaussian;None;0.28372089119734184;[0.2794851995540068, 0.28199664483686576, 0.2896808292011529]
StandardScaler;None;Gaussian;None;0.28385746644926224;[0.2822785341751704, 0.2820767352977594, 0.2872171298748569]
StandardScaler;ASLSBaseline;Gaussian;None;0.2854954873045043;[0.2871507697286574, 0.2847112364659928, 0.28462445571886263]
None;ASLSBaseline;SavitzkyGolay;None;0.2864277575297008;[0.28956086133042214, 0.2908780754956476, 0.27884433576303264]
None;ASLSBaseline;Baseline;None;0.286638325544689;[0.28975109192000154, 0.29130970370314085, 0.2788541810109247]
None;ASLSBaseline;None;None;0.2866409253266971;[0.2897594306866128, 0.29128517774539747, 0.2788781675480811]
None;ASLSBaseline;Normalize;None;0.2866523578983951;[0.28970869603356775, 0.2912937365630666, 0.2789546410985511]
None;ASLSBaseline;Gaussian;None;0.2884947649554363;[0.28715433856147166, 0.28633623590914103, 0.2919937203956962]
None;ASLSBaseline;StandardNormalVariate;None;0.29332620343360044;[0.28902581307249725, 0.3045610921900813, 0.28639170503822275]
None;None;StandardNormalVariate;None;0.2937367837536618;[0.29409332940809957, 0.3008312997212518, 0.2862857221316341]
None;None;Baseline;PCA_features_0.25;0.29515884944543863;[0.29440837434946315, 0.29882522620577845, 0.2922429477810741]
None;None;None;PCA_features_0.25;0.2952609847750936;[0.2947970111024564, 0.2987768747060215, 0.29220906851680295]
None;None;StandardNormalVariate;PCA_features_0.25;0.29579982752921125;[0.2914592774964882, 0.30479914345308284, 0.2911410616380626]
StandardScaler;None;Normalize;PCA_features_0.25;0.2965407406285501;[0.2929670901665492, 0.3039941477956852, 0.2926609839234159]
StandardScaler;None;None;PCA_features_0.25;0.2965421791132807;[0.2929216671680192, 0.3041034308742682, 0.29260143929755467]
StandardScaler;None;Baseline;PCA_features_0.25;0.2966284942393686;[0.29307077463807063, 0.3043577379023424, 0.2924569701776926]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.29699907139165554;[0.2994374589849003, 0.2954474799638867, 0.29611227522617956]
None;None;SavitzkyGolay;PCA_features_0.25;0.2970100379126257;[0.2949412755039945, 0.30001125000507023, 0.2960775882288123]
StandardScaler;ASLSBaseline;Normalize;None;0.2970324844029492;[0.29927415148964304, 0.29547836164738583, 0.2963449400718189]
StandardScaler;ASLSBaseline;None;None;0.29704292213360967;[0.2992587707606256, 0.2955343183362855, 0.29633567730391785]
StandardScaler;ASLSBaseline;Baseline;None;0.2970494578964766;[0.29929035117207764, 0.2955210528103449, 0.2963369697070071]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.2975374741593014;[0.2960913296517502, 0.30406816360811284, 0.292452929218041]
StandardScaler;None;SavitzkyGolay;None;0.29874401883979324;[0.2952816769781441, 0.3033256296902755, 0.2976247498509601]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.29895779903017083;[0.29633085400304354, 0.2999687866188382, 0.30057375646863077]
None;None;SavitzkyGolay;None;0.29898939110739503;[0.2954326386030114, 0.3031465329784108, 0.298389001740763]
None;None;Baseline;None;0.29951341052122465;[0.2987062958172821, 0.30244072382883186, 0.29739321191755996]
StandardScaler;None;Baseline;None;0.2995291511601835;[0.29873739873844857, 0.30243609458536164, 0.2974139601567404]
StandardScaler;None;Normalize;None;0.29955321871570395;[0.29870866005467483, 0.3024533738827478, 0.2974976222096892]
None;None;Normalize;None;0.2995682104693897;[0.2987776206449171, 0.3024821714256727, 0.29744483933757937]
StandardScaler;None;None;None;0.2995702277224189;[0.29876033836241184, 0.3024270537685349, 0.29752329103631003]
None;None;None;None;0.2995866432588997;[0.2988442223262148, 0.3023884234981398, 0.2975272839523445]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.3042009849705793;[0.30851335502640403, 0.3034180229354112, 0.3006715769499227]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.3050718894460385;[0.29809217151490197, 0.31609067065404217, 0.30103282616917143]
None;ASLSBaseline;None;PCA_features_0.25;0.30525526182294765;[0.2985714288116925, 0.31415369750370703, 0.30304065915344336]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.3056384808941637;[0.2986488390096064, 0.3144952375518046, 0.3037713661210801]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.30580802440827953;[0.29716329908149025, 0.3175529818259823, 0.30270779231736616]
None;None;Normalize;PCA_features_0.25;0.3062713897125297;[0.2952053313837191, 0.32549854109983956, 0.29811029665403027]
None;None;Gaussian;PCA_features_0.25;0.30731336639732415;[0.298338573372169, 0.30813925812551857, 0.3154622676942849]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.31002839976598434;[0.3057971374478493, 0.3138594631223132, 0.3104285987277905]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.3103954074008581;[0.30762496090891694, 0.31199328059590037, 0.31156798069775704]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.31047523666547655;[0.3077110345056288, 0.31167012615705436, 0.3120445493337465]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.3149883192702414;[0.30690610979561334, 0.3231316803240406, 0.3149271676910704]
StandardScaler;None;Gaussian;PCA_features_0.25;0.3242320296012157;[0.3252933717314437, 0.33135748947876265, 0.3160452275934407]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.3341280454200278;[0.32820842618857754, 0.3340049887477621, 0.34017072132374376]
StandardScaler;None;StandardNormalVariate;None;0.3430716307550032;[0.3355680324677219, 0.3458860284323052, 0.3477608313649825]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.34643577993903607;[0.34173703027054386, 0.3576159120211833, 0.3399543975253811]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.34694791818841697;[0.34470835100606456, 0.3455980037702395, 0.35053739978894677]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.3531227841889329;[0.3458389610808222, 0.35486798334092506, 0.35866140814505143]
