scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;None;Gaussian;None;7.4604387934282395;[7.675459360108998, 7.4151348262106715, 7.29072219396505]
None;None;Normalize;PCA_features_0.25;7.548572980677708;[7.853165724305518, 7.794274159940787, 6.998279057786818]
None;None;Gaussian;None;7.594112192436916;[7.724794848554081, 7.52142576357308, 7.536115965183588]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;7.676622210845292;[7.941676072968244, 7.95551768469456, 7.132672874873073]
None;None;StandardNormalVariate;PCA_features_0.25;7.682292991825558;[7.79391067879166, 7.591008852257881, 7.661959444427131]
StandardScaler;ASLSBaseline;Baseline;None;7.691527905265933;[7.97221816880423, 7.979528922306457, 7.122836624687112]
StandardScaler;ASLSBaseline;Normalize;None;7.694599599906493;[7.9813191711636895, 7.982052525568417, 7.12042710298737]
StandardScaler;ASLSBaseline;None;None;7.696243887836906;[7.981284085676598, 7.987320928263364, 7.120126649570756]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;7.778149113653584;[8.030032875199982, 7.969697321262244, 7.3347171444985255]
StandardScaler;None;None;PCA_features_0.25;7.848375086402854;[7.853015268345482, 8.109589184970057, 7.582520805893021]
StandardScaler;None;Normalize;PCA_features_0.25;7.856231494136736;[7.867341565011309, 8.131743628701717, 7.569609288697182]
StandardScaler;None;Baseline;PCA_features_0.25;7.86241193950591;[7.86889618855434, 8.152357799539582, 7.565981830423809]
None;ASLSBaseline;SavitzkyGolay;None;7.928133789651507;[8.520231864763801, 8.219836638188088, 7.044332866002631]
None;ASLSBaseline;Baseline;None;7.952604813055589;[8.496062694960688, 8.235853341849902, 7.125898402356179]
None;ASLSBaseline;Normalize;None;7.953215001562605;[8.492986312476683, 8.246636142018366, 7.120022550192769]
None;ASLSBaseline;None;None;7.955456468354131;[8.498904195837104, 8.238727799002461, 7.1287374102228265]
None;None;Baseline;PCA_features_0.25;7.974985217442872;[8.292473477855912, 8.025993198682965, 7.60648897578974]
StandardScaler;ASLSBaseline;Gaussian;None;7.977024337930604;[8.200191962082966, 8.415592716444685, 7.315288335264158]
None;None;None;PCA_features_0.25;7.977458925488687;[8.291853965475584, 8.033840216681172, 7.606682594309305]
None;None;SavitzkyGolay;PCA_features_0.25;7.991931540850366;[8.181874716055763, 8.21633769067317, 7.577582215822168]
