scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.07270046528874952;[0.0750276745642014, 0.06342656526531824, 0.07964715603672888]
None;None;StandardNormalVariate;PCA_features_0.25;0.07339584728025948;[0.0715484081040697, 0.06503398726197442, 0.08360514647473433]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.07347382114695265;[0.07735892221675775, 0.060275032309571555, 0.08278750891452866]
None;ASLSBaseline;None;PCA_features_0.25;0.07417426301552042;[0.07760117971904631, 0.059002820259726536, 0.08591878906778841]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.07433558563933922;[0.0776023495080171, 0.05971405967259589, 0.08569034773740465]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.07690355951870659;[0.07606029053141453, 0.06990414652363171, 0.08474624150107353]
None;None;SavitzkyGolay;PCA_features_0.25;0.07924172396358463;[0.08619597980212682, 0.069562092764684, 0.08196709932394304]
None;None;Baseline;PCA_features_0.25;0.08153542794758563;[0.08401573000908492, 0.07185030182835386, 0.0887402520053181]
None;None;None;PCA_features_0.25;0.08159161371508479;[0.0840479399140136, 0.0717733637418161, 0.08895353748942467]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.08496776499009397;[0.07989021975517092, 0.07338464171552185, 0.10162843349958915]
None;None;Gaussian;PCA_features_0.25;0.08622238945357692;[0.07518061825761435, 0.07662905438204452, 0.10685749572107191]
None;None;Gaussian;None;0.09814004252970288;[0.08390519779776087, 0.07194552783964298, 0.13856940195170478]
None;ASLSBaseline;Gaussian;None;0.09818569599756162;[0.08427063840773223, 0.07175160216697413, 0.1385348474179785]
None;ASLSBaseline;StandardNormalVariate;None;0.10801805632106187;[0.10925895765425492, 0.06814946408130924, 0.1466457472276215]
None;None;StandardNormalVariate;None;0.10945426483660096;[0.11519246999220788, 0.07253064966746421, 0.14063967485013076]
None;ASLSBaseline;None;None;0.11572990827442599;[0.1063641730217631, 0.08266382871109368, 0.1581617230904212]
None;ASLSBaseline;SavitzkyGolay;None;0.11592034486328517;[0.10949991223910496, 0.07826916545686131, 0.15999195689388926]
None;ASLSBaseline;Normalize;None;0.11597414799660759;[0.10636801723949206, 0.08339013729002005, 0.1581642894603106]
None;ASLSBaseline;Baseline;None;0.11604560830003703;[0.10630801060003175, 0.08366419189335554, 0.15816462240672383]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.12399969580774999;[0.12203742765137592, 0.09295669850576035, 0.1570049612661137]
StandardScaler;None;Normalize;PCA_features_0.25;0.1662825632423777;[0.16073707618557845, 0.12513792041749422, 0.21297269312406042]
StandardScaler;None;Gaussian;None;0.16633629405078862;[0.1309468821174236, 0.17053122321631783, 0.19753077681862447]
StandardScaler;None;None;PCA_features_0.25;0.16644787152177856;[0.16140075946988566, 0.12491511839745391, 0.21302773669799613]
StandardScaler;None;Baseline;PCA_features_0.25;0.16658579287661068;[0.16131295473065949, 0.1252543063030176, 0.21319011759615497]
StandardScaler;None;SavitzkyGolay;None;0.18068431123525222;[0.18849250201985215, 0.12757022011753938, 0.22599021156836513]
None;None;SavitzkyGolay;None;0.18069669088797302;[0.1892923907192099, 0.12650155543411676, 0.22629612651059233]
StandardScaler;None;Normalize;None;0.1833945614639927;[0.19885871768841434, 0.1280916009296487, 0.223233365773915]
StandardScaler;None;Baseline;None;0.18341451377843135;[0.19889510377806943, 0.12810056352535923, 0.2232478740318654]
None;None;Baseline;None;0.18342559015765614;[0.19886313073778314, 0.12818273417176804, 0.22323090556341726]
StandardScaler;None;None;None;0.18344074034120864;[0.19891181367589902, 0.12817785067119533, 0.2232325566765316]
None;None;None;None;0.18344746328389883;[0.1989382089528497, 0.12815987246562385, 0.22324430843322293]
None;None;Normalize;PCA_features_0.25;0.18423600080098748;[0.19347981659028352, 0.13731602434834275, 0.22191216146433618]
None;None;Normalize;None;0.18446288077420603;[0.19860154474110936, 0.13133845418926735, 0.22344864339224138]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.22646016705322558;[0.20613816016918085, 0.2239351842388573, 0.24930715675163867]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.28392557490050413;[0.24691929001768206, 0.3197911952252395, 0.28506623945859083]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.2877654608998113;[0.25555805090839345, 0.310654769346579, 0.29708356244446144]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.29360066119628025;[0.29432394299345177, 0.30780639696480266, 0.2786716436305862]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.2938641219620985;[0.2947134508869761, 0.3077976101942724, 0.279081304805047]
StandardScaler;ASLSBaseline;None;None;0.3062715679791546;[0.27833543410422107, 0.300209872351374, 0.34026939748186896]
StandardScaler;ASLSBaseline;Normalize;None;0.30645164880040265;[0.27845123532194577, 0.30078440671744633, 0.3401193043618159]
StandardScaler;ASLSBaseline;Baseline;None;0.3066390828986814;[0.278798916536456, 0.30080268339481286, 0.3403156487647754]
StandardScaler;ASLSBaseline;Gaussian;None;0.3145620100342749;[0.2687600788729438, 0.3505214766439334, 0.32440447458594757]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.35366284941984033;[0.2731381250970693, 0.41797688227697943, 0.3698735408854723]
StandardScaler;None;StandardNormalVariate;None;0.3554489697397467;[0.26872350888857915, 0.44390985866913124, 0.35371354166152985]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.3830984513896876;[0.314810649716048, 0.4046643918129601, 0.4298203126400548]
