scaler;baseline;simple;pca;mean_score;fold_scores
None;None;SavitzkyGolay;PCA_features_0.25;0.04884814059672065;[0.04796084487465815, 0.0502571621097238, 0.04832641480578]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.04897008672137281;[0.04728740280100916, 0.04966747052433816, 0.0499553868387711]
None;None;Baseline;PCA_features_0.25;0.05237604725888186;[0.05131166724496092, 0.05276054441842877, 0.05305593011325588]
None;None;None;PCA_features_0.25;0.052391821516408706;[0.05141635231730162, 0.05271759529676627, 0.05304151693515824]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.05316032437570009;[0.051869186850770625, 0.053323194932131564, 0.05428859134419808]
None;ASLSBaseline;None;PCA_features_0.25;0.0532299376247413;[0.051937559572686726, 0.0534380192366265, 0.05431423406491066]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.054267614415855626;[0.050276820898805114, 0.0581962252493456, 0.0543297970994162]
None;None;StandardNormalVariate;PCA_features_0.25;0.0543975219411418;[0.05049356613174683, 0.057901251240987, 0.054797748450691575]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.06905140968261676;[0.06431470032847669, 0.07765251234225266, 0.06518701637712093]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.07091532362128426;[0.07050428956121141, 0.06936130341759572, 0.07288037788504567]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.07952764905924546;[0.0800645783016989, 0.07867826549158292, 0.07984010338445456]
None;ASLSBaseline;SavitzkyGolay;None;0.08133950246217303;[0.0792372840776016, 0.08262424229172734, 0.08215698101719016]
None;ASLSBaseline;StandardNormalVariate;None;0.09184016847286891;[0.08860366754861165, 0.09286201006602648, 0.0940548278039686]
None;ASLSBaseline;None;None;0.09202055522959668;[0.08872650160510882, 0.09319177906006847, 0.09414338502361273]
None;ASLSBaseline;Baseline;None;0.09204179503178715;[0.08871912969856144, 0.09322778721714006, 0.09417846817965995]
None;ASLSBaseline;Normalize;None;0.09204694212434317;[0.08873746699612638, 0.09322042738219095, 0.09418293199471214]
StandardScaler;None;Gaussian;None;0.09257786470040485;[0.08714532984013074, 0.0989470900696821, 0.09164117419140173]
StandardScaler;ASLSBaseline;Gaussian;None;0.09543183391431048;[0.08971778430185053, 0.10256772585278291, 0.09400999158829802]
StandardScaler;None;SavitzkyGolay;None;0.09862601586533577;[0.09539496559424789, 0.09983619135623926, 0.1006468906455202]
None;None;SavitzkyGolay;None;0.09941764368368927;[0.09767526932411914, 0.10215027906319211, 0.09842738266375654]
None;None;StandardNormalVariate;None;0.10028103734109932;[0.09696185827049537, 0.10137686032875357, 0.10250439342404899]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.10421889161715003;[0.10123746006939872, 0.10881600960750956, 0.10260320517454177]
None;None;Gaussian;None;0.10448639845674705;[0.09885734183255004, 0.10880623564613594, 0.10579561789155517]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.10581888514423916;[0.1033387540760304, 0.10504490560583067, 0.10907299575085647]
None;ASLSBaseline;Gaussian;None;0.10631683289142894;[0.10044641306018853, 0.11203468237545118, 0.10646940323864715]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.1075107654125773;[0.10489826722905841, 0.10960251792619052, 0.10803151108248292]
None;None;Gaussian;PCA_features_0.25;0.11052748957804469;[0.10566009180368756, 0.1122706532962727, 0.1136517236341738]
StandardScaler;None;Baseline;PCA_features_0.25;0.11125296095797825;[0.10800315501808673, 0.11346776968974276, 0.11228795816610528]
StandardScaler;None;Normalize;PCA_features_0.25;0.111304574571666;[0.10809826070571563, 0.11346150166126273, 0.11235396134801964]
StandardScaler;None;None;PCA_features_0.25;0.11135967016735454;[0.10826496136808875, 0.11347593927791833, 0.11233810985605655]
None;None;Normalize;PCA_features_0.25;0.11324393118541348;[0.11074431986178214, 0.1154129916042163, 0.11357448209024201]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.11398669288924;[0.1110336175270974, 0.1138883866425778, 0.1170380744980448]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.11530337970598015;[0.11440452090735609, 0.11826796106333971, 0.11323765714724468]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.1153513500859168;[0.11441390167290302, 0.11819601505504564, 0.11344413352980176]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.11591991067334757;[0.1124854115335397, 0.11833545740152707, 0.11693886308497597]
StandardScaler;None;StandardNormalVariate;None;0.11888513098589347;[0.11383386761276792, 0.1199173579522289, 0.12290416739268356]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.11893898288474658;[0.1107377572321963, 0.12270298400093738, 0.12337620742110608]
None;None;Normalize;None;0.12155956773363756;[0.11809517566228538, 0.1224556268234717, 0.1241279007151556]
None;None;None;None;0.12157856619686502;[0.11808661164524394, 0.12252454155007239, 0.12412454539527874]
None;None;Baseline;None;0.12159376557286765;[0.11807192432573782, 0.1225894472295065, 0.12411992516335861]
StandardScaler;None;Baseline;None;0.12159549744476088;[0.11807499982423375, 0.12260332950563672, 0.12410816300441212]
StandardScaler;None;None;None;0.1215977149308981;[0.11807285630026468, 0.12258635095407455, 0.1241339375383551]
StandardScaler;None;Normalize;None;0.12161382655568564;[0.11807401687280686, 0.12265719453366654, 0.12411026826058352]
StandardScaler;ASLSBaseline;Normalize;None;0.12685390805727415;[0.11893800644265934, 0.1282549886944086, 0.13336872903475447]
StandardScaler;ASLSBaseline;Baseline;None;0.12687838001989848;[0.1189260285879154, 0.12833586992521126, 0.13337324154656877]
StandardScaler;ASLSBaseline;None;None;0.12689069470712488;[0.1189770771438882, 0.12832808747388041, 0.13336691950360607]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.1520247910827461;[0.14820393561652942, 0.1524881238622137, 0.15538231376949524]
StandardScaler;None;Gaussian;PCA_features_0.25;0.15279617077530927;[0.14902665737716445, 0.1540490224396026, 0.15531283250916073]
