scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;4.088647271847571;[4.0430970692196855, 4.1458297550562975, 4.077014991266732]
None;None;SavitzkyGolay;PCA_features_0.25;4.159942501149085;[4.052367735674629, 4.131232899040343, 4.2962268687322815]
None;ASLSBaseline;None;PCA_features_0.25;4.31959098041468;[4.390634122682916, 4.186658632388171, 4.381480186172952]
None;ASLSBaseline;Baseline;PCA_features_0.25;4.320871255807922;[4.395234101779818, 4.185897520528681, 4.381482145115266]
None;None;StandardNormalVariate;PCA_features_0.25;4.3439802910851375;[4.417624435701526, 4.262534786317342, 4.351781651236544]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;4.371570970265247;[4.379969580906137, 4.308792068191973, 4.425951261697631]
None;None;None;PCA_features_0.25;4.393397475480179;[4.376222494170222, 4.426208744799443, 4.37776118747087]
None;None;Baseline;PCA_features_0.25;4.395866603350758;[4.3808073465061375, 4.428196354993083, 4.378596108553053]
None;ASLSBaseline;Normalize;PCA_features_0.25;4.470733240361078;[4.582506810426204, 4.383303147322033, 4.446389763334995]
None;ASLSBaseline;SavitzkyGolay;None;4.564875722413466;[4.6301360609194795, 4.411445530584224, 4.653045575736693]
StandardScaler;ASLSBaseline;Gaussian;None;4.630428963994815;[4.748762069811322, 4.480823559335656, 4.661701262837466]
StandardScaler;None;Gaussian;None;4.64957441001886;[4.7541884978737885, 4.53148550539667, 4.663049226786123]
None;None;Gaussian;None;4.65553385636547;[4.865301412750711, 4.421707419734746, 4.679592736610953]
None;ASLSBaseline;StandardNormalVariate;None;4.65879893076391;[4.837716165291516, 4.536876894199907, 4.601803732800308]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;4.664662111665479;[4.689600156157643, 4.494494355035535, 4.809891823803261]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;4.672790309543937;[4.72706306265997, 4.479740525973989, 4.81156733999785]
None;ASLSBaseline;Gaussian;None;4.675731109008805;[4.90372513841817, 4.437308508811188, 4.686159679797058]
