scaler;baseline;simple;pca;mean_score;fold_scores
None;None;Baseline;PCA_features_0.25;0.034188361665573576;[0.03445140984622593, 0.032058388867290705, 0.03605528628320408]
None;None;SavitzkyGolay;PCA_features_0.25;0.03430970747541793;[0.035128578187297366, 0.03205439563909136, 0.03574614859986506]
None;None;None;PCA_features_0.25;0.03437324208334522;[0.035331197701341084, 0.031641479828026245, 0.036147048720668325]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.038046123817486066;[0.04117590383186442, 0.03925656874873197, 0.03370589887186182]
StandardScaler;None;None;PCA_features_0.25;0.038528077026976366;[0.04262107975849369, 0.038609682368398617, 0.034353468954036785]
StandardScaler;None;Baseline;PCA_features_0.25;0.03855678018888836;[0.04259039953192123, 0.03856529962875365, 0.03451464140599019]
None;None;SavitzkyGolay;None;0.03874719897002343;[0.042162191947329744, 0.03689667683349955, 0.037182728129241]
StandardScaler;None;Baseline;None;0.03879112077722164;[0.042063890599190176, 0.03695841832765213, 0.0373510534048226]
StandardScaler;None;Normalize;PCA_features_0.25;0.03879113425765665;[0.042900713293283974, 0.03913069462068613, 0.034341994858999865]
StandardScaler;None;None;None;0.03879117219723922;[0.042063937072604425, 0.03695518037263656, 0.037354399146476674]
StandardScaler;None;Normalize;None;0.03879149428764581;[0.04206349117516723, 0.03695713254684137, 0.03735385914092884]
None;None;Baseline;None;0.03879759445901485;[0.042064172149297134, 0.036975677690202643, 0.037352933537544784]
None;None;None;None;0.038802233837381205;[0.04208289869502612, 0.03697330519870972, 0.03735049761840776]
None;None;Normalize;None;0.03880797987407553;[0.04207039543075331, 0.03700129536114565, 0.03735224883032762]
StandardScaler;None;SavitzkyGolay;None;0.03885259063967934;[0.04219799754454387, 0.037134736608593434, 0.03722503776590071]
None;ASLSBaseline;Gaussian;None;0.038959959686698534;[0.0394219974700379, 0.03744142852361714, 0.04001645306644057]
None;None;StandardNormalVariate;None;0.039000754404664835;[0.03449447697569129, 0.04449852677177579, 0.038009259466527424]
None;ASLSBaseline;Normalize;None;0.039223683670236764;[0.035238407145513254, 0.039493187375499804, 0.04293945648969724]
None;ASLSBaseline;None;None;0.03924970310330658;[0.035307562406943736, 0.03949966816490014, 0.04294187873807587]
None;ASLSBaseline;Baseline;None;0.03925445651928918;[0.0353260971789065, 0.03949707929639058, 0.04294019308257045]
None;None;StandardNormalVariate;PCA_features_0.25;0.03936181443015688;[0.03695420020581145, 0.04182924946609726, 0.039301993618561924]
None;ASLSBaseline;SavitzkyGolay;None;0.03950003451046469;[0.03541167905132472, 0.04039759390914619, 0.042690830570923155]
None;None;Gaussian;None;0.04010917460385983;[0.039866755437456235, 0.03745752584215271, 0.043003242531970534]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.04017323655958044;[0.04688919367086276, 0.03408557830770655, 0.039544937700172]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.04032056438042377;[0.042102146092163256, 0.03702196177867517, 0.04183758527043288]
None;ASLSBaseline;None;PCA_features_0.25;0.04103651399366171;[0.04698431778284821, 0.03483282936990582, 0.041292394828231105]
StandardScaler;ASLSBaseline;Gaussian;None;0.04145675174997335;[0.041097090882567154, 0.03667205871587587, 0.046601105651477015]
None;None;Normalize;PCA_features_0.25;0.04154755887369316;[0.03916003492587694, 0.0356275445308723, 0.04985509716433023]
StandardScaler;None;Gaussian;None;0.041951070888976205;[0.04041121604591565, 0.03830356490699517, 0.047138431714017805]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.04225382752701876;[0.037952367293843714, 0.039691526075201856, 0.049117589212010745]
None;ASLSBaseline;StandardNormalVariate;None;0.04295191548555083;[0.03855369195440002, 0.040742650298115635, 0.049559404204136834]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.043100666078522476;[0.04373435524670261, 0.03818353849628802, 0.04738410449257679]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.043524858212033;[0.03427241736010197, 0.044872315778234924, 0.05142984149776212]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.04366005437607532;[0.04550015198913176, 0.038339430844896584, 0.04714058029419761]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.043930258305535895;[0.0348393507863426, 0.04224376985470749, 0.0547076542755576]
StandardScaler;None;StandardNormalVariate;None;0.04414238364040902;[0.043691991419455574, 0.03930578625797384, 0.04942937324379765]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.04464373560615912;[0.039938003696792256, 0.04389029845716512, 0.05010290466452001]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.04500333089105155;[0.05681777490573787, 0.03634402299345772, 0.04184819477395907]
StandardScaler;ASLSBaseline;Baseline;None;0.0450531049695481;[0.04514416498543626, 0.03825975349973675, 0.05175539642347128]
StandardScaler;ASLSBaseline;Normalize;None;0.0450639031737629;[0.045134816501724906, 0.03828791368335252, 0.05176897933621127]
StandardScaler;ASLSBaseline;None;None;0.04514807742551282;[0.045147144219155, 0.03855492196862626, 0.051742166088757195]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.04554982626783466;[0.04529419463694822, 0.03884145493816545, 0.052513829228390305]
None;None;Gaussian;PCA_features_0.25;0.04662308813927216;[0.05073956009488116, 0.0366101222718326, 0.05251958205110275]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.052690551767322034;[0.06898843836664628, 0.03963309045198354, 0.04945012648333628]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.05369999963166233;[0.043373493382750386, 0.039248244692615016, 0.07847826081962159]
StandardScaler;None;Gaussian;PCA_features_0.25;0.05396055212452649;[0.058822394809991956, 0.046390375875295625, 0.05666888568829188]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.05962154216697794;[0.08289949746357121, 0.03507113432271095, 0.06089399471465166]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.05968992335337935;[0.05622058232477466, 0.06311668063437322, 0.059732507100990186]
