scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;SavitzkyGolay;None;0.20163784102565985;[0.21454715753948916, 0.19116731266702455, 0.1991990528704658]
None;ASLSBaseline;Normalize;None;0.20394370064586767;[0.21579290037820092, 0.19277720120552824, 0.20326100035387387]
None;ASLSBaseline;None;None;0.20395560101104662;[0.2155528229719148, 0.1927330069757273, 0.20358097308549786]
None;ASLSBaseline;Baseline;None;0.20409797893127765;[0.21551675203350204, 0.19277201304012162, 0.2040051717202093]
None;ASLSBaseline;StandardNormalVariate;None;0.205281493093086;[0.2147528877078578, 0.19512781821830613, 0.20596377335309407]
None;None;Gaussian;None;0.20896887071804512;[0.21041131507932292, 0.19820654006828511, 0.21828875700652722]
None;ASLSBaseline;Gaussian;None;0.20908987595882123;[0.21040198502690097, 0.19923490567829463, 0.21763273717126808]
None;None;StandardNormalVariate;None;0.2139422701828367;[0.223169045038803, 0.20425840602274836, 0.21439935948695882]
StandardScaler;ASLSBaseline;Gaussian;None;0.21486730706716087;[0.22139674795264597, 0.20262551316105326, 0.22057966008778346]
StandardScaler;None;Gaussian;None;0.21517333781323889;[0.22160363216989706, 0.20054578359687777, 0.22337059767294185]
None;None;SavitzkyGolay;PCA_features_0.25;0.21557360665475225;[0.213796011402006, 0.21144562574842335, 0.22147918281382742]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.21836782486469905;[0.22529305839238806, 0.20701280405723677, 0.2227976121444723]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.2200076868547477;[0.23534741696122857, 0.20510581935180475, 0.21956982425120977]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.22001225357358947;[0.21723350444823072, 0.22231900374866168, 0.22048425252387602]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.2200554913465662;[0.23559693486989494, 0.20490926552600022, 0.21966027364380347]
None;None;Baseline;PCA_features_0.25;0.22051113631270033;[0.22534245578639722, 0.2076023105980497, 0.22858864255365408]
None;None;None;PCA_features_0.25;0.22053540026529558;[0.22567963772279795, 0.20739383739296174, 0.22853272568012703]
None;None;StandardNormalVariate;PCA_features_0.25;0.2208632778550611;[0.22819681742710868, 0.19712418572286278, 0.23726883041521185]
StandardScaler;ASLSBaseline;None;None;0.2214411940561574;[0.24079633811407883, 0.19841405513574673, 0.22511318891864665]
StandardScaler;ASLSBaseline;Baseline;None;0.22144692055305237;[0.2407780247531299, 0.19846238558986243, 0.22510035131616477]
StandardScaler;ASLSBaseline;Normalize;None;0.2214511205236939;[0.24084173106869897, 0.19841331597718287, 0.22509831452519993]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.22292892756398044;[0.2321485583893247, 0.20596426603035978, 0.23067395827225692]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.22496600198554126;[0.2414119616565667, 0.2037087111503274, 0.22977733314972967]
StandardScaler;None;Baseline;PCA_features_0.25;0.22727006739691724;[0.24240356542232266, 0.20728635996068887, 0.2321202768077401]
StandardScaler;None;Normalize;PCA_features_0.25;0.22738963359749684;[0.24267685451607984, 0.20729467033721266, 0.23219737593919804]
StandardScaler;None;None;PCA_features_0.25;0.22741882889333764;[0.24261620937649064, 0.2074061340505918, 0.2322341432529305]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.22764821409859162;[0.2107522623857375, 0.22703371953927826, 0.24515866037075917]
None;None;Normalize;PCA_features_0.25;0.23020823754963757;[0.2755813471151102, 0.19186355516083103, 0.22317981037297147]
