scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;None;SavitzkyGolay;None;0.0023254625664209942;[0.0010764645811444046, 0.001140035411539889, 0.00475988770657869]
None;ASLSBaseline;Normalize;None;0.0023704051926961424;[0.0009987969089319134, 0.0011987940186311613, 0.0049136246505253525]
None;ASLSBaseline;Baseline;None;0.0023742653625473424;[0.0009987096550446992, 0.0011995542254171125, 0.004924532207180215]
None;ASLSBaseline;None;None;0.0023745855512654506;[0.000999285796389587, 0.001199764573452397, 0.004924706283954368]
None;ASLSBaseline;SavitzkyGolay;None;0.002392156181026349;[0.001020954490632974, 0.0013132180780938882, 0.004842295974352186]
None;None;SavitzkyGolay;None;0.002410396794593922;[0.0011765429240003014, 0.0012561169619026283, 0.004798530497878836]
None;ASLSBaseline;Gaussian;None;0.002432688465336822;[0.001057771921327141, 0.001241991696873717, 0.0049983017778096085]
None;None;Gaussian;None;0.002466958690388683;[0.0010418861573884095, 0.0012324861305120518, 0.005126503783265587]
StandardScaler;None;None;None;0.0024698359115006194;[0.0009337472321730762, 0.0010782660892173146, 0.005397494413111468]
StandardScaler;None;Baseline;None;0.002469989079557691;[0.0009338689321823234, 0.0010783816603188385, 0.005397716646171911]
None;None;None;None;0.0024703450136086915;[0.0009358065677491123, 0.0010782480073138407, 0.005396980465763122]
StandardScaler;None;Normalize;None;0.002470624099364088;[0.0009337445117325003, 0.0010781660796860123, 0.005399961706673752]
None;None;Normalize;None;0.0024710259415348886;[0.0009345089456419507, 0.0010790295828294958, 0.005399539296133219]
None;None;Baseline;None;0.0024710664799419196;[0.0009344042679928262, 0.0010782395551165555, 0.005400555616716377]
StandardScaler;ASLSBaseline;Normalize;None;0.0026651897718354424;[0.0009757007090409224, 0.0014660941228620545, 0.005553774483603351]
StandardScaler;ASLSBaseline;Baseline;None;0.002669097844552798;[0.0009672196852134078, 0.0014800443534938809, 0.0055600294949511055]
StandardScaler;ASLSBaseline;None;None;0.002671049636920015;[0.000977897197788042, 0.0014818178544581792, 0.005553433858513823]
