scaler;baseline;simple;pca;mean_score;fold_scores
None;None;None;PCA_features_0.25;0.19291282415263158;[0.1899845484374763, 0.19840529285502986, 0.19034863116538858]
None;ASLSBaseline;StandardNormalVariate;None;0.19429901239388195;[0.18887463084619563, 0.2052257242373383, 0.18879668209811193]
None;None;SavitzkyGolay;PCA_features_0.25;0.19430667831717774;[0.19157343573341482, 0.20750789486881355, 0.18383870434930485]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.19503738227099002;[0.19652500132490136, 0.20253428961967193, 0.18605285586839687]
None;None;Baseline;PCA_features_0.25;0.19527452827402647;[0.192074307553062, 0.20052692818011428, 0.1932223490889031]
None;ASLSBaseline;None;None;0.1957076102239447;[0.19133466969682814, 0.20827527245537214, 0.18751288851963382]
None;ASLSBaseline;Baseline;None;0.19574546654025618;[0.19133632650862228, 0.20837616942997153, 0.18752390368217478]
None;ASLSBaseline;Normalize;None;0.195757625533129;[0.19128780547001822, 0.20842619103119428, 0.18755888009817448]
None;None;StandardNormalVariate;PCA_features_0.25;0.19681217419070018;[0.1938726422222565, 0.19954050601961923, 0.19702337433022482]
None;ASLSBaseline;SavitzkyGolay;None;0.1978572102478334;[0.19187755214133165, 0.20949290482296892, 0.1922011737791996]
None;None;Normalize;PCA_features_0.25;0.19818524438011711;[0.19053705263741105, 0.20851812352708343, 0.1955005569758569]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.1982886588346636;[0.19275712987914717, 0.21326329800461105, 0.18884554862023253]
None;None;SavitzkyGolay;None;0.19891565561360938;[0.19560896229754846, 0.20805477943990452, 0.1930832251033752]
StandardScaler;None;SavitzkyGolay;None;0.19898565514154995;[0.19591098363754042, 0.20807347278963023, 0.19297250899747923]
None;None;StandardNormalVariate;None;0.19997038267564737;[0.19229459073558755, 0.21527439329062825, 0.1923421640007264]
StandardScaler;None;None;PCA_features_0.25;0.20050298139043354;[0.19511023822617402, 0.22127812077459216, 0.1851205851705344]
None;None;Normalize;None;0.20139563848079486;[0.1956735279063063, 0.21340111339108847, 0.19511227414498974]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.20141754464704878;[0.196686486612786, 0.2051533172263714, 0.20241283010198896]
StandardScaler;None;Normalize;None;0.2014182385305958;[0.1957057606998461, 0.21346675373021182, 0.19508220116172945]
StandardScaler;None;Baseline;None;0.2014189002775106;[0.1957403168791367, 0.21343972476956455, 0.19507665918383052]
None;None;Baseline;None;0.20143130151082098;[0.1957120354933983, 0.21346625260785546, 0.19511561643120906]
StandardScaler;None;None;None;0.20143167992710584;[0.19573366618496318, 0.21344933478722428, 0.19511203880913003]
None;None;None;None;0.20143372709946425;[0.19572685813738902, 0.21345870672979456, 0.19511561643120906]
None;ASLSBaseline;None;PCA_features_0.25;0.20152038586344592;[0.20053940315733737, 0.20283027651492655, 0.20119147791807387]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.20216183813238056;[0.19985251242410354, 0.20500997322037515, 0.201623028752663]
StandardScaler;None;Normalize;PCA_features_0.25;0.20218705037798732;[0.1972333302582759, 0.2191959036233555, 0.19013191725233053]
StandardScaler;ASLSBaseline;None;None;0.20252767884989567;[0.19830503739335972, 0.21057830991530183, 0.19869968924102555]
StandardScaler;ASLSBaseline;Normalize;None;0.2026059335186415;[0.1984796548699728, 0.21074214195047286, 0.19859600373547875]
StandardScaler;ASLSBaseline;Baseline;None;0.2030473944652186;[0.19849653055289504, 0.21140933939711382, 0.19923631344564696]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.20377083804587923;[0.20024090965785035, 0.2117982655725885, 0.19927333890719875]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.20470741281611382;[0.2055462469699077, 0.20938794795795215, 0.1991880435204816]
StandardScaler;None;StandardNormalVariate;None;0.20595801937781602;[0.20695072207498644, 0.21524687512627935, 0.19567646093218222]
StandardScaler;None;Baseline;PCA_features_0.25;0.20646768231842083;[0.20663650914450601, 0.21838375883596697, 0.1943827789747895]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.20718406709756174;[0.2052965769019164, 0.21557790715352046, 0.2006777172372483]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.2080772628239879;[0.20956283957761934, 0.21568089838694784, 0.19898805050739649]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.21125880474387962;[0.2091682020760538, 0.21504873279700323, 0.20955947935858185]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.21846206210361294;[0.2161363467488754, 0.22803907032547105, 0.21121076923649224]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.21934735570709155;[0.21157056705248076, 0.2286200931838831, 0.2178514068849108]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.22037160203248973;[0.21640758452675954, 0.2281633724944564, 0.2165438490762533]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.22188273523403512;[0.22162809066606537, 0.24024741255148796, 0.20377270248455207]
None;ASLSBaseline;Gaussian;None;0.22503398418000167;[0.2174457061463155, 0.23730670586057087, 0.2203495405331187]
None;None;Gaussian;None;0.2255193258597996;[0.21395385570691774, 0.241055495369208, 0.2215486265032731]
StandardScaler;ASLSBaseline;Gaussian;None;0.23389698070499546;[0.2349946546615825, 0.24622602248065262, 0.22047026497275118]
StandardScaler;None;Gaussian;None;0.2339087455147493;[0.2340718757387932, 0.24259882647124664, 0.22505553433420813]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.2433601076994476;[0.2343492312316083, 0.24277496975000928, 0.2529561221167252]
None;None;Gaussian;PCA_features_0.25;0.24545007902371982;[0.23978033169447033, 0.2452104605710019, 0.2513594448056871]
StandardScaler;None;Gaussian;PCA_features_0.25;0.2623111807811127;[0.2562135214286619, 0.27032794370900326, 0.260392077205673]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.26324893726390064;[0.2580622925223587, 0.2734286527754522, 0.258255866493891]
