scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;None;Gaussian;None;0.11461401316844418;[0.12158810837927492, 0.10995977341382711, 0.11229415771223053]
StandardScaler;ASLSBaseline;Gaussian;None;0.11466532807477514;[0.12145532552095521, 0.11034434892273205, 0.11219630978063819]
None;None;StandardNormalVariate;None;0.11490218900147227;[0.11328454765656386, 0.1179095571173009, 0.11351246223055203]
None;None;Gaussian;None;0.11817750004180134;[0.12649807452339595, 0.11245131516334718, 0.11558311043866094]
None;ASLSBaseline;Gaussian;None;0.11825282789568799;[0.1266536646662577, 0.11237442327495273, 0.11573039574585353]
None;None;StandardNormalVariate;PCA_features_0.25;0.11856415336279824;[0.12199152338414043, 0.11753835376458457, 0.11616258293966975]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.11867494948222324;[0.11870313316806917, 0.11737960649016876, 0.11994210878843178]
None;None;None;PCA_features_0.25;0.11915713134553256;[0.12443232730231128, 0.11803099286820534, 0.115008073866081]
None;ASLSBaseline;StandardNormalVariate;None;0.11962754179930392;[0.11971101572006916, 0.12281672673698783, 0.11635488294085478]
None;None;SavitzkyGolay;PCA_features_0.25;0.11963522340799865;[0.12463414113780354, 0.11958628265046632, 0.11468524643572608]
None;None;Baseline;PCA_features_0.25;0.1198590055972214;[0.12516456362356237, 0.1182313297332132, 0.1161811234348886]
None;ASLSBaseline;None;PCA_features_0.25;0.1199231897441887;[0.1177522741043906, 0.1235446829083657, 0.11847261221980976]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.12022114961045505;[0.11756761844021024, 0.12346158954545161, 0.11963424084570332]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.12070737168010981;[0.12008852063335211, 0.12590307167194348, 0.11613052273503383]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.12077454746682494;[0.11760045998889906, 0.12382816391046948, 0.1208950185011063]
StandardScaler;None;Baseline;PCA_features_0.25;0.12096683241263517;[0.12689582672960814, 0.12198099922852054, 0.11402367127977686]
StandardScaler;None;Normalize;PCA_features_0.25;0.12098379581776426;[0.12651328479382085, 0.12149383763753625, 0.1149442650219357]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.12099596293242454;[0.12541013956347805, 0.12120603542704649, 0.1163717138067491]
StandardScaler;None;None;PCA_features_0.25;0.12101267572289531;[0.12689779692308312, 0.12158776180129606, 0.11455246844430675]
None;None;SavitzkyGolay;None;0.12102953064946316;[0.11896609788248955, 0.12776318426806932, 0.1163593097978306]
StandardScaler;None;SavitzkyGolay;None;0.12116667894771932;[0.11922520175501672, 0.12770060911000747, 0.11657422597813379]
None;None;Baseline;None;0.1213889155349343;[0.11949711970442524, 0.1271987553586962, 0.11747087154168145]
None;None;Normalize;None;0.1214377677356024;[0.11925593274848724, 0.12702708240749805, 0.11803028805082195]
StandardScaler;None;Normalize;None;0.12160123112628059;[0.11950541012085351, 0.12715894318423213, 0.11813934007375616]
StandardScaler;None;None;None;0.12160378429235767;[0.11948998174522209, 0.12715481166144812, 0.11816655947040279]
None;None;None;None;0.12160980424129841;[0.11936387768494726, 0.12712990065503307, 0.11833563438391491]
StandardScaler;None;Baseline;None;0.12176201635842888;[0.11949252557867454, 0.12716019201779208, 0.11863333147882006]
None;ASLSBaseline;None;None;0.12231520165053507;[0.12252847573940587, 0.12584363035719134, 0.11857349885500801]
StandardScaler;None;StandardNormalVariate;None;0.12237572777770782;[0.12244638269731668, 0.1277931104772389, 0.11688769015856787]
None;ASLSBaseline;Baseline;None;0.12239236310929073;[0.12272077948808048, 0.12584926094302434, 0.11860704889676738]
