database,dataset,folder,status,returncode,elapsed_sec,log_path,cmd
ALPINE,ALPINE_C_424_KS,Data/regression/ALPINE/ALPINE_C_424_KS,FAIL,1,5.301372766494751,Results/tabpfn_reg_final/logs/ALPINE__ALPINE_C_424_KS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/ALPINE/ALPINE_C_424_KS --output_dir Results/tabpfn_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 4 --n_estimators_final 16 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 18 --use_tmp_dir
ALPINE,ALPINE_N_552_KS,Data/regression/ALPINE/ALPINE_N_552_KS,FAIL,1,14322.545226812363,Results/tabpfn_reg_final/logs/ALPINE__ALPINE_N_552_KS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/ALPINE/ALPINE_N_552_KS --output_dir Results/tabpfn_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 4 --n_estimators_final 16 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 18 --use_tmp_dir
ALPINE,ALPINE_P_291_KS,Data/regression/ALPINE/ALPINE_P_291_KS,OK,0,13815.361723899841,Results/tabpfn_reg_final/logs/ALPINE__ALPINE_P_291_KS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/ALPINE/ALPINE_P_291_KS --output_dir Results/tabpfn_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 4 --n_estimators_final 16 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 18 --use_tmp_dir
ALPINE,ALPINE_C_424_RobustnessAlps,Data/regression/ALPINE/ALPINE_C_424_RobustnessAlps,FAIL,1,3.0241308212280273,Results/tabpfn_reg_final/logs/ALPINE__ALPINE_C_424_RobustnessAlps.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/ALPINE/ALPINE_C_424_RobustnessAlps --output_dir Results/tabpfn_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 4 --n_estimators_final 16 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 18 --use_tmp_dir
AMYLOSE,Rice_Amylose_313_YbasedSplit,Data/regression/AMYLOSE/Rice_Amylose_313_YbasedSplit,OK,0,13535.987540245056,Results/tabpfn_reg_final/logs/AMYLOSE__Rice_Amylose_313_YbasedSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/AMYLOSE/Rice_Amylose_313_YbasedSplit --output_dir Results/tabpfn_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 4 --n_estimators_final 16 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 18 --use_tmp_dir
BEEFMARBLING,Beef_Marbling_RandomSplit,Data/regression/BEEFMARBLING/Beef_Marbling_RandomSplit,OK,0,2871.1923139095306,Results/tabpfn_reg_final/logs/BEEFMARBLING__Beef_Marbling_RandomSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/BEEFMARBLING/Beef_Marbling_RandomSplit --output_dir Results/tabpfn_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 4 --n_estimators_final 16 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 18 --use_tmp_dir
BEER,Beer_OriginalExtract_60_YbaseSplit,Data/regression/BEER/Beer_OriginalExtract_60_YbaseSplit,OK,0,1929.3975307941437,Results/tabpfn_reg_final/logs/BEER__Beer_OriginalExtract_60_YbaseSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/BEER/Beer_OriginalExtract_60_YbaseSplit --output_dir Results/tabpfn_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 4 --n_estimators_final 16 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 18 --use_tmp_dir
BEER,Beer_OriginalExtract_60_KS,Data/regression/BEER/Beer_OriginalExtract_60_KS,OK,0,1922.628226518631,Results/tabpfn_reg_final/logs/BEER__Beer_OriginalExtract_60_KS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/BEER/Beer_OriginalExtract_60_KS --output_dir Results/tabpfn_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 4 --n_estimators_final 16 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 18 --use_tmp_dir
BERRY,brix_groupSampleID_stratDateVar_balRows,Data/regression/BERRY/brix_groupSampleID_stratDateVar_balRows,OK,0,30944.203101158142,Results/tabpfn_reg_final/logs/BERRY__brix_groupSampleID_stratDateVar_balRows.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/BERRY/brix_groupSampleID_stratDateVar_balRows --output_dir Results/tabpfn_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 4 --n_estimators_final 16 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 18 --use_tmp_dir
BERRY,ph_groupSampleID_stratDateVar_balRows,Data/regression/BERRY/ph_groupSampleID_stratDateVar_balRows,OK,0,27820.47452902794,Results/tabpfn_reg_final/logs/BERRY__ph_groupSampleID_stratDateVar_balRows.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/BERRY/ph_groupSampleID_stratDateVar_balRows --output_dir Results/tabpfn_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 4 --n_estimators_final 16 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 18 --use_tmp_dir
BERRY,ta_groupSampleID_stratDateVar_balRows,Data/regression/BERRY/ta_groupSampleID_stratDateVar_balRows,OK,0,27687.936377048492,Results/tabpfn_reg_final/logs/BERRY__ta_groupSampleID_stratDateVar_balRows.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/BERRY/ta_groupSampleID_stratDateVar_balRows --output_dir Results/tabpfn_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 4 --n_estimators_final 16 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 18 --use_tmp_dir
BISCUIT,Biscuit_Fat_40_RandomSplit,Data/regression/BISCUIT/Biscuit_Fat_40_RandomSplit,OK,0,1934.3850388526917,Results/tabpfn_reg_final/logs/BISCUIT__Biscuit_Fat_40_RandomSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/BISCUIT/Biscuit_Fat_40_RandomSplit --output_dir Results/tabpfn_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 4 --n_estimators_final 16 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 18 --use_tmp_dir
BISCUIT,Biscuit_Sucrose_40_RandomSplit,Data/regression/BISCUIT/Biscuit_Sucrose_40_RandomSplit,OK,0,1925.3751919269562,Results/tabpfn_reg_final/logs/BISCUIT__Biscuit_Sucrose_40_RandomSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/BISCUIT/Biscuit_Sucrose_40_RandomSplit --output_dir Results/tabpfn_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 4 --n_estimators_final 16 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 18 --use_tmp_dir
CORN,Corn_Oil_80_ZhengChenPelegYbaseSplit,Data/regression/CORN/Corn_Oil_80_ZhengChenPelegYbaseSplit,OK,0,2019.8697154521942,Results/tabpfn_reg_final/logs/CORN__Corn_Oil_80_ZhengChenPelegYbaseSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/CORN/Corn_Oil_80_ZhengChenPelegYbaseSplit --output_dir Results/tabpfn_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 4 --n_estimators_final 16 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 18 --use_tmp_dir
CORN,Corn_Starch_80_ZhengChenPelegYbaseSplit,Data/regression/CORN/Corn_Starch_80_ZhengChenPelegYbaseSplit,OK,0,2021.5597743988037,Results/tabpfn_reg_final/logs/CORN__Corn_Starch_80_ZhengChenPelegYbaseSplit.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/CORN/Corn_Starch_80_ZhengChenPelegYbaseSplit --output_dir Results/tabpfn_reg_final --task_type regression --seed 42 --n_splits 3 --n_estimators_search 4 --n_estimators_final 16 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 18 --use_tmp_dir
