scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;Normalize;None;0.22590506569012977;[0.22590506569012977]
None;ASLSBaseline;None;None;0.22590506569012977;[0.22590506569012977]
None;ASLSBaseline;Baseline;None;0.22591736273958282;[0.22591736273958282]
None;ASLSBaseline;SavitzkyGolay;None;0.22769992590677596;[0.22769992590677596]
None;None;StandardNormalVariate;PCA_features_0.25;0.2321991652058725;[0.2321991652058725]
None;None;StandardNormalVariate;None;0.2386607890603355;[0.2386607890603355]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.24019478617213172;[0.24019478617213172]
StandardScaler;ASLSBaseline;Normalize;None;0.2453612172336713;[0.2453612172336713]
StandardScaler;ASLSBaseline;Baseline;None;0.24536191133372492;[0.24536191133372492]
StandardScaler;ASLSBaseline;None;None;0.24536191133372492;[0.24536191133372492]
None;ASLSBaseline;Gaussian;None;0.2468709968688786;[0.2468709968688786]
None;None;Gaussian;None;0.2473920016559258;[0.2473920016559258]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.2501858803115935;[0.2501858803115935]
StandardScaler;None;Gaussian;None;0.2509841314698445;[0.2509841314698445]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.2511316059916871;[0.2511316059916871]
None;None;Normalize;PCA_features_0.25;0.2536690331259869;[0.2536690331259869]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.2557230471990759;[0.2557230471990759]
None;ASLSBaseline;StandardNormalVariate;None;0.25819811688869526;[0.25819811688869526]
StandardScaler;ASLSBaseline;Gaussian;None;0.2586889336260122;[0.2586889336260122]
StandardScaler;None;SavitzkyGolay;None;0.25868983422915814;[0.25868983422915814]
None;None;SavitzkyGolay;None;0.2590406199956579;[0.2590406199956579]
None;None;Normalize;None;0.25943692233190857;[0.25943692233190857]
None;None;Baseline;None;0.25943854822000373;[0.25943854822000373]
None;None;None;None;0.2594392944392768;[0.2594392944392768]
StandardScaler;None;None;None;0.2594393874526962;[0.2594393874526962]
StandardScaler;None;Baseline;None;0.2594393874526962;[0.2594393874526962]
StandardScaler;None;Normalize;None;0.25944466453760207;[0.25944466453760207]
StandardScaler;None;None;PCA_features_0.25;0.2612687373040025;[0.2612687373040025]
StandardScaler;None;Normalize;PCA_features_0.25;0.26236752361421944;[0.26236752361421944]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.26542629231976855;[0.26542629231976855]
None;None;SavitzkyGolay;PCA_features_0.25;0.26777802118586913;[0.26777802118586913]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.26836611179641995;[0.26836611179641995]
StandardScaler;None;Baseline;PCA_features_0.25;0.2685030744657192;[0.2685030744657192]
None;None;Baseline;PCA_features_0.25;0.2778500741488359;[0.2778500741488359]
None;None;None;PCA_features_0.25;0.27830564415808634;[0.27830564415808634]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.2835249816791375;[0.2835249816791375]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.28758622621402335;[0.28758622621402335]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.28864608643342005;[0.28864608643342005]
None;ASLSBaseline;None;PCA_features_0.25;0.28911215310836086;[0.28911215310836086]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.2960430966024142;[0.2960430966024142]
StandardScaler;None;StandardNormalVariate;None;0.30494075277804206;[0.30494075277804206]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.32367956822123545;[0.32367956822123545]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.3344748175608217;[0.3344748175608217]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.35567373797091406;[0.35567373797091406]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.5066910047112188;[0.5066910047112188]
None;None;Gaussian;PCA_features_0.25;0.5299706336829123;[0.5299706336829123]
StandardScaler;None;Gaussian;PCA_features_0.25;0.5388102354163214;[0.5388102354163214]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.6036636122254166;[0.6036636122254166]
