scaler;baseline;simple;pca;mean_score;fold_scores
None;None;SavitzkyGolay;PCA_features_0.25;2.4603444440742295;[2.4603444440742295]
None;ASLSBaseline;Baseline;PCA_features_0.25;2.5152427654607044;[2.5152427654607044]
None;ASLSBaseline;SavitzkyGolay;None;2.525440279494142;[2.525440279494142]
None;ASLSBaseline;None;PCA_features_0.25;2.5292533316809886;[2.5292533316809886]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;2.540726753144815;[2.540726753144815]
None;ASLSBaseline;Normalize;None;2.57507423888472;[2.57507423888472]
None;ASLSBaseline;Baseline;None;2.5753532984613563;[2.5753532984613563]
None;ASLSBaseline;None;None;2.5760443803594013;[2.5760443803594013]
None;None;Baseline;PCA_features_0.25;2.6157390419038;[2.6157390419038]
None;None;None;PCA_features_0.25;2.616509589633686;[2.616509589633686]
None;None;StandardNormalVariate;PCA_features_0.25;2.635210856169514;[2.635210856169514]
None;None;StandardNormalVariate;None;2.6492424576234606;[2.6492424576234606]
None;ASLSBaseline;StandardNormalVariate;None;2.6639713919834795;[2.6639713919834795]
None;None;Normalize;PCA_features_0.25;2.709054984080115;[2.709054984080115]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;2.7252418305308086;[2.7252418305308086]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;2.725316224686663;[2.725316224686663]
None;ASLSBaseline;Normalize;PCA_features_0.25;2.7551373977593423;[2.7551373977593423]
StandardScaler;None;Baseline;PCA_features_0.25;2.7745329140165276;[2.7745329140165276]
StandardScaler;None;None;PCA_features_0.25;2.7746176289774773;[2.7746176289774773]
StandardScaler;None;Normalize;PCA_features_0.25;2.7746420179368605;[2.7746420179368605]
None;None;Normalize;None;2.845390851344471;[2.845390851344471]
None;None;None;None;2.845485694505612;[2.845485694505612]
StandardScaler;None;None;None;2.845485694505612;[2.845485694505612]
None;None;Baseline;None;2.845485694505612;[2.845485694505612]
StandardScaler;None;Normalize;None;2.845485694505612;[2.845485694505612]
StandardScaler;None;Baseline;None;2.845485694505612;[2.845485694505612]
None;None;SavitzkyGolay;None;2.851782039383996;[2.851782039383996]
StandardScaler;None;SavitzkyGolay;None;2.855531485609476;[2.855531485609476]
None;ASLSBaseline;Gaussian;None;2.9211080012890465;[2.9211080012890465]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;2.9729817692791647;[2.9729817692791647]
None;ASLSBaseline;Gaussian;PCA_features_0.25;3.023367714213665;[3.023367714213665]
None;None;Gaussian;PCA_features_0.25;3.045207486176128;[3.045207486176128]
None;None;Gaussian;None;3.049186819170889;[3.049186819170889]
StandardScaler;None;Gaussian;None;3.1132174117886118;[3.1132174117886118]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.2638127884957435;[3.2638127884957435]
StandardScaler;ASLSBaseline;Gaussian;None;3.301403390908325;[3.301403390908325]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;3.4474717395351253;[3.4474717395351253]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.4586838485551956;[3.4586838485551956]
StandardScaler;ASLSBaseline;Normalize;None;3.465173125605533;[3.465173125605533]
StandardScaler;ASLSBaseline;Baseline;None;3.465173125605533;[3.465173125605533]
StandardScaler;ASLSBaseline;None;None;3.465173125605533;[3.465173125605533]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;3.4996868186861976;[3.4996868186861976]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;3.5040677646181755;[3.5040677646181755]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;3.8802570593345025;[3.8802570593345025]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;3.910487337133595;[3.910487337133595]
StandardScaler;None;StandardNormalVariate;None;3.971926225288491;[3.971926225288491]
StandardScaler;None;Gaussian;PCA_features_0.25;5.535826199235266;[5.535826199235266]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;12.481612374334508;[12.481612374334508]
