scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;SavitzkyGolay;None;2.475088780862616;[2.475088780862616]
None;ASLSBaseline;None;None;2.4777080042890125;[2.4777080042890125]
None;ASLSBaseline;Baseline;None;2.4777080042890125;[2.4777080042890125]
None;ASLSBaseline;Normalize;None;2.4787773637872412;[2.4787773637872412]
None;None;Normalize;None;2.5822188560756034;[2.5822188560756034]
None;None;None;None;2.5822188560756034;[2.5822188560756034]
None;None;Baseline;None;2.5822757026997674;[2.5822757026997674]
StandardScaler;None;None;None;2.5822757026997674;[2.5822757026997674]
StandardScaler;None;Baseline;None;2.5822757026997674;[2.5822757026997674]
StandardScaler;None;Normalize;None;2.5822757026997674;[2.5822757026997674]
StandardScaler;None;SavitzkyGolay;None;2.583088178991563;[2.583088178991563]
StandardScaler;ASLSBaseline;Gaussian;None;2.6029950571116496;[2.6029950571116496]
None;None;SavitzkyGolay;None;2.6173793081867744;[2.6173793081867744]
StandardScaler;None;Gaussian;None;2.624650930992055;[2.624650930992055]
None;None;StandardNormalVariate;PCA_features_0.25;2.6394853855446834;[2.6394853855446834]
None;None;Gaussian;None;2.659803079003508;[2.659803079003508]
None;ASLSBaseline;Gaussian;None;2.672290215120851;[2.672290215120851]
StandardScaler;None;Gaussian;PCA_features_0.25;2.679084503394213;[2.679084503394213]
None;None;Normalize;PCA_features_0.25;2.6893761042646127;[2.6893761042646127]
StandardScaler;None;StandardNormalVariate;None;2.698865299059276;[2.698865299059276]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;2.7456349213379028;[2.7456349213379028]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;2.7614198304315263;[2.7614198304315263]
StandardScaler;None;Baseline;PCA_features_0.25;2.771047302465003;[2.771047302465003]
StandardScaler;None;Normalize;PCA_features_0.25;2.7828487043896954;[2.7828487043896954]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;2.78308897220651;[2.78308897220651]
StandardScaler;None;None;PCA_features_0.25;2.7831016760154803;[2.7831016760154803]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;2.806521496578668;[2.806521496578668]
None;ASLSBaseline;None;PCA_features_0.25;2.8169993574768233;[2.8169993574768233]
None;None;None;PCA_features_0.25;2.8397233961608523;[2.8397233961608523]
None;None;Baseline;PCA_features_0.25;2.8417084864266684;[2.8417084864266684]
None;None;StandardNormalVariate;None;2.855719063494995;[2.855719063494995]
None;None;SavitzkyGolay;PCA_features_0.25;2.867127346641661;[2.867127346641661]
None;ASLSBaseline;Baseline;PCA_features_0.25;2.8734090275463595;[2.8734090275463595]
None;ASLSBaseline;StandardNormalVariate;None;2.888717199732578;[2.888717199732578]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;2.8891217131468814;[2.8891217131468814]
StandardScaler;ASLSBaseline;Baseline;None;2.89470773606353;[2.89470773606353]
StandardScaler;ASLSBaseline;Normalize;None;2.89470773606353;[2.89470773606353]
StandardScaler;ASLSBaseline;None;None;2.89470773606353;[2.89470773606353]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;2.8963929867655596;[2.8963929867655596]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;2.8967802950634907;[2.8967802950634907]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;2.898639873645466;[2.898639873645466]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;2.901964383494469;[2.901964383494469]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;2.9328794866902643;[2.9328794866902643]
None;ASLSBaseline;Normalize;PCA_features_0.25;2.9560734384510523;[2.9560734384510523]
None;ASLSBaseline;Gaussian;PCA_features_0.25;3.013651921122004;[3.013651921122004]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;3.0582553555127214;[3.0582553555127214]
None;None;Gaussian;PCA_features_0.25;3.123274427550274;[3.123274427550274]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;3.1318583654707774;[3.1318583654707774]
