scaler;baseline;simple;pca;mean_score;fold_scores
None;None;Gaussian;None;2.561549353553563;[2.561549353553563]
None;ASLSBaseline;Gaussian;None;2.6120682795788936;[2.6120682795788936]
None;ASLSBaseline;StandardNormalVariate;None;2.7971651734791787;[2.7971651734791787]
StandardScaler;ASLSBaseline;Gaussian;None;2.800701058007608;[2.800701058007608]
None;None;Gaussian;PCA_features_0.25;2.831004878455357;[2.831004878455357]
StandardScaler;None;Gaussian;None;2.843200384889046;[2.843200384889046]
StandardScaler;None;Gaussian;PCA_features_0.25;2.914968648010106;[2.914968648010106]
None;ASLSBaseline;Gaussian;PCA_features_0.25;2.9258064285177805;[2.9258064285177805]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;2.9809000897060476;[2.9809000897060476]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.059356593139213;[3.059356593139213]
None;ASLSBaseline;Baseline;PCA_features_0.25;3.060082804486682;[3.060082804486682]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;3.0627371061223063;[3.0627371061223063]
None;ASLSBaseline;None;PCA_features_0.25;3.064171358859795;[3.064171358859795]
None;None;StandardNormalVariate;PCA_features_0.25;3.0662681032328916;[3.0662681032328916]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;3.0663221688984015;[3.0663221688984015]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;3.083702650808589;[3.083702650808589]
None;ASLSBaseline;SavitzkyGolay;None;3.1201390034869876;[3.1201390034869876]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.1425097601592045;[3.1425097601592045]
None;None;SavitzkyGolay;None;3.1583449714985763;[3.1583449714985763]
None;ASLSBaseline;None;None;3.158488867240361;[3.158488867240361]
None;ASLSBaseline;Normalize;None;3.158488867240361;[3.158488867240361]
None;ASLSBaseline;Baseline;None;3.158488867240361;[3.158488867240361]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.164872630325227;[3.164872630325227]
None;ASLSBaseline;Normalize;PCA_features_0.25;3.171217577110581;[3.171217577110581]
None;None;SavitzkyGolay;PCA_features_0.25;3.1732514922960986;[3.1732514922960986]
StandardScaler;None;StandardNormalVariate;None;3.189014447607054;[3.189014447607054]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;3.2061784081415947;[3.2061784081415947]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.2096487940503198;[3.2096487940503198]
StandardScaler;None;SavitzkyGolay;None;3.2122166297816173;[3.2122166297816173]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;3.223037585480296;[3.223037585480296]
None;None;Normalize;None;3.225511634975519;[3.225511634975519]
None;None;None;PCA_features_0.25;3.2270353469443753;[3.2270353469443753]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;3.227208742428253;[3.227208742428253]
None;None;Baseline;PCA_features_0.25;3.2322698927268734;[3.2322698927268734]
StandardScaler;ASLSBaseline;None;None;3.2323392624932183;[3.2323392624932183]
StandardScaler;ASLSBaseline;Baseline;None;3.2323392624932183;[3.2323392624932183]
StandardScaler;ASLSBaseline;Normalize;None;3.2323392624932183;[3.2323392624932183]
StandardScaler;None;None;PCA_features_0.25;3.236514879648952;[3.236514879648952]
None;None;None;None;3.2472549311421495;[3.2472549311421495]
None;None;Baseline;None;3.2558364600445846;[3.2558364600445846]
StandardScaler;None;None;None;3.2558364600445846;[3.2558364600445846]
StandardScaler;None;Normalize;None;3.2558364600445846;[3.2558364600445846]
StandardScaler;None;Baseline;None;3.2558364600445846;[3.2558364600445846]
StandardScaler;None;Normalize;PCA_features_0.25;3.262546170981332;[3.262546170981332]
StandardScaler;None;Baseline;PCA_features_0.25;3.2715082819989276;[3.2715082819989276]
None;None;StandardNormalVariate;None;3.2850972512079517;[3.2850972512079517]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;3.300008294338901;[3.300008294338901]
None;None;Normalize;PCA_features_0.25;3.39418037774958;[3.39418037774958]
