scaler;baseline;simple;pca;mean_score;fold_scores
None;None;Normalize;PCA_features_0.25;0.21007847827840398;[0.21007847827840398]
StandardScaler;ASLSBaseline;Baseline;None;0.23698625428068393;[0.23698625428068393]
StandardScaler;ASLSBaseline;Normalize;None;0.23698625428068393;[0.23698625428068393]
StandardScaler;ASLSBaseline;None;None;0.23698625428068393;[0.23698625428068393]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.23804847130708395;[0.23804847130708395]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.23948350519981612;[0.23948350519981612]
StandardScaler;None;None;PCA_features_0.25;0.24065868518218095;[0.24065868518218095]
StandardScaler;None;Normalize;PCA_features_0.25;0.24499188628722746;[0.24499188628722746]
StandardScaler;None;Baseline;PCA_features_0.25;0.2476208822731116;[0.2476208822731116]
None;ASLSBaseline;StandardNormalVariate;None;0.2547100017994833;[0.2547100017994833]
None;ASLSBaseline;None;PCA_features_0.25;0.2691414208410049;[0.2691414208410049]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.27747639982091665;[0.27747639982091665]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.27847063608459494;[0.27847063608459494]
StandardScaler;None;Gaussian;None;0.28327091208442373;[0.28327091208442373]
None;ASLSBaseline;Gaussian;None;0.2889033102690052;[0.2889033102690052]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.29546515874676615;[0.29546515874676615]
None;None;StandardNormalVariate;PCA_features_0.25;0.2969839328060313;[0.2969839328060313]
None;None;Gaussian;None;0.29818279630001454;[0.29818279630001454]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.30141171939243483;[0.30141171939243483]
None;None;SavitzkyGolay;PCA_features_0.25;0.30696768352128406;[0.30696768352128406]
None;None;None;PCA_features_0.25;0.30806547536366763;[0.30806547536366763]
None;None;Baseline;PCA_features_0.25;0.30841315833387106;[0.30841315833387106]
StandardScaler;ASLSBaseline;Gaussian;None;0.30900679565907124;[0.30900679565907124]
None;ASLSBaseline;Baseline;None;0.3204965845540081;[0.3204965845540081]
None;ASLSBaseline;None;None;0.3204965845540081;[0.3204965845540081]
None;ASLSBaseline;Normalize;None;0.3204965845540081;[0.3204965845540081]
None;ASLSBaseline;SavitzkyGolay;None;0.3214877633607135;[0.3214877633607135]
StandardScaler;None;StandardNormalVariate;None;0.33224845921649293;[0.33224845921649293]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.34456601804941556;[0.34456601804941556]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.3457970357117787;[0.3457970357117787]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.34686657545405364;[0.34686657545405364]
StandardScaler;None;Gaussian;PCA_features_0.25;0.3516852068183134;[0.3516852068183134]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.35723626194771574;[0.35723626194771574]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.35800605047719497;[0.35800605047719497]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.35963011264086764;[0.35963011264086764]
None;None;StandardNormalVariate;None;0.38615307536306287;[0.38615307536306287]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.4185836838525576;[0.4185836838525576]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.4249658207995593;[0.4249658207995593]
None;None;SavitzkyGolay;None;0.4329806379659832;[0.4329806379659832]
StandardScaler;None;SavitzkyGolay;None;0.4401801501058266;[0.4401801501058266]
None;None;None;None;0.4427260365564385;[0.4427260365564385]
None;None;Baseline;None;0.4427260365564385;[0.4427260365564385]
StandardScaler;None;None;None;0.4427260365564385;[0.4427260365564385]
StandardScaler;None;Baseline;None;0.4427260365564385;[0.4427260365564385]
None;None;Normalize;None;0.4427260365564385;[0.4427260365564385]
StandardScaler;None;Normalize;None;0.4427260365564385;[0.4427260365564385]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.4496436587237593;[0.4496436587237593]
None;None;Gaussian;PCA_features_0.25;0.461575190372575;[0.461575190372575]
