scaler;baseline;simple;pca;mean_score;fold_scores
None;None;StandardNormalVariate;PCA_features_0.25;2.6498562323960453;[2.6498562323960453]
None;None;Baseline;PCA_features_0.25;2.69514761157777;[2.69514761157777]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;2.719839294398387;[2.719839294398387]
None;ASLSBaseline;StandardNormalVariate;None;2.844468916681768;[2.844468916681768]
None;None;None;PCA_features_0.25;2.8973661432294207;[2.8973661432294207]
None;ASLSBaseline;Gaussian;PCA_features_0.25;2.924770939652963;[2.924770939652963]
None;None;Gaussian;PCA_features_0.25;2.973195010875148;[2.973195010875148]
StandardScaler;None;Gaussian;None;2.987589916967001;[2.987589916967001]
StandardScaler;ASLSBaseline;Gaussian;None;2.999209617765792;[2.999209617765792]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.0506357312145593;[3.0506357312145593]
StandardScaler;None;None;None;3.070322128940849;[3.070322128940849]
None;None;Baseline;None;3.070322128940849;[3.070322128940849]
StandardScaler;None;Baseline;None;3.070322128940849;[3.070322128940849]
StandardScaler;None;Normalize;None;3.070322128940849;[3.070322128940849]
None;None;None;None;3.0707790030060345;[3.0707790030060345]
None;None;Normalize;None;3.08263380689938;[3.08263380689938]
None;None;SavitzkyGolay;None;3.1670802666116837;[3.1670802666116837]
None;ASLSBaseline;Baseline;PCA_features_0.25;3.1924059643260367;[3.1924059643260367]
None;ASLSBaseline;None;PCA_features_0.25;3.2207521304166664;[3.2207521304166664]
StandardScaler;None;SavitzkyGolay;None;3.226871651162496;[3.226871651162496]
None;None;StandardNormalVariate;None;3.4146528279228767;[3.4146528279228767]
None;None;SavitzkyGolay;PCA_features_0.25;3.436181804026065;[3.436181804026065]
None;ASLSBaseline;Normalize;PCA_features_0.25;3.503238678175823;[3.503238678175823]
None;ASLSBaseline;SavitzkyGolay;None;3.597139700422132;[3.597139700422132]
None;None;Gaussian;None;3.6701404126822874;[3.6701404126822874]
StandardScaler;None;Gaussian;PCA_features_0.25;3.6718395474934113;[3.6718395474934113]
None;ASLSBaseline;Gaussian;None;3.721013894706932;[3.721013894706932]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;3.8717272073711935;[3.8717272073711935]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;3.9125399797730824;[3.9125399797730824]
None;ASLSBaseline;Normalize;None;3.929047852894448;[3.929047852894448]
StandardScaler;None;None;PCA_features_0.25;3.9300558778318737;[3.9300558778318737]
None;ASLSBaseline;None;None;3.9337213944424483;[3.9337213944424483]
None;ASLSBaseline;Baseline;None;3.9338343678346614;[3.9338343678346614]
StandardScaler;None;Baseline;PCA_features_0.25;3.9378565066781572;[3.9378565066781572]
StandardScaler;ASLSBaseline;Baseline;None;3.9568876069066463;[3.9568876069066463]
StandardScaler;ASLSBaseline;Normalize;None;3.957395877588949;[3.957395877588949]
StandardScaler;ASLSBaseline;None;None;3.9585864069832724;[3.9585864069832724]
StandardScaler;None;Normalize;PCA_features_0.25;3.982387391035105;[3.982387391035105]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;4.056559988440863;[4.056559988440863]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;4.256667796956039;[4.256667796956039]
StandardScaler;None;StandardNormalVariate;None;4.684575503729925;[4.684575503729925]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;4.802144985947889;[4.802144985947889]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;5.258284254293429;[5.258284254293429]
None;None;Normalize;PCA_features_0.25;5.360149005128284;[5.360149005128284]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;5.407044809823518;[5.407044809823518]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;5.951666064974967;[5.951666064974967]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;6.112044665767577;[6.112044665767577]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;8.102347855497465;[8.102347855497465]
