scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;Normalize;PCA_features_0.25;0.11382120146908964;[0.11382120146908964]
None;None;StandardNormalVariate;PCA_features_0.25;0.1187333776310386;[0.1187333776310386]
None;None;SavitzkyGolay;PCA_features_0.25;0.12341928665055144;[0.12341928665055144]
None;None;Baseline;PCA_features_0.25;0.12378395522027724;[0.12378395522027724]
None;None;None;PCA_features_0.25;0.12424706001981028;[0.12424706001981028]
StandardScaler;None;None;PCA_features_0.25;0.12495219173087119;[0.12495219173087119]
StandardScaler;None;Baseline;PCA_features_0.25;0.125010689459947;[0.125010689459947]
StandardScaler;None;Normalize;PCA_features_0.25;0.1253858350060811;[0.1253858350060811]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.1314419339801055;[0.1314419339801055]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.13377799119334202;[0.13377799119334202]
None;ASLSBaseline;None;PCA_features_0.25;0.13432607024761953;[0.13432607024761953]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.13435550985880731;[0.13435550985880731]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.1374578152053504;[0.1374578152053504]
None;None;Normalize;PCA_features_0.25;0.13810907737309955;[0.13810907737309955]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.13826301836811725;[0.13826301836811725]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.13865776560291296;[0.13865776560291296]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.13879415136278195;[0.13879415136278195]
None;ASLSBaseline;Normalize;None;0.13899259915490866;[0.13899259915490866]
None;ASLSBaseline;None;None;0.1390274806821792;[0.1390274806821792]
None;ASLSBaseline;Baseline;None;0.1390526627442701;[0.1390526627442701]
None;ASLSBaseline;SavitzkyGolay;None;0.14461488890868637;[0.14461488890868637]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.14527632648020108;[0.14527632648020108]
None;ASLSBaseline;StandardNormalVariate;None;0.14776308580072472;[0.14776308580072472]
None;None;StandardNormalVariate;None;0.16694898807606098;[0.16694898807606098]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.17665164080228035;[0.17665164080228035]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.17912687164833396;[0.17912687164833396]
StandardScaler;None;SavitzkyGolay;None;0.18250242898248073;[0.18250242898248073]
None;None;SavitzkyGolay;None;0.1826400932511462;[0.1826400932511462]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.18372880621500975;[0.18372880621500975]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.18587105720068983;[0.18587105720068983]
None;None;Normalize;None;0.198930597184692;[0.198930597184692]
None;None;Baseline;None;0.198930597184692;[0.198930597184692]
StandardScaler;None;Normalize;None;0.198930597184692;[0.198930597184692]
None;None;None;None;0.198930597184692;[0.198930597184692]
StandardScaler;None;None;None;0.198930597184692;[0.198930597184692]
StandardScaler;None;Baseline;None;0.198930597184692;[0.198930597184692]
StandardScaler;ASLSBaseline;Baseline;None;0.20452946421279247;[0.20452946421279247]
StandardScaler;ASLSBaseline;Normalize;None;0.20452946421279247;[0.20452946421279247]
StandardScaler;ASLSBaseline;None;None;0.20452946421279247;[0.20452946421279247]
StandardScaler;None;Gaussian;None;0.21978473366987977;[0.21978473366987977]
StandardScaler;None;StandardNormalVariate;None;0.2230525185429173;[0.2230525185429173]
StandardScaler;ASLSBaseline;Gaussian;None;0.22800446107091976;[0.22800446107091976]
None;ASLSBaseline;Gaussian;None;0.2661018359137368;[0.2661018359137368]
None;None;Gaussian;None;0.2712143416516998;[0.2712143416516998]
StandardScaler;None;Gaussian;PCA_features_0.25;0.3703132338838495;[0.3703132338838495]
None;None;Gaussian;PCA_features_0.25;0.37359173239822363;[0.37359173239822363]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.382594616899056;[0.382594616899056]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.38347485731222625;[0.38347485731222625]
