scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;ASLSBaseline;Gaussian;None;0.34162007926126137;[0.34162007926126137]
StandardScaler;None;Gaussian;None;0.3462833321420667;[0.3462833321420667]
None;None;Normalize;None;0.3578801557085346;[0.3578801557085346]
None;ASLSBaseline;Gaussian;None;0.3589229759333886;[0.3589229759333886]
None;None;Gaussian;None;0.3620467028617179;[0.3620467028617179]
None;None;Baseline;None;0.36421531016852005;[0.36421531016852005]
StandardScaler;None;None;None;0.36421531016852005;[0.36421531016852005]
None;None;None;None;0.36421531016852005;[0.36421531016852005]
StandardScaler;None;Baseline;None;0.36421531016852005;[0.36421531016852005]
StandardScaler;None;Normalize;None;0.36421531016852005;[0.36421531016852005]
None;None;Gaussian;PCA_features_0.25;0.3822101745714736;[0.3822101745714736]
StandardScaler;None;SavitzkyGolay;None;0.3868209674695169;[0.3868209674695169]
None;None;SavitzkyGolay;None;0.38886448140994306;[0.38886448140994306]
None;None;StandardNormalVariate;None;0.39453259851827815;[0.39453259851827815]
StandardScaler;None;Gaussian;PCA_features_0.25;0.40167296819815856;[0.40167296819815856]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.40458183282088045;[0.40458183282088045]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.4064527701730999;[0.4064527701730999]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.4091168730016315;[0.4091168730016315]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.4095270164031556;[0.4095270164031556]
None;None;StandardNormalVariate;PCA_features_0.25;0.413059613510151;[0.413059613510151]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.41364039213434306;[0.41364039213434306]
None;ASLSBaseline;SavitzkyGolay;None;0.41570856225016206;[0.41570856225016206]
None;ASLSBaseline;None;None;0.41674842211656443;[0.41674842211656443]
None;ASLSBaseline;Baseline;None;0.41674842211656443;[0.41674842211656443]
None;ASLSBaseline;Normalize;None;0.4167841289344758;[0.4167841289344758]
StandardScaler;None;Baseline;PCA_features_0.25;0.4198187094953632;[0.4198187094953632]
StandardScaler;None;Normalize;PCA_features_0.25;0.42031365052886993;[0.42031365052886993]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.4240945530505823;[0.4240945530505823]
None;ASLSBaseline;StandardNormalVariate;None;0.4271828596596822;[0.4271828596596822]
None;None;SavitzkyGolay;PCA_features_0.25;0.4274381858097216;[0.4274381858097216]
StandardScaler;None;None;PCA_features_0.25;0.4281086782060259;[0.4281086782060259]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.43019042486827325;[0.43019042486827325]
None;None;Baseline;PCA_features_0.25;0.4319247972248953;[0.4319247972248953]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.4362082329586804;[0.4362082329586804]
None;None;None;PCA_features_0.25;0.4363891018002884;[0.4363891018002884]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.43935373603262384;[0.43935373603262384]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.43999212176115227;[0.43999212176115227]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.441467945835046;[0.441467945835046]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.4422537371839112;[0.4422537371839112]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.4483628914161391;[0.4483628914161391]
None;ASLSBaseline;None;PCA_features_0.25;0.45167323664927295;[0.45167323664927295]
None;None;Normalize;PCA_features_0.25;0.4549613735224478;[0.4549613735224478]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.4555690620744791;[0.4555690620744791]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.46303602706017444;[0.46303602706017444]
StandardScaler;ASLSBaseline;Baseline;None;0.46319150594523445;[0.46319150594523445]
StandardScaler;ASLSBaseline;None;None;0.46319150594523445;[0.46319150594523445]
StandardScaler;ASLSBaseline;Normalize;None;0.46319150594523445;[0.46319150594523445]
StandardScaler;None;StandardNormalVariate;None;0.509873788319584;[0.509873788319584]
