scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;None;None;PCA_features_0.25;0.014607502639479754;[0.014607502639479754]
None;None;StandardNormalVariate;PCA_features_0.25;0.014682465827980856;[0.014682465827980856]
StandardScaler;None;Baseline;PCA_features_0.25;0.014762057745831838;[0.014762057745831838]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.015013959504376877;[0.015013959504376877]
None;None;None;PCA_features_0.25;0.015053545258859023;[0.015053545258859023]
None;None;Baseline;PCA_features_0.25;0.015055405409436694;[0.015055405409436694]
None;None;StandardNormalVariate;None;0.015480182733662072;[0.015480182733662072]
None;None;SavitzkyGolay;PCA_features_0.25;0.015602639035727839;[0.015602639035727839]
None;ASLSBaseline;SavitzkyGolay;None;0.015677176386011453;[0.015677176386011453]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.015727964424820523;[0.015727964424820523]
StandardScaler;None;Normalize;PCA_features_0.25;0.015746934730732902;[0.015746934730732902]
None;None;Baseline;None;0.01578652133253244;[0.01578652133253244]
None;None;None;None;0.01578652133253244;[0.01578652133253244]
StandardScaler;None;Normalize;None;0.01578652133253244;[0.01578652133253244]
StandardScaler;None;Baseline;None;0.01578652133253244;[0.01578652133253244]
StandardScaler;None;None;None;0.01578652133253244;[0.01578652133253244]
None;None;Normalize;None;0.0157871030671612;[0.0157871030671612]
None;None;SavitzkyGolay;None;0.01591200170534105;[0.01591200170534105]
None;None;Normalize;PCA_features_0.25;0.015945379432877597;[0.015945379432877597]
StandardScaler;None;SavitzkyGolay;None;0.016091386122837226;[0.016091386122837226]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.01620663193442999;[0.01620663193442999]
None;ASLSBaseline;Normalize;None;0.01656751122088099;[0.01656751122088099]
None;ASLSBaseline;Baseline;None;0.016571254548452118;[0.016571254548452118]
None;ASLSBaseline;None;None;0.01657322584944303;[0.01657322584944303]
StandardScaler;ASLSBaseline;Normalize;None;0.016702269543564286;[0.016702269543564286]
StandardScaler;ASLSBaseline;None;None;0.016703750666115978;[0.016703750666115978]
StandardScaler;ASLSBaseline;Baseline;None;0.016703750666115978;[0.016703750666115978]
StandardScaler;ASLSBaseline;Gaussian;None;0.017024846242377517;[0.017024846242377517]
StandardScaler;None;Gaussian;None;0.017129640555946186;[0.017129640555946186]
None;None;Gaussian;None;0.017155734484704387;[0.017155734484704387]
None;ASLSBaseline;Gaussian;None;0.017234043821780905;[0.017234043821780905]
None;ASLSBaseline;StandardNormalVariate;None;0.017239066885471704;[0.017239066885471704]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.017242145540425233;[0.017242145540425233]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.017425730417435677;[0.017425730417435677]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.01750170254913269;[0.01750170254913269]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.017682821100735227;[0.017682821100735227]
None;ASLSBaseline;None;PCA_features_0.25;0.017995817262137;[0.017995817262137]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.01802354240680377;[0.01802354240680377]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.018071405307984352;[0.018071405307984352]
StandardScaler;None;StandardNormalVariate;None;0.0183054224760565;[0.0183054224760565]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.018837506815147946;[0.018837506815147946]
None;None;Gaussian;PCA_features_0.25;0.019350811429980873;[0.019350811429980873]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.019497370480254763;[0.019497370480254763]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.020801661563739283;[0.020801661563739283]
StandardScaler;None;Gaussian;PCA_features_0.25;0.02140539369752302;[0.02140539369752302]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.021733568642058686;[0.021733568642058686]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.024251936233778672;[0.024251936233778672]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.0269141831618036;[0.0269141831618036]
