scaler;baseline;simple;pca;mean_score;fold_scores
None;None;Baseline;PCA_features_0.25;0.23715482626744713;[0.23715482626744713]
None;None;None;PCA_features_0.25;0.23718170572205177;[0.23718170572205177]
None;None;SavitzkyGolay;PCA_features_0.25;0.24312511219350202;[0.24312511219350202]
None;ASLSBaseline;None;None;0.2472796302242292;[0.2472796302242292]
None;ASLSBaseline;Baseline;None;0.24728048796084875;[0.24728048796084875]
None;ASLSBaseline;Normalize;None;0.24728078272604742;[0.24728078272604742]
None;ASLSBaseline;SavitzkyGolay;None;0.24735249677337762;[0.24735249677337762]
StandardScaler;None;Normalize;PCA_features_0.25;0.24851167578707375;[0.24851167578707375]
StandardScaler;None;None;PCA_features_0.25;0.24868144696800296;[0.24868144696800296]
StandardScaler;None;Baseline;PCA_features_0.25;0.24871596888548528;[0.24871596888548528]
None;None;Gaussian;None;0.24909687889460097;[0.24909687889460097]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.2497525877583409;[0.2497525877583409]
StandardScaler;None;Gaussian;None;0.24996859820508346;[0.24996859820508346]
StandardScaler;ASLSBaseline;Baseline;None;0.2510350436463443;[0.2510350436463443]
StandardScaler;ASLSBaseline;None;None;0.2510600454159552;[0.2510600454159552]
StandardScaler;ASLSBaseline;Normalize;None;0.2510691925783369;[0.2510691925783369]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.2510906677072232;[0.2510906677072232]
None;None;Normalize;PCA_features_0.25;0.25121951895047173;[0.25121951895047173]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.2529345112588053;[0.2529345112588053]
None;None;StandardNormalVariate;PCA_features_0.25;0.25321910722711244;[0.25321910722711244]
StandardScaler;ASLSBaseline;Gaussian;None;0.25379095345119335;[0.25379095345119335]
None;ASLSBaseline;Gaussian;None;0.25479667313548393;[0.25479667313548393]
None;ASLSBaseline;StandardNormalVariate;None;0.255283572682297;[0.255283572682297]
None;None;SavitzkyGolay;None;0.25678882218651605;[0.25678882218651605]
None;None;Normalize;None;0.25680487409372926;[0.25680487409372926]
None;None;None;None;0.2568062725569852;[0.2568062725569852]
StandardScaler;None;Baseline;None;0.25681804502142336;[0.25681804502142336]
StandardScaler;None;None;None;0.25681804502142336;[0.25681804502142336]
StandardScaler;None;Normalize;None;0.2568211626547417;[0.2568211626547417]
None;None;Baseline;None;0.2568213131076165;[0.2568213131076165]
StandardScaler;None;SavitzkyGolay;None;0.25690566618343275;[0.25690566618343275]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.2595563382701649;[0.2595563382701649]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.2595601001564628;[0.2595601001564628]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.2612010553790056;[0.2612010553790056]
None;None;StandardNormalVariate;None;0.26364370692459493;[0.26364370692459493]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.26413330545767183;[0.26413330545767183]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.2654817328372283;[0.2654817328372283]
None;ASLSBaseline;None;PCA_features_0.25;0.26914614815553134;[0.26914614815553134]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.2692354025703861;[0.2692354025703861]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.2863724922102085;[0.2863724922102085]
None;None;Gaussian;PCA_features_0.25;0.29308379650475946;[0.29308379650475946]
StandardScaler;None;Gaussian;PCA_features_0.25;0.29692007529648823;[0.29692007529648823]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.3037150822440461;[0.3037150822440461]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.31869460489398593;[0.31869460489398593]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.33074461059828325;[0.33074461059828325]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.3308084370150349;[0.3308084370150349]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.33216529044299714;[0.33216529044299714]
StandardScaler;None;StandardNormalVariate;None;0.3353835742094015;[0.3353835742094015]
