scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;None;PCA_features_0.25;0.02447151719323511;[0.02447151719323511]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.025224200491167973;[0.025224200491167973]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.02526836211831874;[0.02526836211831874]
None;ASLSBaseline;Normalize;None;0.025979239389129768;[0.025979239389129768]
None;ASLSBaseline;None;None;0.026021473385946254;[0.026021473385946254]
None;ASLSBaseline;Baseline;None;0.02602171367433139;[0.02602171367433139]
None;ASLSBaseline;SavitzkyGolay;None;0.026521150577063387;[0.026521150577063387]
None;ASLSBaseline;StandardNormalVariate;None;0.02698896582956466;[0.02698896582956466]
None;None;Normalize;None;0.02757551731194841;[0.02757551731194841]
None;None;None;None;0.027576840935616957;[0.027576840935616957]
None;None;Baseline;None;0.027576840935616957;[0.027576840935616957]
StandardScaler;None;None;None;0.027576840935616957;[0.027576840935616957]
StandardScaler;None;Baseline;None;0.027576840935616957;[0.027576840935616957]
StandardScaler;None;Normalize;None;0.027576840935616957;[0.027576840935616957]
StandardScaler;None;SavitzkyGolay;None;0.02764890606005461;[0.02764890606005461]
None;None;SavitzkyGolay;None;0.02772754344230721;[0.02772754344230721]
None;None;Baseline;PCA_features_0.25;0.030348161821548317;[0.030348161821548317]
None;None;None;PCA_features_0.25;0.030619320145015762;[0.030619320145015762]
None;None;SavitzkyGolay;PCA_features_0.25;0.030804566053844237;[0.030804566053844237]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.03138514216250978;[0.03138514216250978]
StandardScaler;None;Baseline;PCA_features_0.25;0.03159002345874987;[0.03159002345874987]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.031782184797456085;[0.031782184797456085]
StandardScaler;None;Normalize;PCA_features_0.25;0.032222597445404406;[0.032222597445404406]
StandardScaler;ASLSBaseline;Baseline;None;0.03246999592548179;[0.03246999592548179]
StandardScaler;ASLSBaseline;None;None;0.03247866328959551;[0.03247866328959551]
StandardScaler;ASLSBaseline;Normalize;None;0.03247880622692094;[0.03247880622692094]
StandardScaler;ASLSBaseline;Gaussian;None;0.03323822615613563;[0.03323822615613563]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.033573967844210004;[0.033573967844210004]
None;None;StandardNormalVariate;None;0.03376384806374139;[0.03376384806374139]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.03427827292674579;[0.03427827292674579]
None;None;StandardNormalVariate;PCA_features_0.25;0.03583747144987515;[0.03583747144987515]
StandardScaler;None;None;PCA_features_0.25;0.03594650013940905;[0.03594650013940905]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.03629218212452806;[0.03629218212452806]
None;None;Normalize;PCA_features_0.25;0.03657205871659877;[0.03657205871659877]
None;ASLSBaseline;Gaussian;None;0.03709609336392064;[0.03709609336392064]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.03737979792912699;[0.03737979792912699]
None;None;Gaussian;None;0.038530674328830616;[0.038530674328830616]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.03987529975260774;[0.03987529975260774]
StandardScaler;None;Gaussian;None;0.041159007852520677;[0.041159007852520677]
StandardScaler;None;StandardNormalVariate;None;0.04666196038878447;[0.04666196038878447]
None;None;Gaussian;PCA_features_0.25;0.050494721180809464;[0.050494721180809464]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.05072537333686441;[0.05072537333686441]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.05228216319317651;[0.05228216319317651]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.0539629735515957;[0.0539629735515957]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.0583182828405828;[0.0583182828405828]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.0767570566098792;[0.0767570566098792]
StandardScaler;None;Gaussian;PCA_features_0.25;0.07693381677838095;[0.07693381677838095]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.10097026346357896;[0.10097026346357896]
