scaler;baseline;simple;pca;mean_score;fold_scores
None;None;None;None;8.73257645864156;[8.73257645864156]
StandardScaler;None;Baseline;None;8.732897618489897;[8.732897618489897]
StandardScaler;None;None;None;8.732897618489897;[8.732897618489897]
None;None;Baseline;None;8.732902168598265;[8.732902168598265]
StandardScaler;None;Normalize;None;8.733001534316863;[8.733001534316863]
None;None;Normalize;None;8.733495600870338;[8.733495600870338]
None;None;SavitzkyGolay;None;8.737549732815173;[8.737549732815173]
StandardScaler;None;SavitzkyGolay;None;8.7398825099904;[8.7398825099904]
None;None;StandardNormalVariate;None;8.78387941236073;[8.78387941236073]
None;None;Gaussian;None;8.855849682014748;[8.855849682014748]
StandardScaler;None;Gaussian;None;8.990091089106256;[8.990091089106256]
None;ASLSBaseline;Gaussian;None;9.531930779211143;[9.531930779211143]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;9.5749552805265;[9.5749552805265]
StandardScaler;ASLSBaseline;Baseline;None;9.576490577227185;[9.576490577227185]
StandardScaler;ASLSBaseline;None;None;9.576555789271708;[9.576555789271708]
StandardScaler;ASLSBaseline;Normalize;None;9.576868064335432;[9.576868064335432]
StandardScaler;ASLSBaseline;Gaussian;None;9.834544709389885;[9.834544709389885]
None;ASLSBaseline;Normalize;None;10.067250514176651;[10.067250514176651]
None;ASLSBaseline;None;None;10.067404562095655;[10.067404562095655]
None;ASLSBaseline;Baseline;None;10.067484607075126;[10.067484607075126]
None;ASLSBaseline;SavitzkyGolay;None;10.075651809985807;[10.075651809985807]
StandardScaler;None;StandardNormalVariate;None;10.20811833610083;[10.20811833610083]
None;ASLSBaseline;StandardNormalVariate;None;10.570533231472387;[10.570533231472387]
None;None;Normalize;PCA_features_0.25;10.765060153598569;[10.765060153598569]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;10.792087673357452;[10.792087673357452]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;11.01982344440484;[11.01982344440484]
StandardScaler;None;Baseline;PCA_features_0.25;11.213230078177473;[11.213230078177473]
StandardScaler;None;None;PCA_features_0.25;11.214761617808279;[11.214761617808279]
StandardScaler;None;Normalize;PCA_features_0.25;11.215144856000462;[11.215144856000462]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;11.311191663213426;[11.311191663213426]
None;ASLSBaseline;Baseline;PCA_features_0.25;11.51153757559058;[11.51153757559058]
None;ASLSBaseline;None;PCA_features_0.25;11.511800975165682;[11.511800975165682]
None;None;SavitzkyGolay;PCA_features_0.25;12.16414321427552;[12.16414321427552]
None;None;Baseline;PCA_features_0.25;12.220490015561953;[12.220490015561953]
None;None;None;PCA_features_0.25;12.223926525215413;[12.223926525215413]
None;ASLSBaseline;Gaussian;PCA_features_0.25;12.421549166414781;[12.421549166414781]
None;None;StandardNormalVariate;PCA_features_0.25;12.807308133795106;[12.807308133795106]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;13.049478532159194;[13.049478532159194]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;13.372388299982104;[13.372388299982104]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;13.375787416363181;[13.375787416363181]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;13.729815140748356;[13.729815140748356]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;14.098270711181094;[14.098270711181094]
StandardScaler;None;Gaussian;PCA_features_0.25;14.117297202838895;[14.117297202838895]
None;ASLSBaseline;Normalize;PCA_features_0.25;14.560150644090657;[14.560150644090657]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;16.43335677303832;[16.43335677303832]
None;None;Gaussian;PCA_features_0.25;17.634079904204842;[17.634079904204842]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;20.30502820286689;[20.30502820286689]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;20.522301835035858;[20.522301835035858]
