scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;StandardNormalVariate;None;0.2240718971048366;[0.2240718971048366]
None;ASLSBaseline;SavitzkyGolay;None;0.2381481313894164;[0.2381481313894164]
None;ASLSBaseline;Normalize;None;0.23884982743130226;[0.23884982743130226]
None;ASLSBaseline;Baseline;None;0.23886951113367408;[0.23886951113367408]
None;ASLSBaseline;None;None;0.23887677799869547;[0.23887677799869547]
StandardScaler;None;Gaussian;None;0.24902513795247722;[0.24902513795247722]
StandardScaler;ASLSBaseline;Gaussian;None;0.25015234689685734;[0.25015234689685734]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.25059528721496954;[0.25059528721496954]
StandardScaler;ASLSBaseline;Normalize;None;0.25071772501747597;[0.25071772501747597]
StandardScaler;ASLSBaseline;None;None;0.2507336509346428;[0.2507336509346428]
StandardScaler;ASLSBaseline;Baseline;None;0.2507413001682235;[0.2507413001682235]
None;ASLSBaseline;Gaussian;None;0.25270260127870686;[0.25270260127870686]
None;None;Gaussian;None;0.25371422995492326;[0.25371422995492326]
None;None;StandardNormalVariate;None;0.29010297437832555;[0.29010297437832555]
None;None;Normalize;PCA_features_0.25;0.29399639570684777;[0.29399639570684777]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.29873150321702;[0.29873150321702]
None;None;StandardNormalVariate;PCA_features_0.25;0.34703129421748863;[0.34703129421748863]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.35046942891990407;[0.35046942891990407]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.35047483777009847;[0.35047483777009847]
None;None;SavitzkyGolay;None;0.35294946005957456;[0.35294946005957456]
None;None;None;None;0.3538009383880229;[0.3538009383880229]
None;None;Normalize;None;0.3538594176656389;[0.3538594176656389]
StandardScaler;None;Baseline;None;0.3538637326864733;[0.3538637326864733]
StandardScaler;None;None;None;0.3538637326864733;[0.3538637326864733]
StandardScaler;None;Normalize;None;0.3538644417898957;[0.3538644417898957]
None;None;Baseline;None;0.35387075665255485;[0.35387075665255485]
StandardScaler;None;SavitzkyGolay;None;0.3550237884092307;[0.3550237884092307]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.35994905763566265;[0.35994905763566265]
StandardScaler;None;StandardNormalVariate;None;0.3615188626786403;[0.3615188626786403]
None;ASLSBaseline;None;PCA_features_0.25;0.368032496057622;[0.368032496057622]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.36810888866058633;[0.36810888866058633]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.37035639656816777;[0.37035639656816777]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.3722490861315472;[0.3722490861315472]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.3820868144953696;[0.3820868144953696]
StandardScaler;None;Baseline;PCA_features_0.25;0.383535238040139;[0.383535238040139]
StandardScaler;None;Normalize;PCA_features_0.25;0.38371549822869216;[0.38371549822869216]
StandardScaler;None;None;PCA_features_0.25;0.38386877939664726;[0.38386877939664726]
None;None;SavitzkyGolay;PCA_features_0.25;0.3905514017117175;[0.3905514017117175]
None;None;None;PCA_features_0.25;0.39492405920122126;[0.39492405920122126]
None;None;Baseline;PCA_features_0.25;0.3949989081763723;[0.3949989081763723]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.42086514131671804;[0.42086514131671804]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.43329627794161657;[0.43329627794161657]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.4339874250874307;[0.4339874250874307]
None;None;Gaussian;PCA_features_0.25;0.4425346708841377;[0.4425346708841377]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.44877021851608134;[0.44877021851608134]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.45229908634297156;[0.45229908634297156]
StandardScaler;None;Gaussian;PCA_features_0.25;0.45392880673858527;[0.45392880673858527]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.5165129970872496;[0.5165129970872496]
