scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;None;Gaussian;None;2350.8810987072743;[2350.8810987072743]
None;ASLSBaseline;None;None;2598.4015760610955;[2598.4015760610955]
None;ASLSBaseline;Normalize;None;2598.4015760610955;[2598.4015760610955]
None;ASLSBaseline;Baseline;None;2598.4015760610955;[2598.4015760610955]
None;None;Gaussian;None;2602.0922082739216;[2602.0922082739216]
None;ASLSBaseline;Gaussian;None;2678.5397700338112;[2678.5397700338112]
StandardScaler;ASLSBaseline;Gaussian;None;2723.8890390319975;[2723.8890390319975]
None;ASLSBaseline;StandardNormalVariate;None;2866.0154388367428;[2866.0154388367428]
None;ASLSBaseline;SavitzkyGolay;None;3074.9740596636693;[3074.9740596636693]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;4127.595507670548;[4127.595507670548]
StandardScaler;None;Baseline;PCA_features_0.25;4444.338238373267;[4444.338238373267]
StandardScaler;None;Normalize;PCA_features_0.25;4466.388323970943;[4466.388323970943]
StandardScaler;ASLSBaseline;Normalize;None;4528.228582425493;[4528.228582425493]
StandardScaler;ASLSBaseline;Baseline;None;4528.228582425493;[4528.228582425493]
StandardScaler;ASLSBaseline;None;None;4528.228582425493;[4528.228582425493]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;4589.002112271798;[4589.002112271798]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;4742.161241153522;[4742.161241153522]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;4844.908228900917;[4844.908228900917]
None;None;Normalize;PCA_features_0.25;4863.986376158263;[4863.986376158263]
StandardScaler;None;None;PCA_features_0.25;4887.996252835653;[4887.996252835653]
None;ASLSBaseline;Normalize;PCA_features_0.25;5200.4310476583105;[5200.4310476583105]
StandardScaler;None;Gaussian;PCA_features_0.25;5315.820746987541;[5315.820746987541]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;5527.588574212973;[5527.588574212973]
None;None;StandardNormalVariate;None;5666.5399420748445;[5666.5399420748445]
None;ASLSBaseline;None;PCA_features_0.25;5721.515471257452;[5721.515471257452]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;5729.247973526852;[5729.247973526852]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;5765.851966847797;[5765.851966847797]
None;None;None;PCA_features_0.25;5839.684784738028;[5839.684784738028]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;5866.813970778341;[5866.813970778341]
None;None;SavitzkyGolay;PCA_features_0.25;6130.497052472934;[6130.497052472934]
None;None;StandardNormalVariate;PCA_features_0.25;6149.446104710276;[6149.446104710276]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;6153.014554240608;[6153.014554240608]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;6327.865112815512;[6327.865112815512]
None;None;SavitzkyGolay;None;6456.072789129745;[6456.072789129745]
StandardScaler;None;StandardNormalVariate;None;6569.514259033479;[6569.514259033479]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;6710.50774409316;[6710.50774409316]
StandardScaler;None;Baseline;None;6841.70722736969;[6841.70722736969]
StandardScaler;None;Normalize;None;6841.70722736969;[6841.70722736969]
None;None;Normalize;None;6841.70722736969;[6841.70722736969]
None;None;Baseline;None;6841.880147084737;[6841.880147084737]
StandardScaler;None;None;None;6841.880147084737;[6841.880147084737]
None;None;None;None;6841.880147084737;[6841.880147084737]
StandardScaler;None;SavitzkyGolay;None;6886.588052462325;[6886.588052462325]
None;ASLSBaseline;Baseline;PCA_features_0.25;6956.729716652494;[6956.729716652494]
None;ASLSBaseline;Gaussian;PCA_features_0.25;7059.675621150988;[7059.675621150988]
None;None;Baseline;PCA_features_0.25;7079.925547407135;[7079.925547407135]
None;None;Gaussian;PCA_features_0.25;7127.990879021041;[7127.990879021041]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;9002.469243547543;[9002.469243547543]
