scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.06295231896928506;[0.06295231896928506]
None;None;SavitzkyGolay;PCA_features_0.25;0.06502855562799605;[0.06502855562799605]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.06558139338806376;[0.06558139338806376]
None;ASLSBaseline;None;PCA_features_0.25;0.06565757136558567;[0.06565757136558567]
None;None;StandardNormalVariate;PCA_features_0.25;0.06662412882975098;[0.06662412882975098]
None;None;None;PCA_features_0.25;0.06741574522377496;[0.06741574522377496]
None;None;Baseline;PCA_features_0.25;0.06746381963229912;[0.06746381963229912]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.0720593493130921;[0.0720593493130921]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.07233808483375642;[0.07233808483375642]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.07266111201397356;[0.07266111201397356]
None;None;Gaussian;PCA_features_0.25;0.07371629651324271;[0.07371629651324271]
None;None;Gaussian;None;0.07621293978624157;[0.07621293978624157]
None;ASLSBaseline;Gaussian;None;0.07661522559185602;[0.07661522559185602]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.09620631967081907;[0.09620631967081907]
None;ASLSBaseline;StandardNormalVariate;None;0.10005075483984742;[0.10005075483984742]
None;ASLSBaseline;None;None;0.11162319807960157;[0.11162319807960157]
None;ASLSBaseline;Baseline;None;0.11162319807960157;[0.11162319807960157]
None;ASLSBaseline;Normalize;None;0.11166108844449131;[0.11166108844449131]
None;None;StandardNormalVariate;None;0.1126523626956056;[0.1126523626956056]
None;ASLSBaseline;SavitzkyGolay;None;0.1133064391326471;[0.1133064391326471]
StandardScaler;None;Normalize;PCA_features_0.25;0.11999970496888822;[0.11999970496888822]
StandardScaler;None;Baseline;PCA_features_0.25;0.12125634385100906;[0.12125634385100906]
StandardScaler;None;None;PCA_features_0.25;0.12157295221789041;[0.12157295221789041]
None;None;SavitzkyGolay;None;0.12209526816963105;[0.12209526816963105]
StandardScaler;None;SavitzkyGolay;None;0.12271389254199934;[0.12271389254199934]
StandardScaler;None;None;None;0.12410552876340736;[0.12410552876340736]
None;None;Baseline;None;0.12410552876340736;[0.12410552876340736]
StandardScaler;None;Baseline;None;0.12410552876340736;[0.12410552876340736]
StandardScaler;None;Normalize;None;0.12410552876340736;[0.12410552876340736]
None;None;Normalize;None;0.12410552876340736;[0.12410552876340736]
None;None;None;None;0.12412994928176577;[0.12412994928176577]
None;None;Normalize;PCA_features_0.25;0.1339930526616541;[0.1339930526616541]
StandardScaler;None;Gaussian;None;0.15729768007684086;[0.15729768007684086]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.17415924936423827;[0.17415924936423827]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.18071153949169033;[0.18071153949169033]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.18423925278367353;[0.18423925278367353]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.23926988798644036;[0.23926988798644036]
StandardScaler;ASLSBaseline;Gaussian;None;0.24208470758804737;[0.24208470758804737]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.2577002715105766;[0.2577002715105766]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.26152610680249744;[0.26152610680249744]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.28214500671945625;[0.28214500671945625]
StandardScaler;None;StandardNormalVariate;None;0.2977332615650952;[0.2977332615650952]
StandardScaler;ASLSBaseline;Baseline;None;0.2984037741789918;[0.2984037741789918]
StandardScaler;ASLSBaseline;None;None;0.2984037741789918;[0.2984037741789918]
StandardScaler;ASLSBaseline;Normalize;None;0.2984037741789918;[0.2984037741789918]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.31053449079797163;[0.31053449079797163]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.4964950817667142;[0.4964950817667142]
StandardScaler;None;Gaussian;PCA_features_0.25;0.4968720965289619;[0.4968720965289619]
