scaler;baseline;simple;pca;mean_score;fold_scores
None;None;SavitzkyGolay;PCA_features_0.25;0.04609443406436926;[0.04609443406436926]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.04616846701478817;[0.04616846701478817]
None;None;Baseline;PCA_features_0.25;0.04814546813340886;[0.04814546813340886]
None;None;None;PCA_features_0.25;0.048253255316586224;[0.048253255316586224]
None;ASLSBaseline;None;PCA_features_0.25;0.04917579832526534;[0.04917579832526534]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.04921824278488663;[0.04921824278488663]
None;None;StandardNormalVariate;PCA_features_0.25;0.049895868469678396;[0.049895868469678396]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.05189582909391596;[0.05189582909391596]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.0593437830407624;[0.0593437830407624]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.06279317591239152;[0.06279317591239152]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.07052171361141775;[0.07052171361141775]
None;None;Normalize;PCA_features_0.25;0.07966836906310104;[0.07966836906310104]
StandardScaler;None;Baseline;PCA_features_0.25;0.08005920193659787;[0.08005920193659787]
StandardScaler;None;Normalize;PCA_features_0.25;0.08021842228156519;[0.08021842228156519]
StandardScaler;None;None;PCA_features_0.25;0.08022905709734886;[0.08022905709734886]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.08179705569350018;[0.08179705569350018]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.08554708233902444;[0.08554708233902444]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.08641199072220673;[0.08641199072220673]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.08642117491700398;[0.08642117491700398]
StandardScaler;None;Gaussian;None;0.08708256794162672;[0.08708256794162672]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.08741852397658256;[0.08741852397658256]
None;ASLSBaseline;StandardNormalVariate;None;0.08822541272666139;[0.08822541272666139]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.09104753500201923;[0.09104753500201923]
None;ASLSBaseline;Normalize;None;0.09138260528504884;[0.09138260528504884]
None;ASLSBaseline;None;None;0.0914415060491872;[0.0914415060491872]
None;ASLSBaseline;Baseline;None;0.0914474332919981;[0.0914474332919981]
StandardScaler;ASLSBaseline;Gaussian;None;0.0916275916853621;[0.0916275916853621]
None;None;Gaussian;None;0.09180939227422613;[0.09180939227422613]
None;ASLSBaseline;SavitzkyGolay;None;0.09296041168345852;[0.09296041168345852]
StandardScaler;None;StandardNormalVariate;None;0.09343709568306452;[0.09343709568306452]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.09468683853501503;[0.09468683853501503]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.0947965295365698;[0.0947965295365698]
StandardScaler;ASLSBaseline;Baseline;None;0.09568029452347936;[0.09568029452347936]
StandardScaler;ASLSBaseline;None;None;0.09568029452347936;[0.09568029452347936]
StandardScaler;ASLSBaseline;Normalize;None;0.09568029452347936;[0.09568029452347936]
None;ASLSBaseline;Gaussian;None;0.09740121799331165;[0.09740121799331165]
None;None;StandardNormalVariate;None;0.09853154095785764;[0.09853154095785764]
None;None;Gaussian;PCA_features_0.25;0.09924514835405036;[0.09924514835405036]
StandardScaler;None;SavitzkyGolay;None;0.10397903734638285;[0.10397903734638285]
None;None;SavitzkyGolay;None;0.10471350113080453;[0.10471350113080453]
None;None;Normalize;None;0.10545931271614531;[0.10545931271614531]
StandardScaler;None;None;None;0.10547846970290879;[0.10547846970290879]
None;None;None;None;0.10547846970290879;[0.10547846970290879]
None;None;Baseline;None;0.10547846970290879;[0.10547846970290879]
StandardScaler;None;Normalize;None;0.10547846970290879;[0.10547846970290879]
StandardScaler;None;Baseline;None;0.10547846970290879;[0.10547846970290879]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.11203584701745765;[0.11203584701745765]
StandardScaler;None;Gaussian;PCA_features_0.25;0.11259737225232262;[0.11259737225232262]
