scaler;baseline;simple;pca;mean_score;fold_scores
None;None;StandardNormalVariate;PCA_features_0.25;3.601358205168716;[3.601358205168716]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.625952496848161;[3.625952496848161]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.6371247979632857;[3.6371247979632857]
None;ASLSBaseline;Normalize;PCA_features_0.25;3.6436787514893756;[3.6436787514893756]
None;None;Normalize;PCA_features_0.25;3.7015638964140334;[3.7015638964140334]
StandardScaler;None;Baseline;PCA_features_0.25;3.70521132531884;[3.70521132531884]
StandardScaler;None;None;PCA_features_0.25;3.705386344545101;[3.705386344545101]
StandardScaler;None;Normalize;PCA_features_0.25;3.706727155104969;[3.706727155104969]
None;None;SavitzkyGolay;PCA_features_0.25;3.7211470371670075;[3.7211470371670075]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;3.7287002925392154;[3.7287002925392154]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;3.739541537902245;[3.739541537902245]
None;ASLSBaseline;Baseline;PCA_features_0.25;3.7564124911638728;[3.7564124911638728]
None;ASLSBaseline;None;PCA_features_0.25;3.766338233357344;[3.766338233357344]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;3.8018285517917874;[3.8018285517917874]
None;None;SavitzkyGolay;None;3.8039642837243606;[3.8039642837243606]
None;None;StandardNormalVariate;None;3.8450013891646675;[3.8450013891646675]
None;None;Baseline;PCA_features_0.25;3.85980172829044;[3.85980172829044]
None;ASLSBaseline;StandardNormalVariate;None;3.863045001544761;[3.863045001544761]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.8665978184413228;[3.8665978184413228]
StandardScaler;None;SavitzkyGolay;None;3.873672257880706;[3.873672257880706]
None;None;None;PCA_features_0.25;3.876209439456319;[3.876209439456319]
None;ASLSBaseline;Baseline;None;3.8875995193941155;[3.8875995193941155]
None;ASLSBaseline;None;None;3.8875995193941155;[3.8875995193941155]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;3.888556608506374;[3.888556608506374]
None;None;Gaussian;PCA_features_0.25;3.888623806835007;[3.888623806835007]
None;ASLSBaseline;Normalize;None;3.888764576211733;[3.888764576211733]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;3.8891207686427505;[3.8891207686427505]
StandardScaler;None;StandardNormalVariate;None;3.892260839505624;[3.892260839505624]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;3.9089490187300058;[3.9089490187300058]
None;ASLSBaseline;SavitzkyGolay;None;3.9112283949774937;[3.9112283949774937]
None;ASLSBaseline;Gaussian;PCA_features_0.25;3.923373357870625;[3.923373357870625]
None;ASLSBaseline;Gaussian;None;3.9497974247232093;[3.9497974247232093]
StandardScaler;None;Gaussian;None;3.951631286432677;[3.951631286432677]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;3.9686482333855193;[3.9686482333855193]
None;None;Gaussian;None;3.9730981751647003;[3.9730981751647003]
StandardScaler;ASLSBaseline;None;None;3.985088449068529;[3.985088449068529]
StandardScaler;ASLSBaseline;Normalize;None;3.985088449068529;[3.985088449068529]
StandardScaler;ASLSBaseline;Baseline;None;3.985186924205917;[3.985186924205917]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;4.021112989013136;[4.021112989013136]
None;None;Normalize;None;4.05890578684988;[4.05890578684988]
StandardScaler;None;None;None;4.059362990293291;[4.059362990293291]
StandardScaler;None;Normalize;None;4.059362990293291;[4.059362990293291]
None;None;Baseline;None;4.059362990293291;[4.059362990293291]
StandardScaler;None;Baseline;None;4.059362990293291;[4.059362990293291]
None;None;None;None;4.059839404458042;[4.059839404458042]
StandardScaler;ASLSBaseline;Gaussian;None;4.078807320643566;[4.078807320643566]
StandardScaler;None;Gaussian;PCA_features_0.25;4.162957536908293;[4.162957536908293]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;4.1699644135710825;[4.1699644135710825]
