scaler;baseline;simple;pca;mean_score;fold_scores
None;None;SavitzkyGolay;PCA_features_0.25;0.019121813053496847;[0.019121813053496847]
None;ASLSBaseline;Baseline;None;0.019129132467943327;[0.019129132467943327]
None;ASLSBaseline;None;None;0.01912995194531246;[0.01912995194531246]
None;ASLSBaseline;Normalize;None;0.01912995194531246;[0.01912995194531246]
None;ASLSBaseline;None;PCA_features_0.25;0.019180981592537515;[0.019180981592537515]
None;ASLSBaseline;SavitzkyGolay;None;0.019217777871730436;[0.019217777871730436]
None;None;None;None;0.020158625388374367;[0.020158625388374367]
None;None;Baseline;None;0.020158625388374367;[0.020158625388374367]
None;None;Normalize;None;0.020158625388374367;[0.020158625388374367]
StandardScaler;None;Normalize;None;0.020158625388374367;[0.020158625388374367]
StandardScaler;None;Baseline;None;0.020158625388374367;[0.020158625388374367]
StandardScaler;None;None;None;0.020158625388374367;[0.020158625388374367]
None;None;SavitzkyGolay;None;0.020206004911415484;[0.020206004911415484]
StandardScaler;None;SavitzkyGolay;None;0.02021702580206079;[0.02021702580206079]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.020224036839657924;[0.020224036839657924]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.02035301195818742;[0.02035301195818742]
StandardScaler;None;StandardNormalVariate;None;0.02060920967927949;[0.02060920967927949]
None;None;None;PCA_features_0.25;0.020836938081597128;[0.020836938081597128]
StandardScaler;ASLSBaseline;Normalize;None;0.020908522032351613;[0.020908522032351613]
StandardScaler;ASLSBaseline;None;None;0.020908522032351613;[0.020908522032351613]
StandardScaler;ASLSBaseline;Baseline;None;0.020918264540700254;[0.020918264540700254]
None;ASLSBaseline;Gaussian;None;0.02098817551968372;[0.02098817551968372]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.021002385949459825;[0.021002385949459825]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.021295387026028095;[0.021295387026028095]
StandardScaler;None;Normalize;PCA_features_0.25;0.021338824170554323;[0.021338824170554323]
None;None;Baseline;PCA_features_0.25;0.02144006459829589;[0.02144006459829589]
StandardScaler;None;Baseline;PCA_features_0.25;0.021467376523249152;[0.021467376523249152]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.02320370593709102;[0.02320370593709102]
None;None;StandardNormalVariate;None;0.023886470556117163;[0.023886470556117163]
None;None;Gaussian;None;0.024144152738214988;[0.024144152738214988]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.024777847134693783;[0.024777847134693783]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.024934493015115113;[0.024934493015115113]
None;None;Normalize;PCA_features_0.25;0.025163415658197165;[0.025163415658197165]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.025181941919238122;[0.025181941919238122]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.025260374719264685;[0.025260374719264685]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.026230985154761962;[0.026230985154761962]
StandardScaler;None;Gaussian;None;0.027206228188669048;[0.027206228188669048]
StandardScaler;ASLSBaseline;Gaussian;None;0.027426983408924667;[0.027426983408924667]
None;None;Gaussian;PCA_features_0.25;0.027722875732980726;[0.027722875732980726]
None;ASLSBaseline;StandardNormalVariate;None;0.027950886005103176;[0.027950886005103176]
None;None;StandardNormalVariate;PCA_features_0.25;0.028357067032963652;[0.028357067032963652]
StandardScaler;None;None;PCA_features_0.25;0.030052014938362945;[0.030052014938362945]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.030985469212845427;[0.030985469212845427]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.03336268101066556;[0.03336268101066556]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.03582570673186739;[0.03582570673186739]
StandardScaler;None;Gaussian;PCA_features_0.25;0.04101801086559633;[0.04101801086559633]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.04423955928876772;[0.04423955928876772]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.0629324250176253;[0.0629324250176253]
