scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.10585284820303645;[0.10585284820303645]
StandardScaler;None;Baseline;PCA_features_0.25;0.10621301070456125;[0.10621301070456125]
StandardScaler;None;None;PCA_features_0.25;0.10628595652819292;[0.10628595652819292]
StandardScaler;None;Normalize;PCA_features_0.25;0.10634474178908228;[0.10634474178908228]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.1111498871441443;[0.1111498871441443]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.1122892290478931;[0.1122892290478931]
None;ASLSBaseline;None;PCA_features_0.25;0.11362987019984336;[0.11362987019984336]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.11367953313058356;[0.11367953313058356]
None;ASLSBaseline;StandardNormalVariate;None;0.11528151774916072;[0.11528151774916072]
None;None;Normalize;PCA_features_0.25;0.11541981774705741;[0.11541981774705741]
None;None;StandardNormalVariate;PCA_features_0.25;0.11657984423694982;[0.11657984423694982]
None;None;SavitzkyGolay;PCA_features_0.25;0.11740080815358635;[0.11740080815358635]
None;ASLSBaseline;SavitzkyGolay;None;0.12194951145289154;[0.12194951145289154]
None;ASLSBaseline;Normalize;None;0.1231465880765945;[0.1231465880765945]
None;ASLSBaseline;None;None;0.12314685379760044;[0.12314685379760044]
None;ASLSBaseline;Baseline;None;0.1231476084078372;[0.1231476084078372]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.12799831648997104;[0.12799831648997104]
StandardScaler;ASLSBaseline;Normalize;None;0.12876819280784044;[0.12876819280784044]
StandardScaler;ASLSBaseline;Baseline;None;0.12877302297543983;[0.12877302297543983]
StandardScaler;ASLSBaseline;None;None;0.12877332882760145;[0.12877332882760145]
None;None;None;PCA_features_0.25;0.12927807433735602;[0.12927807433735602]
None;None;Baseline;PCA_features_0.25;0.12936188605726825;[0.12936188605726825]
None;None;SavitzkyGolay;None;0.1299741936150858;[0.1299741936150858]
StandardScaler;None;SavitzkyGolay;None;0.13004866569567494;[0.13004866569567494]
None;None;Baseline;None;0.13023708969348274;[0.13023708969348274]
StandardScaler;None;Normalize;None;0.1302381533553865;[0.1302381533553865]
None;None;Normalize;None;0.13024221217035672;[0.13024221217035672]
StandardScaler;None;None;None;0.13024376758498327;[0.13024376758498327]
StandardScaler;None;Baseline;None;0.13024376758498327;[0.13024376758498327]
None;None;None;None;0.13027830106540425;[0.13027830106540425]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.13427996403040549;[0.13427996403040549]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.13442422947358995;[0.13442422947358995]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.13539513973030812;[0.13539513973030812]
None;None;StandardNormalVariate;None;0.13774869232748674;[0.13774869232748674]
StandardScaler;ASLSBaseline;Gaussian;None;0.139724512428617;[0.139724512428617]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.14028297491837144;[0.14028297491837144]
None;ASLSBaseline;Gaussian;None;0.14274475232117742;[0.14274475232117742]
None;None;Gaussian;None;0.14551807390215246;[0.14551807390215246]
StandardScaler;None;Gaussian;None;0.14569231443553107;[0.14569231443553107]
StandardScaler;None;StandardNormalVariate;None;0.14977497907057702;[0.14977497907057702]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.15034537762708736;[0.15034537762708736]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.15036625605962262;[0.15036625605962262]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.16268669144516565;[0.16268669144516565]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.1955559235428691;[0.1955559235428691]
None;None;Gaussian;PCA_features_0.25;0.21456385553761864;[0.21456385553761864]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.2206079278179574;[0.2206079278179574]
StandardScaler;None;Gaussian;PCA_features_0.25;0.2322625826368268;[0.2322625826368268]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.2359603466305289;[0.2359603466305289]
