scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;StandardNormalVariate;None;0.01532701203056576;[0.01532701203056576]
None;ASLSBaseline;SavitzkyGolay;None;0.016677117667586693;[0.016677117667586693]
None;ASLSBaseline;None;None;0.01671997387524241;[0.01671997387524241]
None;ASLSBaseline;Baseline;None;0.016720079500792066;[0.016720079500792066]
None;ASLSBaseline;Normalize;None;0.016720079500792066;[0.016720079500792066]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.017786824061910643;[0.017786824061910643]
StandardScaler;None;StandardNormalVariate;None;0.017827548290201382;[0.017827548290201382]
None;None;SavitzkyGolay;PCA_features_0.25;0.01828537945492318;[0.01828537945492318]
None;None;None;PCA_features_0.25;0.01842480595290143;[0.01842480595290143]
None;None;Baseline;PCA_features_0.25;0.019659334726527318;[0.019659334726527318]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.01970923270891627;[0.01970923270891627]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.020224236404927494;[0.020224236404927494]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.020496513807300283;[0.020496513807300283]
None;None;StandardNormalVariate;None;0.02057306470437756;[0.02057306470437756]
StandardScaler;ASLSBaseline;Baseline;None;0.02078322228683926;[0.02078322228683926]
StandardScaler;ASLSBaseline;Normalize;None;0.02078578193748356;[0.02078578193748356]
StandardScaler;ASLSBaseline;None;None;0.02078578193748356;[0.02078578193748356]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.02099381306425965;[0.02099381306425965]
None;None;Normalize;None;0.021087642763049707;[0.021087642763049707]
StandardScaler;None;Baseline;None;0.021088632180949234;[0.021088632180949234]
StandardScaler;None;None;None;0.021088632180949234;[0.021088632180949234]
None;None;None;None;0.021088632180949234;[0.021088632180949234]
None;None;Baseline;None;0.021088632180949234;[0.021088632180949234]
StandardScaler;None;Normalize;None;0.021088632180949234;[0.021088632180949234]
StandardScaler;None;SavitzkyGolay;None;0.021117733639308398;[0.021117733639308398]
None;None;SavitzkyGolay;None;0.021315815985608673;[0.021315815985608673]
None;ASLSBaseline;None;PCA_features_0.25;0.021361180140604927;[0.021361180140604927]
None;None;Gaussian;None;0.02195004726231468;[0.02195004726231468]
None;ASLSBaseline;Gaussian;None;0.021999947255030735;[0.021999947255030735]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.022131973076561597;[0.022131973076561597]
None;None;Normalize;PCA_features_0.25;0.022195292563111677;[0.022195292563111677]
StandardScaler;ASLSBaseline;Gaussian;None;0.023611984196090098;[0.023611984196090098]
StandardScaler;None;Normalize;PCA_features_0.25;0.025271224238149224;[0.025271224238149224]
StandardScaler;None;Baseline;PCA_features_0.25;0.02536004957581383;[0.02536004957581383]
StandardScaler;None;None;PCA_features_0.25;0.02538073890416189;[0.02538073890416189]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.026370218825792414;[0.026370218825792414]
None;None;StandardNormalVariate;PCA_features_0.25;0.02663778997454738;[0.02663778997454738]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.026876432395057964;[0.026876432395057964]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.02732168330053928;[0.02732168330053928]
StandardScaler;None;Gaussian;None;0.02769647473445702;[0.02769647473445702]
None;None;Gaussian;PCA_features_0.25;0.028392686041127903;[0.028392686041127903]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.029591613834575863;[0.029591613834575863]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.02968146351981775;[0.02968146351981775]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.02977849352109846;[0.02977849352109846]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.031251388929259334;[0.031251388929259334]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.03220334719053315;[0.03220334719053315]
StandardScaler;None;Gaussian;PCA_features_0.25;0.032385228868205954;[0.032385228868205954]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.03603253696156987;[0.03603253696156987]
