scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;Gaussian;None;0.0007224210694517094;[0.0007224210694517094]
None;None;Gaussian;None;0.0007474071259801673;[0.0007474071259801673]
None;None;StandardNormalVariate;None;0.0008332541313465731;[0.0008332541313465731]
None;ASLSBaseline;StandardNormalVariate;None;0.0008400015349845665;[0.0008400015349845665]
StandardScaler;None;Gaussian;None;0.000842283519473531;[0.000842283519473531]
StandardScaler;ASLSBaseline;Gaussian;None;0.0008655603484602328;[0.0008655603484602328]
None;ASLSBaseline;None;None;0.0009436400273118099;[0.0009436400273118099]
None;ASLSBaseline;Baseline;None;0.0009436400273118099;[0.0009436400273118099]
None;ASLSBaseline;Normalize;None;0.0009437233195647094;[0.0009437233195647094]
None;ASLSBaseline;SavitzkyGolay;None;0.0009608000288401121;[0.0009608000288401121]
StandardScaler;None;SavitzkyGolay;None;0.0010174151534347773;[0.0010174151534347773]
None;None;Baseline;None;0.0011554791047303416;[0.0011554791047303416]
StandardScaler;None;None;None;0.0011554791047303416;[0.0011554791047303416]
None;None;Normalize;None;0.0011554791047303416;[0.0011554791047303416]
None;None;None;None;0.0011554791047303416;[0.0011554791047303416]
StandardScaler;None;Baseline;None;0.0011554791047303416;[0.0011554791047303416]
StandardScaler;None;Normalize;None;0.0011554791047303416;[0.0011554791047303416]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.0011675827501338688;[0.0011675827501338688]
None;None;SavitzkyGolay;None;0.0011935930531300812;[0.0011935930531300812]
StandardScaler;ASLSBaseline;Normalize;None;0.0012182301311492584;[0.0012182301311492584]
StandardScaler;ASLSBaseline;Baseline;None;0.0012182301311492584;[0.0012182301311492584]
StandardScaler;ASLSBaseline;None;None;0.001218286388203804;[0.001218286388203804]
None;None;StandardNormalVariate;PCA_features_0.25;0.009229471888607078;[0.009229471888607078]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.011819230658787204;[0.011819230658787204]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.012230309677580268;[0.012230309677580268]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.014275048168136116;[0.014275048168136116]
None;ASLSBaseline;None;PCA_features_0.25;0.014485924122569771;[0.014485924122569771]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.014586277989616184;[0.014586277989616184]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.014879452344083326;[0.014879452344083326]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.015030182298442565;[0.015030182298442565]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.015084877574985903;[0.015084877574985903]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.015306723825429103;[0.015306723825429103]
StandardScaler;None;Baseline;PCA_features_0.25;0.01587594692817552;[0.01587594692817552]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.01591818435915792;[0.01591818435915792]
None;None;SavitzkyGolay;PCA_features_0.25;0.016864858251975482;[0.016864858251975482]
None;None;Normalize;PCA_features_0.25;0.01715854415139138;[0.01715854415139138]
None;None;Baseline;PCA_features_0.25;0.017887365796886406;[0.017887365796886406]
StandardScaler;None;None;PCA_features_0.25;0.017963633778578774;[0.017963633778578774]
StandardScaler;None;Gaussian;PCA_features_0.25;0.018280862250434852;[0.018280862250434852]
StandardScaler;None;Normalize;PCA_features_0.25;0.018680028024641752;[0.018680028024641752]
None;None;None;PCA_features_0.25;0.019036720573568887;[0.019036720573568887]
None;None;Gaussian;PCA_features_0.25;0.021713231088153748;[0.021713231088153748]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.02176843915731196;[0.02176843915731196]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.02256222006989891;[0.02256222006989891]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.06948405721985816;[0.06948405721985816]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.08510671008759724;[0.08510671008759724]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.09655937091754842;[0.09655937091754842]
StandardScaler;None;StandardNormalVariate;None;0.0980853518056843;[0.0980853518056843]
