scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;ASLSBaseline;Normalize;None;0.13286141148108194;[0.13286141148108194]
StandardScaler;ASLSBaseline;None;None;0.13286141148108194;[0.13286141148108194]
StandardScaler;ASLSBaseline;Baseline;None;0.13286141148108194;[0.13286141148108194]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.136755844431217;[0.136755844431217]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.137562944591643;[0.137562944591643]
StandardScaler;None;SavitzkyGolay;None;0.1394645066749061;[0.1394645066749061]
None;None;SavitzkyGolay;None;0.13987773906447987;[0.13987773906447987]
None;None;None;None;0.14016512461889197;[0.14016512461889197]
StandardScaler;None;Normalize;None;0.14017009910359304;[0.14017009910359304]
StandardScaler;None;Baseline;None;0.14017009910359304;[0.14017009910359304]
StandardScaler;None;None;None;0.14017009910359304;[0.14017009910359304]
None;None;Baseline;None;0.14017009910359304;[0.14017009910359304]
None;None;Normalize;None;0.14017022427429085;[0.14017022427429085]
None;None;Normalize;PCA_features_0.25;0.14074991146168261;[0.14074991146168261]
StandardScaler;None;Baseline;PCA_features_0.25;0.14198287590136882;[0.14198287590136882]
StandardScaler;None;None;PCA_features_0.25;0.14280454025541423;[0.14280454025541423]
None;None;None;PCA_features_0.25;0.1439332770347842;[0.1439332770347842]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.1462686016447721;[0.1462686016447721]
StandardScaler;None;Normalize;PCA_features_0.25;0.14731332233604638;[0.14731332233604638]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.14782706921633773;[0.14782706921633773]
None;ASLSBaseline;Baseline;None;0.14787225524681144;[0.14787225524681144]
None;ASLSBaseline;None;None;0.14787225524681144;[0.14787225524681144]
None;ASLSBaseline;Normalize;None;0.1478826051935479;[0.1478826051935479]
None;ASLSBaseline;SavitzkyGolay;None;0.1481930255800587;[0.1481930255800587]
None;None;Baseline;PCA_features_0.25;0.1483576110993529;[0.1483576110993529]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.150350541446088;[0.150350541446088]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.15074448592289258;[0.15074448592289258]
None;None;SavitzkyGolay;PCA_features_0.25;0.1515476769536543;[0.1515476769536543]
None;None;StandardNormalVariate;PCA_features_0.25;0.15164510850252189;[0.15164510850252189]
StandardScaler;None;StandardNormalVariate;None;0.1536856151652059;[0.1536856151652059]
None;ASLSBaseline;StandardNormalVariate;None;0.1547584663134068;[0.1547584663134068]
None;ASLSBaseline;None;PCA_features_0.25;0.15573670369806195;[0.15573670369806195]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.1560076741721898;[0.1560076741721898]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.15666977081467293;[0.15666977081467293]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.1566958996263625;[0.1566958996263625]
None;None;StandardNormalVariate;None;0.15671829710380608;[0.15671829710380608]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.15918349607072363;[0.15918349607072363]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.1626155613740237;[0.1626155613740237]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.1630779022507756;[0.1630779022507756]
StandardScaler;ASLSBaseline;Gaussian;None;0.17763279398151766;[0.17763279398151766]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.17782265022479912;[0.17782265022479912]
StandardScaler;None;Gaussian;None;0.1786318991362933;[0.1786318991362933]
None;ASLSBaseline;Gaussian;None;0.18350229649438268;[0.18350229649438268]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.18470319612368621;[0.18470319612368621]
None;None;Gaussian;PCA_features_0.25;0.18684568972681598;[0.18684568972681598]
None;None;Gaussian;None;0.18774101540847205;[0.18774101540847205]
StandardScaler;None;Gaussian;PCA_features_0.25;0.18813653580161968;[0.18813653580161968]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.2007672994671872;[0.2007672994671872]
