scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;ASLSBaseline;Normalize;None;0.1674812102836289;[0.1674812102836289]
StandardScaler;ASLSBaseline;None;None;0.1674812102836289;[0.1674812102836289]
StandardScaler;ASLSBaseline;Baseline;None;0.1674812102836289;[0.1674812102836289]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;0.16956288629630262;[0.16956288629630262]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;0.1698104230908845;[0.1698104230908845]
StandardScaler;None;SavitzkyGolay;None;0.17755203963968952;[0.17755203963968952]
None;None;SavitzkyGolay;None;0.17762676839071578;[0.17762676839071578]
None;None;None;None;0.17795566515571162;[0.17795566515571162]
StandardScaler;None;None;None;0.17795657940957507;[0.17795657940957507]
StandardScaler;None;Normalize;None;0.17795657940957507;[0.17795657940957507]
None;None;Baseline;None;0.17795657940957507;[0.17795657940957507]
StandardScaler;None;Baseline;None;0.17795669201069478;[0.17795669201069478]
None;None;Normalize;None;0.17796552408256425;[0.17796552408256425]
None;ASLSBaseline;None;PCA_features_0.25;0.18158985925465926;[0.18158985925465926]
None;None;None;PCA_features_0.25;0.18283749729076698;[0.18283749729076698]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.18292830969663393;[0.18292830969663393]
None;None;Baseline;PCA_features_0.25;0.18391017501835616;[0.18391017501835616]
None;ASLSBaseline;Baseline;PCA_features_0.25;0.184015299161324;[0.184015299161324]
StandardScaler;None;StandardNormalVariate;None;0.18414936772659923;[0.18414936772659923]
None;None;StandardNormalVariate;None;0.18529141623912018;[0.18529141623912018]
None;None;SavitzkyGolay;PCA_features_0.25;0.18547461827809078;[0.18547461827809078]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;0.18577273680699635;[0.18577273680699635]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.1859035914474672;[0.1859035914474672]
None;None;StandardNormalVariate;PCA_features_0.25;0.18794927029577266;[0.18794927029577266]
StandardScaler;None;None;PCA_features_0.25;0.18918197751358848;[0.18918197751358848]
StandardScaler;None;Normalize;PCA_features_0.25;0.18977335059993863;[0.18977335059993863]
StandardScaler;None;Baseline;PCA_features_0.25;0.18979273920898937;[0.18979273920898937]
None;ASLSBaseline;SavitzkyGolay;None;0.19162837528580406;[0.19162837528580406]
None;ASLSBaseline;StandardNormalVariate;None;0.19177425762493722;[0.19177425762493722]
None;ASLSBaseline;None;None;0.19222170519419976;[0.19222170519419976]
None;ASLSBaseline;Baseline;None;0.19222953884452462;[0.19222953884452462]
None;ASLSBaseline;Normalize;None;0.19223306825606562;[0.19223306825606562]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;0.19411119598005794;[0.19411119598005794]
None;ASLSBaseline;Normalize;PCA_features_0.25;0.19439312909285375;[0.19439312909285375]
None;None;Normalize;PCA_features_0.25;0.1951940580231356;[0.1951940580231356]
None;ASLSBaseline;Gaussian;None;0.1965410624979353;[0.1965410624979353]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;0.19735746571747345;[0.19735746571747345]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;0.19864383616917242;[0.19864383616917242]
None;None;Gaussian;None;0.1996587638280396;[0.1996587638280396]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;0.20044065274842787;[0.20044065274842787]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;0.2044124767100036;[0.2044124767100036]
StandardScaler;ASLSBaseline;Gaussian;None;0.20534212070909463;[0.20534212070909463]
StandardScaler;None;Gaussian;None;0.21061441827912078;[0.21061441827912078]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;0.21549557445919756;[0.21549557445919756]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;0.22851437717897075;[0.22851437717897075]
StandardScaler;None;Gaussian;PCA_features_0.25;0.22947365318484197;[0.22947365318484197]
None;None;Gaussian;PCA_features_0.25;0.23002994602839985;[0.23002994602839985]
None;ASLSBaseline;Gaussian;PCA_features_0.25;0.23228027888703395;[0.23228027888703395]
