scaler;baseline;simple;pca;mean_score;fold_scores
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;1.1175759644171914;[1.1175759644171914]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;1.1258343335030752;[1.1258343335030752]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;1.1453768712957058;[1.1453768712957058]
None;ASLSBaseline;Gaussian;PCA_features_0.25;1.1868229424708003;[1.1868229424708003]
None;None;Gaussian;PCA_features_0.25;1.2190762288997892;[1.2190762288997892]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;1.2197212101694237;[1.2197212101694237]
StandardScaler;None;Normalize;PCA_features_0.25;1.2375889986145598;[1.2375889986145598]
StandardScaler;None;None;PCA_features_0.25;1.2394631209032505;[1.2394631209032505]
StandardScaler;None;Baseline;PCA_features_0.25;1.239861734234001;[1.239861734234001]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;1.247085140430723;[1.247085140430723]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;1.2534171442662705;[1.2534171442662705]
None;None;StandardNormalVariate;None;1.2687433875318264;[1.2687433875318264]
None;None;StandardNormalVariate;PCA_features_0.25;1.270136923987243;[1.270136923987243]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;1.2708961720419965;[1.2708961720419965]
None;None;SavitzkyGolay;None;1.27362914756007;[1.27362914756007]
None;None;Baseline;PCA_features_0.25;1.274913013747067;[1.274913013747067]
None;ASLSBaseline;None;PCA_features_0.25;1.2809321272064886;[1.2809321272064886]
StandardScaler;None;Normalize;None;1.286821021648273;[1.286821021648273]
StandardScaler;None;Baseline;None;1.286821021648273;[1.286821021648273]
StandardScaler;None;None;None;1.286821021648273;[1.286821021648273]
None;None;None;None;1.286821021648273;[1.286821021648273]
None;None;Normalize;None;1.286821021648273;[1.286821021648273]
None;None;Baseline;None;1.286821021648273;[1.286821021648273]
None;None;None;PCA_features_0.25;1.2944454677919894;[1.2944454677919894]
None;None;SavitzkyGolay;PCA_features_0.25;1.2953475197185087;[1.2953475197185087]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;1.3007904785846687;[1.3007904785846687]
None;ASLSBaseline;SavitzkyGolay;None;1.3071935467668379;[1.3071935467668379]
StandardScaler;None;SavitzkyGolay;None;1.3085433275774931;[1.3085433275774931]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;1.3102833531125955;[1.3102833531125955]
None;ASLSBaseline;Normalize;None;1.3114604089790458;[1.3114604089790458]
None;ASLSBaseline;None;None;1.3115236066299247;[1.3115236066299247]
None;ASLSBaseline;Baseline;None;1.3115236066299247;[1.3115236066299247]
StandardScaler;None;Gaussian;PCA_features_0.25;1.3115731942922473;[1.3115731942922473]
StandardScaler;ASLSBaseline;Normalize;None;1.3191247624011522;[1.3191247624011522]
StandardScaler;ASLSBaseline;None;None;1.3191247624011522;[1.3191247624011522]
StandardScaler;ASLSBaseline;Baseline;None;1.3191247624011522;[1.3191247624011522]
None;ASLSBaseline;Baseline;PCA_features_0.25;1.3251040303218584;[1.3251040303218584]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;1.335347981488523;[1.335347981488523]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;1.351239407393914;[1.351239407393914]
None;None;Normalize;PCA_features_0.25;1.367718950481898;[1.367718950481898]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;1.3930635255012043;[1.3930635255012043]
None;ASLSBaseline;Normalize;PCA_features_0.25;1.433825670118244;[1.433825670118244]
None;None;Gaussian;None;1.5170336708273366;[1.5170336708273366]
None;ASLSBaseline;StandardNormalVariate;None;1.526660196199673;[1.526660196199673]
StandardScaler;None;Gaussian;None;1.5438117489786392;[1.5438117489786392]
StandardScaler;ASLSBaseline;Gaussian;None;1.5748788659888615;[1.5748788659888615]
None;ASLSBaseline;Gaussian;None;1.5827347598013226;[1.5827347598013226]
StandardScaler;None;StandardNormalVariate;None;1.6349523438588265;[1.6349523438588265]
