scaler;baseline;simple;pca;mean_score;fold_scores
None;ASLSBaseline;Baseline;PCA_features_0.25;2.7221245174875457;[2.7221245174875457]
None;ASLSBaseline;None;PCA_features_0.25;2.723378249359216;[2.723378249359216]
None;None;Normalize;PCA_features_0.25;2.762503626913601;[2.762503626913601]
None;None;None;PCA_features_0.25;2.765036648902786;[2.765036648902786]
None;None;Baseline;PCA_features_0.25;2.7668186040898317;[2.7668186040898317]
None;ASLSBaseline;StandardNormalVariate;None;2.79383601065396;[2.79383601065396]
None;ASLSBaseline;SavitzkyGolay;None;2.8048959776775138;[2.8048959776775138]
None;None;StandardNormalVariate;PCA_features_0.25;2.8187167477532515;[2.8187167477532515]
StandardScaler;None;StandardNormalVariate;None;2.823275755650634;[2.823275755650634]
None;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;2.8254305612895685;[2.8254305612895685]
None;ASLSBaseline;Normalize;None;2.8285267975108876;[2.8285267975108876]
None;ASLSBaseline;Baseline;None;2.82865583161649;[2.82865583161649]
None;ASLSBaseline;None;None;2.828712445360404;[2.828712445360404]
StandardScaler;ASLSBaseline;Baseline;None;2.8310248320936706;[2.8310248320936706]
StandardScaler;ASLSBaseline;Normalize;None;2.8310248814536196;[2.8310248814536196]
StandardScaler;ASLSBaseline;None;None;2.831029336960126;[2.831029336960126]
StandardScaler;None;SavitzkyGolay;PCA_features_0.25;2.8463179739171296;[2.8463179739171296]
None;None;StandardNormalVariate;None;2.856994144309541;[2.856994144309541]
None;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;2.8737640194852125;[2.8737640194852125]
None;None;SavitzkyGolay;PCA_features_0.25;2.8950669428522033;[2.8950669428522033]
StandardScaler;ASLSBaseline;Normalize;PCA_features_0.25;2.9015237645476537;[2.9015237645476537]
StandardScaler;ASLSBaseline;SavitzkyGolay;None;2.902880612247235;[2.902880612247235]
StandardScaler;ASLSBaseline;None;PCA_features_0.25;2.904267220568085;[2.904267220568085]
StandardScaler;ASLSBaseline;Baseline;PCA_features_0.25;2.9070296780151317;[2.9070296780151317]
None;ASLSBaseline;Normalize;PCA_features_0.25;2.911541035575402;[2.911541035575402]
StandardScaler;None;StandardNormalVariate;PCA_features_0.25;2.9152763492040044;[2.9152763492040044]
StandardScaler;None;Normalize;None;2.9181699107524324;[2.9181699107524324]
StandardScaler;None;SavitzkyGolay;None;2.918278562619156;[2.918278562619156]
None;None;None;None;2.9185292316201554;[2.9185292316201554]
None;None;Normalize;None;2.9186338317430667;[2.9186338317430667]
StandardScaler;None;None;None;2.918644433662182;[2.918644433662182]
StandardScaler;None;Baseline;None;2.918644433662182;[2.918644433662182]
None;None;Baseline;None;2.9189493890439633;[2.9189493890439633]
StandardScaler;ASLSBaseline;StandardNormalVariate;None;2.9307612504150145;[2.9307612504150145]
None;None;SavitzkyGolay;None;2.9496270852225317;[2.9496270852225317]
StandardScaler;None;Baseline;PCA_features_0.25;2.9586046755877677;[2.9586046755877677]
StandardScaler;None;None;PCA_features_0.25;2.96108771909125;[2.96108771909125]
StandardScaler;None;Normalize;PCA_features_0.25;2.9617653885925534;[2.9617653885925534]
StandardScaler;ASLSBaseline;StandardNormalVariate;PCA_features_0.25;2.974661900076198;[2.974661900076198]
StandardScaler;ASLSBaseline;Gaussian;None;2.9863233402820377;[2.9863233402820377]
None;None;Gaussian;None;3.0125694865812775;[3.0125694865812775]
StandardScaler;None;Gaussian;None;3.0486936746140114;[3.0486936746140114]
StandardScaler;ASLSBaseline;SavitzkyGolay;PCA_features_0.25;3.058396057764753;[3.058396057764753]
None;ASLSBaseline;Gaussian;None;3.0586004470192125;[3.0586004470192125]
None;None;Gaussian;PCA_features_0.25;3.288348633100821;[3.288348633100821]
None;ASLSBaseline;Gaussian;PCA_features_0.25;3.3025259153159814;[3.3025259153159814]
StandardScaler;ASLSBaseline;Gaussian;PCA_features_0.25;3.5291121178089533;[3.5291121178089533]
StandardScaler;None;Gaussian;PCA_features_0.25;3.615701255255172;[3.615701255255172]
