database,dataset,folder,status,returncode,elapsed_sec,log_path,cmd
FUSARIUM,FinalScore_grp70_30_scoreQ,Data/regression/FUSARIUM/FinalScore_grp70_30_scoreQ,FAIL,1,867.9772727489471,Results/tabpfn_reg_final_light/logs/FUSARIUM__FinalScore_grp70_30_scoreQ.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/FUSARIUM/FinalScore_grp70_30_scoreQ --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
FUSARIUM,Fv_Fm_grp70_30,Data/regression/FUSARIUM/Fv_Fm_grp70_30,OK,0,2384.559379339218,Results/tabpfn_reg_final_light/logs/FUSARIUM__Fv_Fm_grp70_30.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/FUSARIUM/Fv_Fm_grp70_30 --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
FUSARIUM,Tleaf_grp70_30,Data/regression/FUSARIUM/Tleaf_grp70_30,FAIL,1,850.396386384964,Results/tabpfn_reg_final_light/logs/FUSARIUM__Tleaf_grp70_30.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/FUSARIUM/Tleaf_grp70_30 --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,Data/regression/GRAPEVINE_LeafTraits/An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,OK,0,356.032071352005,Results/tabpfn_reg_final_light/logs/GRAPEVINE_LeafTraits__An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/GRAPEVINE_LeafTraits/An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_NeoSpectra,Data/regression/GRAPEVINE_LeafTraits/An_spxyG70_30_byCultivar_NeoSpectra,OK,0,352.4498324394226,Results/tabpfn_reg_final_light/logs/GRAPEVINE_LeafTraits__An_spxyG70_30_byCultivar_NeoSpectra.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/GRAPEVINE_LeafTraits/An_spxyG70_30_byCultivar_NeoSpectra --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR,Data/regression/GRAPEVINE_LeafTraits/An_spxyG70_30_byCultivar_MicroNIR,OK,0,354.41187810897827,Results/tabpfn_reg_final_light/logs/GRAPEVINE_LeafTraits__An_spxyG70_30_byCultivar_MicroNIR.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/GRAPEVINE_LeafTraits/An_spxyG70_30_byCultivar_MicroNIR --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_ASD,Data/regression/GRAPEVINE_LeafTraits/An_spxyG70_30_byCultivar_ASD,OK,0,383.38264083862305,Results/tabpfn_reg_final_light/logs/GRAPEVINE_LeafTraits__An_spxyG70_30_byCultivar_ASD.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/GRAPEVINE_LeafTraits/An_spxyG70_30_byCultivar_ASD --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
GRAPEVINE_LeafTraits,LMA_spxyG70_30_byCultivar_ASD,Data/regression/GRAPEVINE_LeafTraits/LMA_spxyG70_30_byCultivar_ASD,OK,0,4900.999967575073,Results/tabpfn_reg_final_light/logs/GRAPEVINE_LeafTraits__LMA_spxyG70_30_byCultivar_ASD.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/GRAPEVINE_LeafTraits/LMA_spxyG70_30_byCultivar_ASD --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
GRAPEVINE_LeafTraits,WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,Data/regression/GRAPEVINE_LeafTraits/WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,OK,0,356.42683029174805,Results/tabpfn_reg_final_light/logs/GRAPEVINE_LeafTraits__WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/GRAPEVINE_LeafTraits/WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
GRAPEVINES,grapevine_chloride_556_KS,Data/regression/GRAPEVINES/grapevine_chloride_556_KS,OK,0,2384.764927148819,Results/tabpfn_reg_final_light/logs/GRAPEVINES__grapevine_chloride_556_KS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/GRAPEVINES/grapevine_chloride_556_KS --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
IncombustibleMaterial,TIC_spxy70,Data/regression/IncombustibleMaterial/TIC_spxy70,OK,0,350.06578516960144,Results/tabpfn_reg_final_light/logs/IncombustibleMaterial__TIC_spxy70.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/IncombustibleMaterial/TIC_spxy70 --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
LUCAS,LUCAS_SOC_all_26650_NocitaKS,Data/regression/LUCAS/LUCAS_SOC_all_26650_NocitaKS,OK,0,54035.22640919685,Results/tabpfn_reg_final_light/logs/LUCAS__LUCAS_SOC_all_26650_NocitaKS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/LUCAS/LUCAS_SOC_all_26650_NocitaKS --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
LUCAS,LUCAS_pH_Organic_1763_LiuRandomOrganic,Data/regression/LUCAS/LUCAS_pH_Organic_1763_LiuRandomOrganic,OK,0,5057.98636507988,Results/tabpfn_reg_final_light/logs/LUCAS__LUCAS_pH_Organic_1763_LiuRandomOrganic.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/LUCAS/LUCAS_pH_Organic_1763_LiuRandomOrganic --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
LUCAS,LUCAS_SOC_Cropland_8731_NocitaKS,Data/regression/LUCAS/LUCAS_SOC_Cropland_8731_NocitaKS,OK,0,15008.122172832489,Results/tabpfn_reg_final_light/logs/LUCAS__LUCAS_SOC_Cropland_8731_NocitaKS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/LUCAS/LUCAS_SOC_Cropland_8731_NocitaKS --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
MALARIA,Malaria_Oocist_333_Maia,Data/regression/MALARIA/Malaria_Oocist_333_Maia,OK,0,2244.6855461597443,Results/tabpfn_reg_final_light/logs/MALARIA__Malaria_Oocist_333_Maia.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/MALARIA/Malaria_Oocist_333_Maia --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
MALARIA,Malaria_Sporozoite_229_Maia,Data/regression/MALARIA/Malaria_Sporozoite_229_Maia,OK,0,2174.1704709529877,Results/tabpfn_reg_final_light/logs/MALARIA__Malaria_Sporozoite_229_Maia.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/MALARIA/Malaria_Sporozoite_229_Maia --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,Data/regression/MANURE21/All_manure_MgO_SPXY_strat_Manure_type,OK,0,2274.938863992691,Results/tabpfn_reg_final_light/logs/MANURE21__All_manure_MgO_SPXY_strat_Manure_type.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/MANURE21/All_manure_MgO_SPXY_strat_Manure_type --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
MANURE21,All_manure_CaO_SPXY_strat_Manure_type,Data/regression/MANURE21/All_manure_CaO_SPXY_strat_Manure_type,OK,0,2263.7108290195465,Results/tabpfn_reg_final_light/logs/MANURE21__All_manure_CaO_SPXY_strat_Manure_type.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/MANURE21/All_manure_CaO_SPXY_strat_Manure_type --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
MANURE21,All_manure_K2O_SPXY_strat_Manure_type,Data/regression/MANURE21/All_manure_K2O_SPXY_strat_Manure_type,OK,0,2272.336033344269,Results/tabpfn_reg_final_light/logs/MANURE21__All_manure_K2O_SPXY_strat_Manure_type.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/MANURE21/All_manure_K2O_SPXY_strat_Manure_type --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
MANURE21,All_manure_Total_N_SPXY_strat_Manure_type,Data/regression/MANURE21/All_manure_Total_N_SPXY_strat_Manure_type,OK,0,2266.8413326740265,Results/tabpfn_reg_final_light/logs/MANURE21__All_manure_Total_N_SPXY_strat_Manure_type.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/MANURE21/All_manure_Total_N_SPXY_strat_Manure_type --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
MANURE21,All_manure_P2O5_SPXY_strat_Manure_type,Data/regression/MANURE21/All_manure_P2O5_SPXY_strat_Manure_type,OK,0,2289.2175500392914,Results/tabpfn_reg_final_light/logs/MANURE21__All_manure_P2O5_SPXY_strat_Manure_type.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/MANURE21/All_manure_P2O5_SPXY_strat_Manure_type --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
MILK,Milk_Fat_1224_KS,Data/regression/MILK/Milk_Fat_1224_KS,OK,0,384.95191645622253,Results/tabpfn_reg_final_light/logs/MILK__Milk_Fat_1224_KS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/MILK/Milk_Fat_1224_KS --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
MILK,Milk_Lactose_1224_KS,Data/regression/MILK/Milk_Lactose_1224_KS,OK,0,2275.536051750183,Results/tabpfn_reg_final_light/logs/MILK__Milk_Lactose_1224_KS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/MILK/Milk_Lactose_1224_KS --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
MILK,Milk_Urea_1224_KS,Data/regression/MILK/Milk_Urea_1224_KS,OK,0,2306.476802110672,Results/tabpfn_reg_final_light/logs/MILK__Milk_Urea_1224_KS.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/MILK/Milk_Urea_1224_KS --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
PEACH,Brix_spxy70,Data/regression/PEACH/Brix_spxy70,OK,0,348.85129284858704,Results/tabpfn_reg_final_light/logs/PEACH__Brix_spxy70.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/PEACH/Brix_spxy70 --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
PHOSPHORUS,Pi_spxyG,Data/regression/PHOSPHORUS/Pi_spxyG,OK,0,2238.350255012512,Results/tabpfn_reg_final_light/logs/PHOSPHORUS__Pi_spxyG.log,/home/robinr/Desktop/VSCode/CIRAD_PhD_Robin/.venv/bin/python scripts/Benchmark_tabpfn/pipeline_tabpfn_final.py --datasets Data/regression/PHOSPHORUS/Pi_spxyG --output_dir Results/tabpfn_reg_final_light --task_type regression --seed 42 --n_splits 1 --n_estimators_search 2 --n_estimators_final 4 --model_path tabpfn-v2.5-regressor-v2.5_real.ckpt --parallel --n_jobs 12 --use_tmp_dir
