trial,base_name,simple_name,std_name,pca,use_rff,rff_n_components,rff_sigma,val_nrmse_1fold_ycal,val_nrmse_full_ycal,state
0,id,detrend,no_std,pca_adapt_0.25n,False,0,0.0,0.0823902307254482,0.07892782802230687,COMPLETE
1,asls_baseline,haar,std_scaler,pca_adapt_0.25n,False,0,0.0,0.08436989847410388,0.0812468370282621,COMPLETE
2,asls_baseline,baseline,no_std,pca_adapt_0.25n,False,0,0.0,0.08482583806957343,0.08466309913944739,COMPLETE
3,id,gaussian,no_std,no_pca,False,0,0.0,0.08463110043632359,0.08638497621621319,COMPLETE
4,asls_baseline,id,no_std,pca_adapt_0.25n,False,0,0.0,0.08452661720666207,0.08445697213627101,COMPLETE
5,asls_baseline,haar,std_scaler,pca_adapt_0.10n,False,0,0.0,0.08396748715483196,0.08165030416981892,COMPLETE
6,id,detrend,no_std,pca_0.99,False,0,0.0,0.11765075420107071,0.11652353972980946,COMPLETE
7,id,gaussian,no_std,pca_adapt_0.25n,False,0,0.0,0.15513069233648466,0.1481591760728778,COMPLETE
8,asls_baseline,haar,std_scaler,no_pca,True,250,2.0,0.07495559178595727,0.07770360219418487,COMPLETE
9,asls_baseline,baseline,no_std,pca_adapt_0.10n,False,0,0.0,0.10131369279895715,0.09225385732767669,COMPLETE
11,id,detrend,no_std,no_pca,True,250,0.5,0.08867234881715126,0.09830022834010753,COMPLETE
12,id,detrend,no_std,pca_0.99,True,62,2.0,0.11718150347290192,0.11041986887204447,COMPLETE
13,asls_baseline,id,no_std,no_pca,True,250,2.0,0.08599118700089985,0.08424076000887373,COMPLETE
14,id,detrend,no_std,pca_adapt_0.25n,True,62,0.5,0.09018236321796644,0.08244368008064311,COMPLETE
16,id,detrend,no_std,pca_0.99,True,250,2.0,0.12778179376951634,0.11171511607127388,COMPLETE
17,asls_baseline,haar,std_scaler,pca_adapt_0.10n,True,62,0.5,0.0910218189158523,0.0852850073782754,COMPLETE
18,id,gaussian,no_std,no_pca,True,250,2.0,0.10964756360769483,0.0983130477373497,COMPLETE
