trial,base_name,simple_name,std_name,pca,use_rff,rff_n_components,rff_sigma,val_nrmse_1fold_ycal,val_nrmse_full_ycal,state
0,asls_baseline,MSC,std_scaler,no_pca,False,0,0.0,0.09020147126727261,0.09289833318984643,COMPLETE
1,id,savgol,no_std,pca_adapt_0.25n,False,0,0.0,0.09181735185246843,0.09524023968734228,COMPLETE
2,asls_baseline,SNV,no_std,no_pca,False,0,0.0,0.09280824354565802,0.09858059406504302,COMPLETE
3,asls_baseline,id,std_scaler,no_pca,False,0,0.0,0.09315008499549411,0.09433306103232084,COMPLETE
4,asls_baseline,baseline,std_scaler,no_pca,False,0,0.0,0.09323814611240594,0.0942306365079109,COMPLETE
5,id,savgol,no_std,pca_adapt_0.10n,False,0,0.0,0.09917185613359876,0.0988356142515499,COMPLETE
6,asls_baseline,MSC,std_scaler,pca_0.99,False,0,0.0,0.097258169457105,0.09488064047251654,COMPLETE
7,asls_baseline,id,std_scaler,pca_adapt_0.25n,False,0,0.0,0.09709084278846523,0.09657946927790197,COMPLETE
8,id,savgol,no_std,no_pca,True,222,2.0,0.12399427076039259,0.12234096167510941,COMPLETE
9,asls_baseline,SNV,no_std,pca_adapt_0.10n,False,0,0.0,0.09903922009859539,0.09686170005816405,COMPLETE
10,asls_baseline,MSC,std_scaler,pca_0.99,True,55,0.5,0.0962709282767497,0.09782177632126884,COMPLETE
11,asls_baseline,baseline,std_scaler,no_pca,True,222,0.5,0.09606509265424171,0.09109654397443379,COMPLETE
14,asls_baseline,MSC,std_scaler,no_pca,True,55,2.0,0.09948087168284836,0.09274521205484666,COMPLETE
15,asls_baseline,baseline,std_scaler,no_pca,True,55,2.0,0.09528319469274439,0.09386887563863623,COMPLETE
16,asls_baseline,MSC,std_scaler,pca_adapt_0.25n,True,55,2.0,0.1011262810349251,0.09961298219462955,COMPLETE
17,asls_baseline,MSC,std_scaler,pca_adapt_0.10n,True,222,2.0,0.12481217085363742,0.10599270188682645,COMPLETE
18,asls_baseline,baseline,std_scaler,pca_0.99,True,55,0.5,0.10295509412814004,0.09723759505084742,COMPLETE
19,asls_baseline,SNV,no_std,no_pca,True,222,2.0,0.09728425756707947,0.09605337026339016,COMPLETE
