trial,base_name,simple_name,std_name,pca,use_rff,rff_n_components,rff_sigma,val_nrmse_1fold_ycal,val_nrmse_full_ycal,state
0,id,baseline,std_scaler,pca_adapt_0.25n,False,0,0.0,0.12619705313644547,0.1295042254607485,COMPLETE
1,id,id,std_scaler,pca_adapt_0.25n,False,0,0.0,0.12619705313644547,0.1295042254607485,COMPLETE
2,id,MSC,std_scaler,pca_adapt_0.25n,False,0,0.0,0.12638479878672046,0.12921459825068732,COMPLETE
3,id,SNV,no_std,no_pca,False,0,0.0,0.12681891265864512,0.1264966779777063,COMPLETE
4,id,simplescale,no_std,pca_adapt_0.25n,False,0,0.0,0.126778242174641,0.13078967989854332,COMPLETE
5,id,id,std_scaler,pca_adapt_0.10n,False,0,0.0,0.13290473430205996,0.1302712696192773,COMPLETE
6,id,baseline,std_scaler,pca_0.99,False,0,0.0,0.1349328302537262,0.13545742383237191,COMPLETE
7,id,SNV,no_std,pca_adapt_0.25n,False,0,0.0,0.1312991515882963,0.12989371172927355,COMPLETE
8,id,id,std_scaler,no_pca,True,222,2.0,0.13897832290683196,0.13463203895090547,COMPLETE
9,id,MSC,std_scaler,pca_adapt_0.10n,False,0,0.0,0.13288036249084925,0.1304521583488995,COMPLETE
10,id,SNV,no_std,no_pca,True,55,0.5,0.1349620513851462,0.1327498237268937,COMPLETE
11,id,MSC,std_scaler,no_pca,True,222,0.5,0.15093038224811028,0.1418018620816014,COMPLETE
12,id,MSC,std_scaler,pca_0.99,False,0,0.0,0.1353410923132277,0.1348045457826438,COMPLETE
14,id,simplescale,no_std,pca_adapt_0.25n,True,55,2.0,0.13106495240584576,0.1340879805145636,COMPLETE
15,id,MSC,std_scaler,no_pca,False,0,0.0,0.12956861688518723,0.13241903798464771,COMPLETE
16,id,SNV,no_std,pca_0.99,False,0,0.0,0.13234094130939292,0.13233664928688887,COMPLETE
18,id,SNV,no_std,pca_adapt_0.25n,True,55,2.0,0.13188475725040252,0.13172871863133928,COMPLETE
19,id,baseline,std_scaler,no_pca,False,0,0.0,0.13009510275951727,0.13237804451833646,COMPLETE
