trial,base_name,simple_name,std_name,pca,use_rff,rff_n_components,rff_sigma,val_nrmse_1fold_ycal,val_nrmse_full_ycal,state
0,asls_baseline,MSC,std_scaler,pca_adapt_0.25n,False,0,0.0,0.1394882724116117,0.1386139973963372,COMPLETE
1,asls_baseline,baseline,std_scaler,pca_adapt_0.25n,False,0,0.0,0.1395090861337474,0.13865288513735075,COMPLETE
2,asls_baseline,savgol,std_scaler,no_pca,False,0,0.0,0.13949000846839418,0.1391966765278992,COMPLETE
3,asls_baseline,id,std_scaler,pca_adapt_0.25n,False,0,0.0,0.1394818774571456,0.13858497739915016,COMPLETE
4,asls_baseline,simplescale,no_std,pca_adapt_0.25n,False,0,0.0,0.14024440522008366,0.14138469290003977,COMPLETE
5,asls_baseline,baseline,std_scaler,pca_adapt_0.10n,False,0,0.0,0.13935075717465922,0.13891356657850168,COMPLETE
6,asls_baseline,MSC,std_scaler,pca_0.99,False,0,0.0,0.13908146862168383,0.1399818034260477,COMPLETE
8,asls_baseline,baseline,std_scaler,no_pca,True,222,2.0,0.13912040151649926,0.13554284850467546,COMPLETE
9,asls_baseline,savgol,std_scaler,pca_adapt_0.10n,False,0,0.0,0.13951416488862184,0.13994244867868916,COMPLETE
11,asls_baseline,id,std_scaler,no_pca,True,222,0.5,0.14210594683284333,0.14339336785404183,COMPLETE
12,asls_baseline,id,std_scaler,pca_0.99,True,55,2.0,0.14004418515176675,0.14077628068544926,COMPLETE
13,asls_baseline,simplescale,no_std,no_pca,True,222,2.0,0.13709341050996543,0.13912847894438782,COMPLETE
14,asls_baseline,id,std_scaler,pca_adapt_0.25n,True,55,0.5,0.13932515620031383,0.1404800103264123,COMPLETE
16,asls_baseline,baseline,std_scaler,pca_0.99,True,222,2.0,0.13915341735753559,0.14133008715844025,COMPLETE
17,asls_baseline,id,std_scaler,pca_adapt_0.10n,True,55,0.5,0.1446154949500633,0.13976745314509817,COMPLETE
18,asls_baseline,MSC,std_scaler,no_pca,True,222,2.0,0.13531853006620567,0.13907886862365362,COMPLETE
19,asls_baseline,savgol,std_scaler,pca_adapt_0.25n,False,0,0.0,0.14104814313790542,0.13881334931657796,COMPLETE
